Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Wake Forest,L,73,78,26,65,.400,9,25,.360,12,25,.480,9,32,10,10,3,8,27,,26,69,.377,3,20,.150,23,30,.767,23,56,12,2,11,16,21
2,2,2015-11-16,@,St. John's (NY),L,53,75,18,67,.269,8,29,.276,9,17,.529,15,34,10,9,2,12,19,,27,52,.519,7,19,.368,14,17,.824,3,38,15,7,11,18,16
3,3,2015-11-18,,Loyola (MD),L,57,76,22,55,.400,6,19,.316,7,16,.438,6,26,11,6,1,9,12,,28,58,.483,4,13,.308,16,19,.842,12,41,15,4,3,10,18
4,4,2015-11-21,@,Northern Colorado,W,81,72,24,49,.490,7,22,.318,26,33,.788,9,35,15,2,1,11,18,,26,57,.456,8,23,.348,12,18,.667,7,25,8,4,1,12,25
5,5,2015-11-22,N,Cal Poly,L,65,78,23,53,.434,4,19,.211,15,22,.682,3,19,11,6,0,5,14,,29,58,.500,15,27,.556,5,6,.833,8,37,20,2,2,13,18
6,6,2015-11-25,,Navy,L,54,75,14,41,.341,1,19,.053,25,30,.833,6,22,7,6,2,17,19,,28,49,.571,7,13,.538,12,20,.600,10,33,16,7,2,18,24
7,7,2015-11-28,,Colgate,L,63,71,18,47,.383,3,15,.200,24,29,.828,5,27,11,3,2,12,22,,22,48,.458,10,26,.385,17,22,.773,6,29,12,4,1,11,23
8,8,2015-12-02,@,Bowling Green State,L,64,72,20,51,.392,9,27,.333,15,21,.714,6,25,10,10,3,16,24,,25,55,.455,3,15,.200,19,25,.760,11,35,5,10,3,17,19
9,9,2015-12-05,@,Longwood,W,70,59,25,48,.521,10,21,.476,10,14,.714,3,26,17,1,3,10,15,,23,58,.397,6,19,.316,7,8,.875,6,22,10,6,2,6,20
10,10,2015-12-08,@,Duquesne,L,70,89,25,64,.391,9,27,.333,11,16,.688,6,34,21,3,2,9,16,,34,64,.531,16,31,.516,5,11,.455,6,39,25,5,4,13,17
11,11,2015-12-12,,Mount St. Mary's,W,75,63,24,48,.500,8,18,.444,19,26,.731,5,35,16,8,3,15,18,,24,60,.400,7,21,.333,8,17,.471,6,25,18,7,2,12,20
12,12,2015-12-19,@,Howard,L,93,103,33,73,.452,13,32,.406,14,24,.583,16,43,10,4,1,18,24,,32,68,.471,5,18,.278,34,40,.850,12,39,10,11,5,15,17
13,13,2015-12-23,@,Towson,L,65,91,18,43,.419,5,15,.333,24,34,.706,5,23,4,5,1,12,22,,34,59,.576,9,20,.450,14,24,.583,15,36,19,5,3,9,24
14,14,2015-12-31,,Maryland-Eastern Shore,W,89,75,31,53,.585,10,25,.400,17,25,.680,4,28,16,9,2,10,16,,28,60,.467,9,26,.346,10,14,.714,6,23,14,7,0,13,19
15,15,2016-01-02,@,NJIT,L,83,86,26,64,.406,9,26,.346,22,26,.846,4,23,13,9,2,12,23,,29,57,.509,6,23,.261,22,30,.733,10,40,15,10,1,17,21
16,16,2016-01-06,@,Albany (NY),L,59,73,22,50,.440,6,14,.429,9,12,.750,7,21,10,8,1,14,19,,26,51,.510,5,21,.238,16,23,.696,11,32,11,6,1,13,13
17,17,2016-01-09,,Maine,W,89,76,30,51,.588,5,18,.278,24,29,.828,1,28,20,12,1,14,13,,31,63,.492,10,27,.370,4,8,.500,7,25,16,7,1,17,21
18,18,2016-01-13,@,Stony Brook,L,74,86,30,70,.429,8,22,.364,6,11,.545,11,30,11,3,0,4,17,,31,56,.554,6,16,.375,18,21,.857,8,36,18,3,6,7,16
19,19,2016-01-16,,UMass-Lowell,L (1 OT),89,95,29,66,.439,9,28,.321,22,32,.688,8,29,17,14,0,14,25,,31,57,.544,7,20,.350,26,34,.765,6,33,14,11,0,22,25
20,20,2016-01-21,,Hartford,L,87,98,33,68,.485,6,21,.286,15,22,.682,7,29,18,8,1,9,20,,33,60,.550,13,26,.500,19,23,.826,4,34,17,8,1,12,24
21,21,2016-01-24,@,Vermont,L,72,79,26,49,.531,8,19,.421,12,22,.545,3,24,13,11,1,12,20,,31,53,.585,9,21,.429,8,16,.500,5,28,18,4,4,14,19
22,22,2016-01-27,@,Binghamton,L,57,66,19,49,.388,6,17,.353,13,21,.619,7,23,10,8,0,14,16,,22,47,.468,8,21,.381,14,16,.875,7,33,12,9,3,15,18
23,23,2016-01-30,,New Hampshire,L,81,84,26,56,.464,5,14,.357,24,31,.774,10,33,6,7,3,9,22,,27,62,.435,10,21,.476,20,29,.690,11,32,14,4,3,9,23
24,24,2016-02-03,,Albany (NY),L,73,79,25,56,.446,4,19,.211,19,23,.826,4,22,7,9,4,13,19,,26,56,.464,7,19,.368,20,24,.833,8,36,16,8,1,17,18
25,25,2016-02-06,@,Maine,W,83,79,33,55,.600,6,15,.400,11,20,.550,7,36,19,8,2,24,22,,27,64,.422,6,23,.261,19,23,.826,6,25,17,10,4,13,19
26,26,2016-02-11,,Stony Brook,L,52,75,16,52,.308,1,11,.091,19,27,.704,9,29,7,8,0,13,21,,26,55,.473,5,17,.294,18,23,.783,10,39,15,6,7,13,20
27,27,2016-02-14,@,UMass-Lowell,L,92,96,30,59,.508,7,22,.318,25,31,.806,5,24,13,9,2,18,31,,31,58,.534,6,22,.273,28,38,.737,10,33,16,9,2,20,26
28,28,2016-02-17,@,Hartford,L,65,88,24,56,.429,9,23,.391,8,15,.533,9,29,15,3,3,12,15,,30,53,.566,15,25,.600,13,15,.867,3,25,22,8,1,7,17
29,29,2016-02-20,,Vermont,L,54,99,17,57,.298,2,15,.133,18,26,.692,7,20,7,5,3,7,19,,38,55,.691,9,18,.500,14,16,.875,5,34,19,4,5,7,21
