Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Kansas State,L,53,80,14,47,.298,5,21,.238,20,27,.741,7,30,6,6,1,21,31,,24,62,.387,5,23,.217,27,41,.659,16,41,13,13,1,10,23
2,2,2015-11-15,@,Missouri,L,55,73,17,44,.386,7,20,.350,14,22,.636,5,25,7,4,1,13,25,,21,47,.447,8,19,.421,23,30,.767,8,27,12,6,4,8,17
3,3,2015-11-21,@,Wofford,L,63,73,21,45,.467,8,15,.533,13,22,.591,4,22,7,4,2,13,24,,24,53,.453,6,19,.316,19,24,.792,12,36,13,5,4,9,17
4,4,2015-11-24,,Fairfield,L,74,113,22,65,.338,4,27,.148,26,34,.765,9,36,10,3,3,20,18,,41,72,.569,17,41,.415,14,20,.700,5,38,26,12,1,15,25
5,5,2015-11-27,,Saint Francis (PA),W,70,57,30,55,.545,4,12,.333,6,6,1.000,8,31,19,3,4,14,16,,20,53,.377,6,20,.300,11,20,.550,13,29,15,4,2,15,11
6,6,2015-12-01,@,Georgetown,L,49,68,18,50,.360,5,15,.333,8,14,.571,6,24,9,8,2,19,23,,21,47,.447,7,21,.333,19,27,.704,8,32,11,10,2,16,16
7,7,2015-12-05,@,North Carolina Central,L,59,70,21,50,.420,5,20,.250,12,16,.750,11,28,10,6,7,22,21,,26,56,.464,1,12,.083,17,23,.739,13,29,8,7,2,15,16
8,8,2015-12-07,@,North Carolina A&T,L,74,80,25,56,.446,8,25,.320,16,21,.762,9,26,15,8,4,17,29,,20,43,.465,7,17,.412,33,45,.733,8,30,7,6,3,17,17
9,9,2015-12-09,@,Michigan State,L,35,78,14,64,.219,5,25,.200,2,4,.500,9,25,10,9,3,11,16,,27,54,.500,12,22,.545,12,15,.800,9,45,25,5,10,15,9
10,10,2015-12-12,@,Maryland,L,56,77,23,50,.460,3,17,.176,7,10,.700,6,23,9,5,1,12,20,,23,45,.511,10,21,.476,21,24,.875,4,23,16,4,5,10,12
11,11,2015-12-18,@,Old Dominion,L,47,77,14,52,.269,9,26,.346,10,14,.714,13,30,8,5,1,18,20,,29,52,.558,2,10,.200,17,23,.739,6,27,21,11,8,10,14
12,12,2015-12-20,@,American,W,79,64,30,54,.556,7,16,.438,12,19,.632,10,25,12,15,0,11,11,,25,42,.595,7,17,.412,7,11,.636,2,19,20,6,3,20,14
13,13,2015-12-22,,Central Pennsylvania College,W,115,86,42,62,.677,9,18,.500,22,32,.688,15,52,27,10,3,24,21,,32,72,.444,10,29,.345,12,24,.500,9,19,14,9,0,13,23
14,14,2015-12-29,@,St. Joseph's,L,68,78,26,64,.406,11,27,.407,5,7,.714,9,33,17,5,5,11,19,,25,61,.410,9,26,.346,19,27,.704,14,40,16,7,4,11,12
15,15,2015-12-31,@,UMBC,L,75,89,28,60,.467,9,26,.346,10,14,.714,6,23,14,7,0,13,19,,31,53,.585,10,25,.400,17,25,.680,4,28,16,9,2,10,16
16,16,2016-01-02,@,Pitt,L,58,92,19,52,.365,3,14,.214,17,21,.810,5,22,12,5,2,16,24,,32,58,.552,4,15,.267,24,36,.667,13,36,25,9,7,12,17
17,17,2016-01-06,@,Columbia,L,75,81,23,46,.500,8,22,.364,21,28,.750,7,21,13,4,3,12,24,,23,49,.469,11,26,.423,24,29,.828,8,27,13,4,1,8,22
18,18,2016-01-11,,Morgan State,W,69,65,27,46,.587,5,16,.313,10,13,.769,3,23,15,7,2,13,13,,24,51,.471,8,26,.308,9,13,.692,4,18,13,2,1,12,15
19,19,2016-01-16,@,Savannah State,L,61,68,20,46,.435,4,14,.286,17,26,.654,5,34,9,6,2,20,31,,19,50,.380,2,13,.154,28,40,.700,6,29,9,8,3,10,21
20,20,2016-01-18,@,South Carolina State,L,63,68,22,54,.407,6,16,.375,13,16,.813,12,30,7,2,0,14,18,,25,52,.481,6,15,.400,12,16,.750,6,24,13,3,4,9,14
21,21,2016-01-23,,Bethune-Cookman,W,74,72,27,56,.482,6,16,.375,14,17,.824,12,32,14,4,4,11,15,,24,58,.414,14,28,.500,10,12,.833,10,28,11,4,6,13,18
22,22,2016-01-30,@,Coppin State,W (1 OT),83,81,32,56,.571,7,12,.583,12,25,.480,10,37,9,7,2,18,30,,20,60,.333,12,22,.545,29,34,.853,11,31,10,9,2,10,21
23,23,2016-02-01,,Howard,W,85,67,27,64,.422,11,31,.355,20,24,.833,16,36,17,6,2,8,28,,18,41,.439,2,11,.182,29,43,.674,9,29,6,4,4,13,18
24,24,2016-02-06,,Hampton,W,73,70,21,56,.375,4,16,.250,27,38,.711,7,31,11,5,2,13,23,,22,56,.393,6,30,.200,20,30,.667,8,33,10,5,6,12,24
25,25,2016-02-08,,Norfolk State,L,70,76,20,50,.400,13,29,.448,17,24,.708,5,33,18,2,5,15,28,,22,54,.407,7,21,.333,25,36,.694,10,33,11,6,4,10,19
26,26,2016-02-13,@,Delaware State,L,71,75,27,56,.482,7,18,.389,10,14,.714,12,33,14,5,2,16,17,,27,56,.482,8,18,.444,13,19,.684,10,22,13,5,2,12,12
27,27,2016-02-16,@,Howard,L,74,77,24,62,.387,4,20,.200,22,36,.611,18,39,9,4,1,17,26,,23,45,.511,4,14,.286,27,41,.659,6,26,8,6,1,21,31
