Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Michigan,L,42,69,14,49,.286,4,17,.235,10,12,.833,10,33,7,5,0,15,24,,20,53,.377,5,18,.278,24,32,.750,12,37,13,10,2,7,11
2,2,2013-11-13,@,Boston University,L,65,91,24,53,.453,9,25,.360,8,16,.500,8,31,11,4,1,22,16,,37,69,.536,7,26,.269,10,13,.769,11,34,23,12,1,12,15
3,3,2013-11-16,@,Dartmouth,L,59,77,17,42,.405,7,17,.412,18,28,.643,3,19,6,5,4,8,15,,29,53,.547,10,19,.526,9,16,.563,12,38,15,4,1,12,19
4,4,2013-11-19,,Brown,L,76,87,26,67,.388,7,23,.304,17,21,.810,8,32,15,10,5,10,24,,28,67,.418,9,20,.450,22,29,.759,21,54,15,5,2,19,20
5,5,2013-11-23,@,Rhode Island,L,68,79,26,60,.433,6,19,.316,10,16,.625,12,30,5,7,1,12,24,,27,51,.529,6,14,.429,19,31,.613,11,33,15,4,5,12,15
6,6,2013-11-26,@,Cincinnati,L,49,79,16,42,.381,3,15,.200,14,21,.667,4,28,6,8,4,28,23,,29,69,.420,3,19,.158,18,28,.643,16,41,12,13,5,12,20
7,7,2013-12-01,,Mount Ida College,W,73,45,26,59,.441,13,31,.419,8,10,.800,12,40,22,6,3,12,10,,18,55,.327,6,14,.429,3,4,.750,8,26,14,4,3,18,15
8,8,2013-12-03,@,St. Bonaventure,L,58,67,16,49,.327,8,21,.381,18,25,.720,11,30,9,4,4,15,28,,19,57,.333,1,14,.071,28,34,.824,19,43,10,3,8,13,21
9,9,2013-12-07,@,NJIT,L,44,55,13,50,.260,6,22,.273,12,13,.923,13,38,5,3,4,15,17,,20,53,.377,4,19,.211,11,13,.846,9,30,12,8,5,9,17
10,10,2013-12-09,@,Columbia,L,39,78,15,51,.294,3,15,.200,6,15,.400,9,22,7,6,1,15,17,,24,42,.571,10,23,.435,20,23,.870,6,36,13,9,2,18,21
11,11,2013-12-18,,Vermont,L,48,62,17,45,.378,7,23,.304,7,12,.583,6,23,12,5,3,12,24,,19,42,.452,0,3,.000,24,29,.828,10,33,12,7,3,10,16
12,12,2013-12-21,,Duquesne,L,77,95,26,62,.419,8,29,.276,17,21,.810,14,30,18,3,2,7,17,,33,53,.623,13,24,.542,16,19,.842,3,26,27,3,2,5,20
13,13,2014-01-05,,UMBC,W,59,54,17,50,.340,4,15,.267,21,28,.750,12,34,15,9,1,15,20,,20,47,.426,3,14,.214,11,20,.550,9,28,16,9,2,15,25
14,14,2014-01-11,@,Binghamton,W,71,59,24,48,.500,10,22,.455,13,17,.765,6,27,17,4,0,7,18,,21,55,.382,4,22,.182,13,16,.813,11,29,9,3,3,8,19
