Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Howard,W,85,79,26,50,.520,5,20,.250,28,44,.636,6,26,12,11,5,18,20,,29,62,.468,7,19,.368,14,22,.636,13,34,13,13,2,20,31
2,2,2015-11-17,@,Harvard,W,69,63,25,63,.397,5,21,.238,14,16,.875,11,37,8,5,0,5,21,,20,56,.357,5,27,.185,18,25,.720,14,39,10,2,1,10,17
3,3,2015-11-19,,Central Arkansas,W,89,62,34,64,.531,16,29,.552,5,9,.556,7,40,24,5,5,11,23,,21,65,.323,2,14,.143,18,31,.581,12,34,13,6,3,10,13
4,4,2015-11-23,N,Clemson,W,82,65,27,57,.474,16,31,.516,12,17,.706,4,36,17,6,1,10,21,,24,64,.375,6,27,.222,11,19,.579,9,36,4,5,3,7,20
5,5,2015-11-25,N,Creighton,L,76,97,23,59,.390,3,16,.188,27,40,.675,10,32,4,7,2,14,28,,29,57,.509,11,26,.423,28,36,.778,6,37,19,4,3,12,31
6,6,2015-12-02,,Boston University,W,99,69,38,69,.551,13,25,.520,10,15,.667,7,37,23,8,5,8,11,,25,66,.379,7,24,.292,12,14,.857,10,32,17,3,3,15,17
7,7,2015-12-05,,Ole Miss,L,64,74,22,57,.386,8,26,.308,12,24,.500,11,27,17,5,1,13,19,,26,56,.464,5,19,.263,17,24,.708,12,38,14,9,3,12,19
8,8,2015-12-08,@,UCF,L,63,67,26,68,.382,7,30,.233,4,6,.667,10,31,13,10,4,10,22,,25,57,.439,4,16,.250,13,19,.684,13,40,11,6,2,18,10
9,9,2015-12-13,@,Florida Gulf Coast,L,76,77,29,68,.426,7,21,.333,11,16,.688,12,30,11,11,1,12,19,,30,67,.448,2,12,.167,15,18,.833,15,42,6,7,3,16,18
10,10,2015-12-16,,New Orleans,W (1 OT),103,95,31,62,.500,6,18,.333,35,46,.761,9,36,18,11,4,17,21,,35,79,.443,7,22,.318,18,20,.900,14,35,19,8,3,14,35
11,11,2015-12-21,,Providence,L,66,90,23,59,.390,8,19,.421,12,22,.545,8,29,11,2,3,12,16,,34,69,.493,10,23,.435,12,18,.667,13,39,28,3,5,7,17
12,12,2015-12-29,,LIU-Brooklyn,W,83,79,29,65,.446,4,13,.308,21,27,.778,8,38,17,2,3,15,21,,28,69,.406,6,25,.240,17,24,.708,13,36,14,8,4,13,21
13,13,2016-01-03,@,La Salle,W,74,67,26,62,.419,6,14,.429,16,21,.762,10,41,12,3,6,14,19,,24,60,.400,7,25,.280,12,21,.571,5,27,16,7,5,10,15
14,14,2016-01-06,@,Dayton,L,63,93,22,50,.440,3,15,.200,16,24,.667,7,23,7,4,3,16,20,,34,60,.567,11,25,.440,14,18,.778,9,34,25,7,2,12,19
15,15,2016-01-09,,St. Bonaventure,L,77,88,29,66,.439,4,22,.182,15,23,.652,14,31,15,7,4,11,16,,28,47,.596,10,18,.556,22,25,.880,2,26,17,5,3,13,19
16,16,2016-01-12,,George Washington,L,70,81,25,51,.490,5,19,.263,15,20,.750,7,28,14,9,5,15,24,,22,53,.415,8,19,.421,29,34,.853,9,27,18,5,4,13,12
17,17,2016-01-16,@,Davidson,L,74,86,26,70,.371,12,37,.324,10,15,.667,10,34,16,10,3,9,24,,26,59,.441,10,25,.400,24,26,.923,9,44,15,2,2,14,15
18,18,2016-01-23,,Saint Louis,L,75,86,25,64,.391,9,27,.333,16,21,.762,8,34,16,5,4,10,22,,31,61,.508,6,18,.333,18,23,.783,4,36,22,3,4,9,20
19,19,2016-01-27,@,St. Joseph's,L,70,78,26,60,.433,8,23,.348,10,17,.588,5,34,14,6,3,13,28,,22,57,.386,5,17,.294,29,40,.725,8,36,13,4,3,8,13
