Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,LSU,L,70,81,24,62,.387,5,23,.217,17,23,.739,9,37,7,4,2,10,24,,28,61,.459,9,20,.450,16,32,.500,15,44,17,8,3,10,23
2,2,2015-11-17,,Louisiana College,L,70,73,26,62,.419,5,20,.250,13,16,.813,13,39,15,11,6,19,29,,19,55,.345,7,16,.438,28,34,.824,12,33,8,9,4,14,16
3,3,2015-11-20,@,Oklahoma,L,56,85,22,65,.338,6,25,.240,6,11,.545,9,32,8,7,3,18,25,,31,64,.484,11,25,.440,12,26,.462,10,42,14,10,2,13,12
4,4,2015-11-25,,Dillard,W,80,79,31,62,.500,12,27,.444,6,8,.750,9,27,15,11,6,9,10,,32,61,.525,12,22,.545,3,5,.600,10,30,22,2,1,12,10
5,5,2015-11-28,,Texas State,L,67,70,24,57,.421,9,22,.409,10,18,.556,5,24,10,8,10,11,23,,25,59,.424,2,10,.200,18,27,.667,14,45,11,5,3,17,16
6,6,2015-11-30,@,Central Michigan,L,73,74,29,65,.446,6,19,.316,9,16,.563,12,33,9,8,4,9,20,,23,52,.442,9,25,.360,19,25,.760,6,28,15,3,2,10,17
7,7,2015-12-09,@,Louisiana-Lafayette,L,64,97,23,71,.324,7,22,.318,11,13,.846,14,36,8,3,5,20,13,,38,74,.514,7,28,.250,14,17,.824,12,44,20,12,5,10,13
8,8,2015-12-12,@,Indiana,L,60,105,20,63,.317,4,22,.182,16,20,.800,16,39,10,2,5,19,19,,40,78,.513,13,28,.464,12,16,.750,18,44,21,9,6,8,17
9,9,2015-12-16,,Louisiana State-Alexandria,W,77,72,21,57,.368,5,19,.263,30,37,.811,7,38,14,3,8,9,20,,27,73,.370,4,22,.182,14,21,.667,14,43,15,6,8,8,24
10,10,2015-12-22,@,UCLA,L,53,67,20,66,.303,8,25,.320,5,9,.556,8,31,13,7,4,8,19,,28,65,.431,2,9,.222,9,19,.474,16,48,17,7,6,10,9
11,11,2016-01-02,@,Stephen F. Austin,L,57,86,20,50,.400,8,18,.444,9,16,.563,3,22,8,4,4,16,21,,32,67,.478,12,26,.462,10,17,.588,17,44,24,8,4,10,16
12,12,2016-01-05,@,Houston Baptist,L,73,82,24,62,.387,7,20,.350,18,22,.818,9,32,12,10,7,15,22,,29,61,.475,5,14,.357,19,26,.731,10,39,15,6,1,14,16
13,13,2016-01-09,,Texas A&M-Corpus Christi,L,68,77,20,48,.417,8,24,.333,20,27,.741,10,33,11,1,4,20,26,,24,53,.453,3,10,.300,26,32,.813,8,24,9,10,1,7,22
14,14,2016-01-16,,Sam Houston State,W,72,68,25,59,.424,10,22,.455,12,15,.800,6,36,14,3,3,8,19,,24,62,.387,5,27,.185,15,21,.714,8,36,14,4,2,4,15
15,15,2016-01-19,@,Abilene Christian,L,67,75,23,52,.442,6,17,.353,15,20,.750,9,31,7,2,3,15,18,,28,54,.519,3,13,.231,16,20,.800,6,26,13,7,2,9,19
16,16,2016-01-23,,Northwestern State,W,75,74,27,63,.429,6,18,.333,15,24,.625,15,48,16,3,5,13,17,,29,64,.453,8,17,.471,8,12,.667,5,27,17,7,1,8,18
17,17,2016-01-25,,Incarnate Word,W (1 OT),79,76,24,57,.421,7,20,.350,24,32,.750,7,37,13,6,5,12,22,,23,64,.359,10,25,.400,20,25,.800,9,35,16,7,1,13,23
18,18,2016-01-30,@,New Orleans,L,64,76,24,64,.375,3,19,.158,13,17,.765,9,37,13,10,5,14,19,,30,67,.448,4,13,.308,12,21,.571,11,41,19,8,3,17,14
19,19,2016-02-01,@,Southeastern Louisiana,L,80,82,28,57,.491,11,20,.550,13,25,.520,8,23,17,3,0,6,18,,29,56,.518,10,22,.455,14,24,.583,12,39,16,1,2,13,21
20,20,2016-02-06,@,Nicholls State,L,56,71,19,60,.317,6,26,.231,12,16,.750,6,26,5,10,2,13,17,,28,58,.483,3,18,.167,12,17,.706,11,44,13,4,10,16,17
21,21,2016-02-11,,New Orleans,W,87,76,30,61,.492,10,24,.417,17,21,.810,10,33,15,8,3,10,14,,28,62,.452,6,16,.375,14,18,.778,10,33,13,6,1,15,18
22,22,2016-02-13,@,Northwestern State,L,78,87,29,73,.397,8,28,.286,12,18,.667,13,35,11,4,2,11,20,,33,62,.532,9,22,.409,12,20,.600,8,29,20,2,5,9,19
23,23,2016-02-15,,Southeastern Louisiana,L (1 OT),76,79,28,61,.459,8,26,.308,12,23,.522,8,33,16,4,6,15,21,,27,67,.403,9,18,.500,16,22,.727,13,43,12,6,0,18,19
24,24,2016-02-20,,Lamar,L,76,87,25,56,.446,6,19,.316,20,25,.800,14,37,10,5,4,14,17,,34,66,.515,10,19,.526,9,15,.600,10,28,19,9,1,6,18
25,25,2016-02-22,,Central Arkansas,L,82,88,26,68,.382,10,28,.357,20,25,.800,11,30,11,7,4,8,21,,29,57,.509,6,14,.429,24,29,.828,11,40,15,5,4,13,15
26,26,2016-02-27,,Nicholls State,W (1 OT),71,69,24,60,.400,8,17,.471,15,23,.652,12,31,8,9,2,10,19,,25,50,.500,8,14,.571,11,19,.579,12,40,18,8,5,22,20
27,27,2016-02-29,@,Lamar,W,77,74,27,52,.519,3,12,.250,20,37,.541,8,34,14,6,5,12,22,,25,57,.439,4,18,.222,20,34,.588,11,34,12,8,4,13,27
28,28,2016-03-05,@,Central Arkansas,W,85,77,28,49,.571,9,20,.450,20,29,.690,4,28,14,4,4,10,20,,26,57,.456,8,19,.421,17,27,.630,8,23,12,2,1,6,21
