,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Southern Miss,W,67,49,23,58,.397,3,18,.167,18,25,.720,7,35,17,14,7,7,12,,18,67,.269,9,31,.290,4,7,.571,18,44,13,5,1,17,18
2,2,2015-11-17,,Oklahoma,L,78,84,27,78,.346,6,26,.231,18,31,.581,21,44,13,10,9,12,21,,29,68,.426,11,26,.423,15,20,.750,13,45,17,7,6,18,23
3,3,2015-11-19,,Grambling,W,83,65,25,52,.481,5,19,.263,28,35,.800,9,38,16,2,5,12,16,,22,55,.400,9,20,.450,12,22,.545,6,29,13,8,3,13,22
4,4,2015-11-23,,Texas-Arlington,L,64,68,16,54,.296,4,21,.190,28,44,.636,15,51,11,7,7,16,23,,26,78,.333,5,28,.179,11,19,.579,19,44,13,10,3,11,33
5,5,2015-11-27,N,Ohio State,W (1 OT),81,76,24,58,.414,5,14,.357,28,36,.778,2,30,11,8,2,15,22,,28,61,.459,9,25,.360,11,19,.579,5,34,17,9,7,17,28
6,6,2015-12-01,,Louisiana Tech,W,94,68,32,67,.478,10,23,.435,20,28,.714,10,47,21,8,3,13,27,,23,60,.383,6,20,.300,16,34,.471,8,31,8,9,5,12,22
7,7,2015-12-05,,Southeast Missouri State,W,80,65,31,64,.484,3,16,.188,15,22,.682,7,33,22,5,5,11,18,,24,60,.400,3,12,.250,14,21,.667,13,33,10,7,0,13,21
8,8,2015-12-12,,Manhattan,W,89,57,33,56,.589,1,8,.125,22,33,.667,9,38,18,9,7,11,21,,17,53,.321,6,30,.200,17,21,.810,5,25,9,8,0,15,30
9,9,2015-12-15,,Southern,W,72,67,21,54,.389,2,8,.250,28,42,.667,13,42,13,9,9,19,17,,25,68,.368,5,18,.278,12,16,.750,14,36,9,11,5,17,31
10,10,2015-12-18,,Ole Miss,L,79,85,22,63,.349,9,20,.450,26,37,.703,19,44,13,7,13,15,26,,27,62,.435,8,18,.444,23,38,.605,11,36,15,10,4,10,27
11,11,2015-12-22,,IUPUI,W,84,48,28,72,.389,8,22,.364,20,26,.769,13,53,16,10,10,13,21,,17,68,.250,1,12,.083,13,22,.591,11,43,6,6,6,18,18
12,12,2015-12-29,,Tulane,W,77,65,27,68,.397,5,15,.333,18,22,.818,10,34,13,9,8,9,16,,24,68,.353,5,15,.333,12,17,.706,17,43,12,5,10,17,19
13,13,2016-01-02,@,South Carolina,L,76,86,19,61,.311,8,22,.364,30,36,.833,8,33,8,7,9,15,41,,18,57,.316,4,17,.235,46,63,.730,14,46,9,7,7,13,27
14,14,2016-01-05,,Nicholls State,W,82,46,31,70,.443,7,22,.318,13,19,.684,10,38,19,17,4,9,11,,19,53,.358,5,22,.227,3,8,.375,6,34,11,6,3,27,15
15,15,2016-01-09,@,UConn,L,78,81,22,59,.373,8,19,.421,26,30,.867,8,33,15,4,3,13,26,,23,54,.426,9,19,.474,26,33,.788,8,26,9,6,9,9,23
16,16,2016-01-13,,Temple,W,67,65,20,56,.357,4,16,.250,23,30,.767,13,42,12,9,8,14,14,,27,72,.375,6,21,.286,5,9,.556,13,40,12,10,8,12,22
17,17,2016-01-16,,South Florida,W,71,56,26,72,.361,4,22,.182,15,20,.750,14,34,14,9,6,3,17,,19,59,.322,3,10,.300,15,22,.682,17,47,8,1,9,16,16
18,18,2016-01-21,@,Cincinnati,L,72,76,25,57,.439,10,22,.455,12,16,.750,9,34,17,6,3,15,18,,30,60,.500,4,15,.267,12,15,.800,5,26,12,10,8,10,16
