,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Allen,W,96,70,33,61,.541,1,13,.077,29,44,.659,12,48,23,8,5,13,22,,20,64,.313,7,29,.241,23,29,.793,8,28,12,6,1,13,34
2,2,2015-11-16,,George Mason,W,69,60,23,56,.411,4,13,.308,19,21,.905,7,27,14,5,1,6,10,,27,64,.422,5,25,.200,1,4,.250,11,35,15,3,6,10,23
3,3,2015-11-19,,Alabama State,W,70,49,26,56,.464,4,13,.308,14,18,.778,11,43,17,4,1,10,11,,16,52,.308,10,27,.370,7,11,.636,3,19,8,5,8,8,17
4,4,2015-11-23,@,Davidson,L,71,77,26,65,.400,8,24,.333,11,18,.611,17,47,12,3,3,13,22,,23,62,.371,9,31,.290,22,28,.786,10,34,14,4,3,5,17
5,5,2015-11-26,N,Tulane,W,71,61,25,48,.521,6,14,.429,15,20,.750,6,34,20,3,1,14,13,,21,57,.368,8,21,.381,11,12,.917,5,21,14,9,2,7,18
6,6,2015-11-27,N,Appalachian State,W,71,70,25,49,.510,5,11,.455,16,19,.842,7,24,11,6,3,14,19,,24,52,.462,13,29,.448,9,16,.563,9,26,13,6,3,13,18
7,7,2015-11-29,N,Western Michigan,W,68,65,24,46,.522,6,14,.429,14,22,.636,6,35,17,4,1,16,17,,22,54,.407,9,17,.529,12,24,.500,8,27,13,13,5,8,18
8,8,2015-12-02,N,Hiwassee,W,82,47,25,63,.397,7,26,.269,25,39,.641,14,49,22,6,7,8,9,,19,59,.322,4,21,.190,5,9,.556,7,23,10,4,3,13,27
9,9,2015-12-05,,Alcorn State,W,68,43,22,45,.489,6,13,.462,18,22,.818,7,34,17,7,3,12,21,,13,46,.283,4,20,.200,13,20,.650,4,19,6,2,1,11,19
10,10,2015-12-15,@,Auburn,L,71,78,28,62,.452,6,19,.316,9,16,.563,14,43,15,3,2,11,19,,29,67,.433,9,26,.346,11,20,.550,13,37,17,6,6,7,14
11,11,2015-12-19,N,Arkansas,W (1 OT),69,66,24,66,.364,10,25,.400,11,14,.786,10,42,12,6,6,15,17,,24,63,.381,7,16,.438,11,15,.733,7,37,14,10,5,11,18
12,12,2015-12-22,@,Ohio State,L,44,64,17,49,.347,3,18,.167,7,9,.778,10,35,9,5,0,25,20,,26,60,.433,3,22,.136,9,17,.529,13,33,10,17,5,16,12
13,13,2015-12-30,@,Kennesaw State,W,76,73,26,56,.464,7,16,.438,17,25,.680,13,34,13,3,2,15,18,,21,48,.438,6,15,.400,25,29,.862,3,22,11,7,4,11,21
14,14,2016-01-02,,Samford,W,69,50,24,55,.436,6,20,.300,15,17,.882,12,36,15,7,2,10,13,,16,49,.327,5,23,.217,13,15,.867,8,23,8,2,2,11,16
15,15,2016-01-05,@,Chattanooga,L,62,74,22,53,.415,4,18,.222,14,17,.824,8,32,7,7,2,17,18,,22,56,.393,10,28,.357,20,24,.833,9,29,18,8,9,12,18
16,16,2016-01-09,@,Citadel,W,91,80,33,63,.524,9,18,.500,16,21,.762,15,45,21,1,1,16,19,,27,69,.391,16,43,.372,10,16,.625,12,26,20,8,4,7,22
17,17,2016-01-14,,Furman,W,69,65,24,52,.462,8,17,.471,13,20,.650,8,28,15,6,2,11,16,,24,53,.453,11,27,.407,6,12,.500,8,27,13,3,4,15,17
18,18,2016-01-16,,Wofford,W (1 OT),70,69,30,57,.526,7,19,.368,3,5,.600,7,34,19,3,2,14,17,,23,57,.404,12,29,.414,11,18,.611,6,25,17,4,2,7,11
19,19,2016-01-21,@,ETSU,L (1 OT),63,65,25,57,.439,2,15,.133,11,12,.917,7,35,10,4,0,14,19,,23,61,.377,6,23,.261,13,19,.684,12,32,8,10,7,11,14
20,20,2016-01-24,@,Western Carolina,L (2 OT),80,86,29,78,.372,9,25,.360,13,18,.722,17,48,16,8,2,16,24,,26,64,.406,12,26,.462,22,30,.733,7,37,15,7,6,14,19
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-28,,Virginia Military Institute,W,73,58,25,48,.521,4,15,.267,19,32,.594,10,34,10,8,3,10,11,,21,55,.382,14,37,.378,2,4,.500,6,26,16,3,2,15,26
22,22,2016-01-30,,North Carolina-Greensboro,W,81,67,28,56,.500,10,22,.455,15,18,.833,8,33,21,7,1,10,17,,21,51,.412,12,29,.414,13,17,.765,7,27,16,6,2,14,18
23,23,2016-02-01,@,Samford,W,85,70,33,57,.579,8,16,.500,11,15,.733,7,25,21,5,3,11,20,,28,57,.491,4,16,.250,10,17,.588,10,22,19,5,3,12,19
24,24,2016-02-06,,Citadel,W,88,72,32,66,.485,4,13,.308,20,30,.667,18,55,21,6,3,22,24,,24,72,.333,11,43,.256,13,26,.500,10,31,13,13,2,15,27
25,25,2016-02-08,,Chattanooga,L (1 OT),66,72,25,66,.379,5,18,.278,11,15,.733,19,41,12,5,9,8,18,,23,63,.365,9,22,.409,17,20,.850,12,34,17,4,3,9,17
26,26,2016-02-11,@,Wofford,L,70,79,26,60,.433,5,15,.333,13,18,.722,11,30,13,8,0,7,17,,29,52,.558,9,19,.474,12,15,.800,7,30,14,3,2,10,18
27,27,2016-02-13,@,Furman,L,74,85,28,57,.491,5,15,.333,13,17,.765,10,31,10,4,0,6,20,,26,55,.473,9,27,.333,24,31,.774,10,30,16,5,10,4,14
28,28,2016-02-18,,Western Carolina,L,65,72,21,50,.420,8,17,.471,15,20,.750,8,24,15,3,3,8,14,,25,53,.472,8,17,.471,14,18,.778,9,28,15,8,2,8,17
29,29,2016-02-20,,ETSU,L,74,77,27,59,.458,7,17,.412,13,18,.722,16,34,13,6,2,12,17,,26,54,.481,14,28,.500,11,16,.688,10,23,16,7,7,11,18
30,30,2016-02-25,@,Virginia Military Institute,L,82,91,24,61,.393,10,27,.370,24,28,.857,13,36,15,3,1,9,22,,24,57,.421,12,34,.353,31,34,.912,8,31,9,6,5,8,20
31,31,2016-02-28,@,North Carolina-Greensboro,L,65,69,21,58,.362,11,23,.478,12,16,.750,12,40,13,3,3,11,14,,25,57,.439,12,28,.429,7,12,.583,5,29,16,8,3,8,11
32,32,2016-03-04,N,Citadel,W,71,69,28,69,.406,5,24,.208,10,16,.625,17,39,15,4,7,7,13,,23,56,.411,9,19,.474,14,17,.824,10,31,10,3,2,10,16
33,33,2016-03-05,N,ETSU,L,65,81,20,53,.377,6,17,.353,19,27,.704,9,29,7,6,3,18,21,,23,53,.434,11,25,.440,24,27,.889,6,30,13,12,8,14,20
