,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Xavier,L,72,81,22,49,.449,9,20,.450,19,25,.760,5,22,12,6,2,17,28,,24,58,.414,7,21,.333,26,34,.765,16,40,15,9,1,15,24
2,2,2015-11-17,,Kenyon,W,68,47,25,56,.446,4,17,.235,14,24,.583,13,34,9,11,2,15,17,,16,45,.356,7,22,.318,8,8,1.000,4,23,11,6,0,23,22
3,3,2015-11-20,,Lipscomb,W,70,68,22,57,.386,8,17,.471,18,25,.720,9,30,15,11,1,12,13,,25,60,.417,16,37,.432,2,4,.500,8,32,19,5,3,20,22
4,4,2015-11-21,,Florida Atlantic,L,67,75,24,53,.453,8,21,.381,11,16,.688,3,21,14,4,0,8,22,,22,47,.468,5,19,.263,26,30,.867,7,35,14,2,3,12,18
5,5,2015-11-22,,Northeastern,W,67,61,22,47,.468,2,10,.200,21,29,.724,6,24,9,9,1,12,20,,20,51,.392,4,22,.182,17,20,.850,10,28,11,4,3,17,26
6,6,2015-11-24,,IPFW,L,53,57,22,60,.367,2,15,.133,7,11,.636,12,38,7,5,1,14,23,,18,44,.409,6,24,.250,15,22,.682,4,29,14,5,9,17,18
7,7,2015-11-28,,UCF,W,64,63,23,64,.359,7,27,.259,11,13,.846,16,26,13,12,1,11,15,,26,48,.542,5,16,.313,6,8,.750,8,31,12,5,3,22,18
8,8,2015-12-05,@,IUPUI,L,64,78,23,60,.383,4,16,.250,14,17,.824,9,25,9,4,2,8,20,,25,54,.463,6,14,.429,22,24,.917,11,38,13,4,4,13,19
9,9,2015-12-13,,Wright State,W,72,67,22,51,.431,5,18,.278,23,28,.821,10,38,11,6,5,14,16,,24,59,.407,10,25,.400,9,16,.563,10,28,16,6,0,11,25
