Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,N,Denver,W,71,58,21,49,.429,9,27,.333,20,21,.952,12,31,18,6,0,14,15,,22,42,.524,7,17,.412,7,10,.700,3,18,16,6,1,15,23
2,2,2015-11-14,N,Lipscomb,W,71,65,27,68,.397,9,33,.273,8,11,.727,15,44,18,7,5,18,10,,25,63,.397,10,30,.333,5,8,.625,9,37,20,8,0,12,14
3,3,2015-11-15,@,Santa Clara,W,71,65,21,44,.477,7,23,.304,22,30,.733,5,25,13,10,0,16,21,,24,47,.511,6,15,.400,11,22,.500,5,25,10,6,1,17,27
4,4,2015-11-17,@,Notre Dame,L,78,86,27,54,.500,14,21,.667,10,14,.714,5,23,21,0,1,12,17,,32,56,.571,6,18,.333,16,19,.842,6,26,20,5,4,5,12
5,5,2015-11-20,,Trinity International (IL),W,85,61,36,72,.500,8,21,.381,5,9,.556,13,47,23,9,1,14,13,,25,65,.385,6,24,.250,5,11,.455,7,30,11,6,6,11,10
6,6,2015-11-23,N,Murray State,L,63,66,25,57,.439,8,25,.320,5,7,.714,9,36,13,4,3,14,18,,24,58,.414,7,17,.412,11,18,.611,5,26,15,7,2,8,13
7,7,2015-11-24,N,Duquesne,L (1 OT),92,96,26,60,.433,13,31,.419,27,37,.730,10,28,22,3,0,12,19,,35,54,.648,10,18,.556,16,19,.842,1,31,16,6,0,17,29
8,8,2015-11-25,N,Central Michigan,W,84,78,28,60,.467,5,23,.217,23,30,.767,5,31,19,3,0,8,21,,25,63,.397,6,22,.273,22,26,.846,12,38,10,6,1,8,27
9,9,2015-12-03,,Southern Illinois-Edwardsville,W,64,51,22,54,.407,7,19,.368,13,18,.722,1,31,16,4,3,8,17,,20,59,.339,2,15,.133,9,14,.643,8,39,6,2,3,12,20
10,10,2015-12-09,@,Wisconsin,W,68,67,19,53,.358,8,27,.296,22,27,.815,5,28,11,4,1,8,27,,20,55,.364,4,10,.400,23,32,.719,11,41,7,2,4,9,21
11,11,2015-12-13,,Judson,W,125,74,47,75,.627,10,18,.556,21,28,.750,11,50,32,8,7,9,13,,27,74,.365,16,37,.432,4,7,.571,7,23,17,3,2,14,25
12,12,2015-12-17,,South Dakota,L (2 OT),91,92,28,72,.389,14,43,.326,21,25,.840,7,43,18,2,4,11,18,,38,80,.475,5,18,.278,11,18,.611,9,43,14,5,4,8,23
