Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Nebraska,L,51,97,15,58,.259,3,16,.188,18,24,.750,11,29,6,10,2,19,27,,31,57,.544,10,22,.455,25,34,.735,11,42,17,11,3,15,21
2,2,2015-11-19,@,Air Force,L,64,65,25,61,.410,6,19,.316,8,14,.571,11,42,14,3,4,13,27,,23,60,.383,3,21,.143,16,28,.571,12,39,15,5,1,11,15
3,3,2015-11-21,@,New Mexico State,L,46,85,18,69,.261,2,12,.167,8,13,.615,11,31,7,4,3,9,15,,34,65,.523,10,24,.417,7,9,.778,9,50,21,4,3,10,10
4,4,2015-11-23,@,Grand Canyon,L,60,94,18,49,.367,6,19,.316,18,34,.529,6,25,11,6,1,9,17,,38,68,.559,8,23,.348,10,17,.588,12,47,28,6,1,9,24
5,5,2015-11-25,@,BYU,L,68,75,26,64,.406,9,20,.450,7,11,.636,7,25,11,10,3,10,20,,26,56,.464,7,25,.280,16,26,.615,9,36,18,6,7,14,12
6,6,2015-11-28,N,Robert Morris,L,64,67,26,67,.388,6,26,.231,6,10,.600,11,29,13,11,1,13,18,,24,53,.453,5,20,.250,14,18,.778,13,42,15,7,7,24,14
7,7,2015-11-29,@,Tennessee Tech,L,64,101,22,67,.328,4,14,.286,16,25,.640,9,32,11,3,2,9,20,,37,71,.521,10,26,.385,17,19,.895,10,46,25,6,3,10,21
8,8,2015-12-01,@,Duquesne,L,77,91,30,76,.395,12,23,.522,5,7,.714,12,40,23,5,2,14,8,,38,81,.469,12,39,.308,3,5,.600,14,47,23,8,6,10,11
9,9,2015-12-03,@,North Carolina Central,L,79,86,28,57,.491,8,16,.500,15,18,.833,6,24,12,8,0,15,21,,30,56,.536,10,22,.455,16,27,.593,15,37,18,10,2,18,20
10,10,2015-12-06,@,Seattle,L,72,84,26,66,.394,9,25,.360,11,18,.611,5,29,12,11,3,13,22,,32,67,.478,9,24,.375,11,16,.688,7,41,25,6,4,18,12
11,11,2015-12-12,@,Evansville,L,60,95,17,58,.293,5,18,.278,21,31,.677,6,35,10,8,4,16,29,,28,69,.406,9,19,.474,30,43,.698,17,56,21,7,9,9,22
12,12,2015-12-15,@,Northwestern,L,48,78,20,69,.290,2,13,.154,6,15,.400,12,36,11,8,4,9,22,,26,60,.433,7,28,.250,19,27,.704,11,48,21,4,10,11,19
13,13,2015-12-17,@,North Texas,L,74,87,27,72,.375,1,14,.071,19,25,.760,13,38,4,9,2,9,21,,32,59,.542,9,25,.360,14,23,.609,7,36,19,5,3,15,21
14,14,2015-12-29,@,Hawaii,L,48,77,21,65,.323,1,11,.091,5,9,.556,13,28,6,8,1,14,19,,31,55,.564,6,21,.286,9,14,.643,10,40,24,7,9,17,15
15,15,2016-01-04,,Arkansas-Pine Bluff,W,66,60,27,64,.422,4,14,.286,8,11,.727,8,26,13,10,2,9,15,,23,50,.460,9,20,.450,5,10,.500,7,29,8,6,3,23,17
16,16,2016-01-09,@,Alabama State,L (1 OT),74,75,27,73,.370,7,16,.438,13,24,.542,13,36,9,6,2,11,28,,23,68,.338,4,24,.167,25,37,.676,21,56,12,5,7,17,23
17,17,2016-01-11,@,Alabama A&M,W,79,73,30,58,.517,9,14,.643,10,14,.714,8,32,13,5,1,7,22,,25,63,.397,7,25,.280,16,28,.571,17,36,15,4,5,6,17
18,18,2016-01-16,,Alcorn State,L (4 OT),87,93,29,67,.433,5,20,.250,24,30,.800,8,33,13,12,1,16,29,,30,68,.441,3,21,.143,30,43,.698,11,43,4,8,2,21,22
19,19,2016-01-18,,Southern,L,54,67,20,54,.370,6,20,.300,8,14,.571,5,34,11,4,1,14,13,,28,64,.438,7,21,.333,4,8,.500,9,34,10,11,4,5,13
20,20,2016-01-23,@,Texas Southern,L,60,75,25,68,.368,5,16,.313,5,6,.833,8,23,13,14,2,9,27,,29,59,.492,4,20,.200,13,22,.591,16,43,17,3,7,20,14
21,21,2016-01-25,@,Prairie View,W,76,73,25,51,.490,4,9,.444,22,32,.688,7,37,8,7,3,19,19,,27,66,.409,6,24,.250,13,25,.520,14,34,12,6,2,13,25
22,22,2016-01-30,,Jackson State,L,62,77,22,54,.407,4,17,.235,14,19,.737,5,29,10,2,2,15,16,,31,59,.525,6,22,.273,9,16,.563,7,31,9,8,4,10,18
23,23,2016-02-01,,Grambling,W,72,59,27,57,.474,3,17,.176,15,18,.833,9,37,12,6,6,12,20,,21,58,.362,4,23,.174,13,20,.650,10,29,5,6,0,11,17
24,24,2016-02-06,,Alabama State,L,62,73,21,54,.389,4,17,.235,16,22,.727,10,27,9,6,4,14,14,,26,56,.464,10,23,.435,11,16,.688,9,31,11,4,2,16,19
25,25,2016-02-08,,Alabama A&M,W,66,64,22,51,.431,5,14,.357,17,20,.850,12,33,13,3,4,15,18,,23,55,.418,4,23,.174,14,21,.667,10,24,7,9,2,11,19
26,26,2016-02-13,@,Alcorn State,L (1 OT),71,72,26,58,.448,7,18,.389,12,17,.706,5,27,13,8,1,13,13,,27,62,.435,12,32,.375,6,11,.545,10,36,12,5,5,16,12
27,27,2016-02-15,@,Southern,L,64,97,22,63,.349,4,18,.222,16,23,.696,11,31,4,1,0,12,15,,38,69,.551,10,21,.476,11,20,.550,9,39,17,9,5,10,19
28,28,2016-02-20,,Texas Southern,L,67,98,28,65,.431,6,21,.286,5,6,.833,6,25,13,2,0,14,20,,33,60,.550,9,28,.321,23,29,.793,8,34,11,8,2,8,12
29,29,2016-02-22,,Prairie View,L,61,63,22,54,.407,2,16,.125,15,21,.714,11,29,7,8,1,15,13,,24,51,.471,4,14,.286,11,14,.786,8,27,1,5,4,16,21
30,30,2016-02-27,@,Jackson State,L,49,60,16,60,.267,5,16,.313,12,19,.632,11,33,3,9,4,15,15,,22,66,.333,6,29,.207,10,13,.769,16,49,13,8,6,19,20
31,31,2016-02-29,@,Grambling,W,58,57,18,49,.367,5,17,.294,17,27,.630,9,40,11,8,2,17,16,,17,51,.333,3,24,.125,20,28,.714,7,31,8,6,1,14,22
32,32,2016-03-05,@,Arkansas-Pine Bluff,L,71,78,26,57,.456,4,18,.222,15,20,.750,10,27,10,12,0,16,17,,27,60,.450,10,22,.455,14,18,.778,13,36,12,8,6,17,17
