,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Northwestern State,W,90,76,29,61,.475,8,26,.308,24,28,.857,11,39,16,8,5,11,17,,25,70,.357,8,30,.267,18,21,.857,13,33,13,4,1,9,22
2,2,2015-11-16,,Georgia Southern,W,82,72,20,55,.364,2,14,.143,40,53,.755,14,46,9,5,5,10,19,,21,67,.313,11,35,.314,19,27,.704,12,34,11,4,2,12,38
3,3,2015-11-19,N,George Mason,L,62,68,23,66,.348,6,25,.240,10,13,.769,9,25,10,9,4,4,15,,27,55,.491,6,15,.400,8,10,.800,8,39,15,2,7,18,13
4,4,2015-11-20,N,Towson,W,76,60,29,52,.558,9,19,.474,9,11,.818,7,32,13,5,4,12,11,,21,54,.389,9,23,.391,9,10,.900,7,19,12,6,3,7,13
5,5,2015-11-22,N,Seton Hall,L,63,75,24,63,.381,5,21,.238,10,20,.500,14,32,11,6,3,12,16,,28,57,.491,8,20,.400,11,18,.611,11,35,16,8,7,11,17
6,6,2015-11-25,,Georgia State,W,68,59,21,44,.477,6,16,.375,20,24,.833,10,37,12,5,1,14,19,,21,51,.412,6,13,.462,11,20,.550,5,16,14,3,1,9,20
7,7,2015-11-28,@,Bradley,W,67,54,24,59,.407,4,16,.250,15,22,.682,15,35,12,12,5,17,18,,19,47,.404,6,19,.316,10,16,.625,7,26,10,10,2,25,22
8,8,2015-12-05,@,UMass,W,74,64,26,56,.464,5,19,.263,17,24,.708,12,38,14,9,3,12,19,,22,57,.386,8,26,.308,12,24,.500,11,27,17,5,1,13,19
9,9,2015-12-12,@,Southeast Missouri State,W,75,64,26,75,.347,7,29,.241,16,21,.762,18,51,10,7,2,10,19,,21,51,.412,5,15,.333,17,29,.586,4,34,14,7,2,16,17
10,10,2015-12-15,,Louisiana Tech,W,99,80,37,65,.569,12,26,.462,13,19,.684,9,33,17,8,4,11,20,,27,62,.435,8,24,.333,18,24,.750,9,28,14,8,2,11,17
11,11,2015-12-18,@,Memphis,W,85,79,27,62,.435,8,18,.444,23,38,.605,11,36,15,10,4,10,27,,22,63,.349,9,20,.450,26,37,.703,19,44,13,7,13,15,26
12,12,2015-12-22,,Troy,W (1 OT),83,80,30,71,.423,8,29,.276,15,20,.750,11,35,17,9,4,16,17,,31,65,.477,6,20,.300,12,17,.706,10,37,16,12,5,19,22
13,13,2016-01-02,@,Kentucky,L,61,83,20,50,.400,3,14,.214,18,26,.692,10,25,7,6,3,15,19,,33,66,.500,7,25,.280,10,20,.500,17,36,18,13,2,12,25
14,14,2016-01-07,,Alabama,W,74,66,23,55,.418,4,15,.267,24,33,.727,13,33,14,9,2,13,18,,22,49,.449,9,25,.360,13,18,.722,8,28,10,10,7,19,24
15,15,2016-01-09,,Georgia,W,72,71,21,58,.362,6,20,.300,24,35,.686,11,40,12,11,2,14,22,,21,58,.362,7,18,.389,22,34,.647,12,38,13,9,5,14,26
16,16,2016-01-13,@,LSU,L,81,90,28,62,.452,11,28,.393,14,21,.667,8,28,14,5,1,11,23,,30,54,.556,8,18,.444,22,31,.710,7,34,22,5,3,11,17
17,17,2016-01-16,,Florida,L,71,80,25,56,.446,5,20,.250,16,26,.615,5,25,11,11,7,11,21,,24,51,.471,11,21,.524,21,31,.677,11,37,18,5,3,15,18
