Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Minnesota,L,58,76,20,62,.323,12,24,.500,6,11,.545,12,36,13,10,1,15,20,,25,55,.455,12,28,.429,14,20,.700,6,31,20,6,7,13,12
2,2,2015-11-15,,William Jewell,W,73,59,22,53,.415,7,23,.304,22,31,.710,12,34,13,6,3,16,29,,15,47,.319,6,25,.240,23,28,.821,10,31,8,3,1,20,31
3,3,2015-11-17,@,Nebraska-Omaha,L (1 OT),89,95,30,67,.448,12,34,.353,17,23,.739,9,36,17,7,4,19,37,,27,64,.422,5,19,.263,36,48,.750,12,38,10,7,3,16,24
4,4,2015-11-21,@,Drake,W,79,73,29,57,.509,7,16,.438,14,21,.667,9,30,12,8,6,11,22,,23,51,.451,7,17,.412,20,26,.769,7,26,12,1,3,15,21
5,5,2015-11-25,,Lincoln,W,73,72,23,42,.548,3,10,.300,24,42,.571,6,31,13,6,5,17,16,,28,66,.424,9,27,.333,7,12,.583,12,32,12,8,0,14,25
6,6,2015-11-28,,South Dakota State,W,64,57,22,55,.400,5,13,.385,15,21,.714,8,28,10,5,1,8,20,,18,49,.367,7,24,.292,14,20,.700,7,33,11,2,3,11,19
7,7,2015-12-01,,UT-Martin,W,74,70,26,51,.510,8,17,.471,14,18,.778,4,32,15,3,4,13,19,,22,56,.393,8,22,.364,18,22,.818,7,24,14,9,2,7,22
8,8,2015-12-05,@,Iowa,L,75,95,29,66,.439,7,18,.389,10,16,.625,14,37,12,5,3,11,18,,34,72,.472,12,25,.480,15,19,.789,14,39,22,6,8,6,15
9,9,2015-12-08,@,South Dakota,L,70,79,28,65,.431,6,26,.231,8,13,.615,13,36,14,5,3,18,20,,30,58,.517,5,15,.333,14,23,.609,9,32,16,8,5,16,16
10,10,2015-12-12,,Mississippi State,W,72,67,27,50,.540,5,11,.455,13,17,.765,6,27,14,7,5,15,15,,23,62,.371,7,29,.241,14,19,.737,12,28,13,8,3,11,18
11,11,2015-12-19,,Rockhurst,W,71,60,25,52,.481,3,11,.273,18,29,.621,10,30,11,6,3,13,20,,14,45,.311,7,25,.280,25,26,.962,6,27,9,6,3,14,24
12,12,2015-12-22,@,Louisville,L,47,75,14,47,.298,6,19,.316,13,19,.684,11,30,9,5,0,18,16,,27,55,.491,6,17,.353,15,20,.750,11,34,13,8,9,10,19
13,13,2015-12-23,N,North Carolina-Wilmington,L,56,76,21,52,.404,4,13,.308,10,20,.500,7,32,8,5,3,15,16,,25,63,.397,8,25,.320,18,22,.818,11,42,18,9,1,9,19
14,14,2015-12-29,@,Oklahoma State,L,43,61,15,50,.300,4,18,.222,9,14,.643,6,28,9,7,3,12,17,,22,47,.468,5,14,.357,12,22,.545,8,34,9,5,8,10,12
15,15,2016-01-02,@,South Carolina Upstate,L,68,70,23,46,.500,7,17,.412,15,17,.882,3,20,13,11,1,16,14,,27,57,.474,7,22,.318,9,12,.750,11,25,15,6,5,15,15
16,16,2016-01-07,,Seattle,W,84,69,23,55,.418,8,23,.348,30,43,.698,14,37,14,8,1,11,22,,23,56,.411,9,25,.360,14,22,.636,11,30,14,3,3,18,31
17,17,2016-01-09,,Cal State Bakersfield,L,72,83,22,50,.440,7,15,.467,21,25,.840,8,24,11,3,2,13,25,,29,56,.518,6,14,.429,19,28,.679,10,29,21,5,2,9,23
18,18,2016-01-14,@,New Mexico State,L,64,65,23,66,.348,8,13,.615,10,13,.769,8,34,9,6,1,6,18,,25,58,.431,5,19,.263,10,18,.556,9,41,16,1,8,11,14
19,19,2016-01-16,@,Texas-Rio Grande Valley,L,66,71,24,56,.429,5,19,.263,13,22,.591,9,25,9,2,2,7,21,,25,50,.500,7,20,.350,14,21,.667,8,35,16,4,5,8,21
20,20,2016-01-21,,Utah Valley,L,79,90,33,70,.471,8,25,.320,5,11,.455,13,32,12,6,5,11,25,,23,48,.479,12,22,.545,32,36,.889,3,26,18,6,1,10,17
21,21,2016-01-23,,Grand Canyon,L,78,85,29,62,.468,6,23,.261,14,17,.824,12,34,8,3,4,11,19,,29,57,.509,10,17,.588,17,22,.773,7,28,19,5,2,8,17
22,22,2016-01-30,,Chicago State,W,78,64,25,49,.510,11,24,.458,17,24,.708,9,36,15,3,1,18,21,,22,58,.379,7,33,.212,13,24,.542,7,24,8,10,1,8,26
23,23,2016-02-04,@,Cal State Bakersfield,L,66,77,21,46,.457,6,16,.375,18,25,.720,8,26,7,5,3,14,22,,28,53,.528,6,15,.400,15,20,.750,9,29,17,5,5,10,21
24,24,2016-02-06,@,Seattle,L,55,65,16,48,.333,7,24,.292,16,25,.640,9,25,6,6,5,16,25,,20,50,.400,3,12,.250,22,32,.688,11,35,12,7,2,16,21
25,25,2016-02-13,,Texas-Rio Grande Valley,W,75,58,27,63,.429,8,22,.364,13,18,.722,19,38,15,10,2,13,18,,17,46,.370,7,21,.333,17,21,.810,7,22,15,6,3,17,17
26,26,2016-02-18,@,Grand Canyon,L,66,78,22,52,.423,5,14,.357,17,23,.739,6,23,4,5,4,8,21,,23,53,.434,10,20,.500,22,26,.846,12,34,15,5,4,11,20
27,27,2016-02-20,@,Utah Valley,L,70,79,24,64,.375,7,19,.368,15,20,.750,17,46,13,4,5,14,24,,24,62,.387,6,23,.261,25,31,.806,11,33,13,10,4,7,19
28,28,2016-02-27,,New Mexico State,L,61,62,24,64,.375,6,25,.240,7,12,.583,14,40,12,7,5,13,27,,20,46,.435,4,10,.400,18,31,.581,7,30,10,6,2,11,17
29,29,2016-03-05,@,Chicago State,W,82,53,28,56,.500,13,26,.500,13,23,.565,7,34,18,9,5,10,17,,16,55,.291,3,24,.125,18,19,.947,9,33,7,6,2,16,20
