Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Oral Roberts,L,65,80,22,54,.407,6,16,.375,15,22,.682,9,36,10,5,6,17,25,,24,56,.429,8,17,.471,24,32,.750,7,29,17,9,4,7,21
2,2,2015-11-19,N,Butler,L,59,93,20,59,.339,2,15,.133,17,30,.567,10,27,5,1,1,11,28,,33,55,.600,8,17,.471,19,29,.655,5,32,23,5,2,8,25
3,3,2015-11-20,N,Minnesota,L,69,74,19,54,.352,5,18,.278,26,37,.703,11,37,13,5,4,11,20,,25,56,.446,13,23,.565,11,19,.579,7,28,15,3,6,12,23
4,4,2015-11-22,N,Mississippi State,L,70,84,24,56,.429,5,17,.294,17,23,.739,11,26,12,4,3,14,16,,35,59,.593,5,18,.278,9,13,.692,7,23,20,7,2,10,19
5,5,2015-11-27,,William Woods,W,77,56,29,71,.408,4,20,.200,15,26,.577,16,51,13,9,3,9,24,,16,57,.281,7,30,.233,17,28,.607,9,37,10,6,1,15,22
6,6,2015-12-01,,Utah State,L,68,69,25,52,.481,7,17,.412,11,18,.611,6,31,18,8,6,16,20,,25,58,.431,10,23,.435,9,13,.692,7,29,13,7,3,13,17
7,7,2015-12-05,@,Oklahoma State,W,64,63,25,60,.417,7,17,.412,7,10,.700,8,38,11,7,3,14,19,,23,54,.426,6,18,.333,11,16,.688,4,29,15,8,2,14,13
8,8,2015-12-10,,IUPUI,W,88,74,30,61,.492,5,16,.313,23,27,.852,10,34,16,8,4,7,16,,27,60,.450,10,21,.476,10,13,.769,9,32,13,4,3,16,23
9,9,2015-12-13,,Tulsa,L,61,70,20,63,.317,3,17,.176,18,22,.818,12,39,9,5,6,11,17,,28,65,.431,6,24,.250,8,11,.727,4,35,15,5,1,11,18
10,10,2015-12-16,,Oral Roberts,W,85,66,32,60,.533,6,17,.353,15,22,.682,8,38,16,8,5,10,19,,23,64,.359,5,21,.238,15,19,.789,9,32,11,6,1,10,22
11,11,2015-12-19,@,Valparaiso,L,45,74,17,53,.321,1,10,.100,10,19,.526,7,31,10,7,7,15,16,,27,67,.403,12,29,.414,8,11,.727,14,41,15,9,3,12,18
12,12,2015-12-22,,Southeast Missouri State,L,74,78,26,63,.413,6,28,.214,16,23,.696,14,40,15,7,6,16,23,,29,60,.483,6,16,.375,14,29,.483,9,32,13,11,2,11,16
13,13,2015-12-30,@,Illinois State,L,61,74,24,51,.471,6,13,.462,7,9,.778,5,24,12,7,1,12,17,,25,51,.490,15,27,.556,9,14,.643,7,31,17,6,3,12,14
14,14,2016-01-02,,Evansville,L,59,76,21,56,.375,2,13,.154,15,25,.600,9,25,10,10,0,13,25,,23,42,.548,5,15,.333,25,36,.694,7,37,16,9,1,19,22
15,15,2016-01-06,,Northern Iowa,W,59,58,24,50,.480,6,19,.316,5,10,.500,8,32,15,4,0,13,9,,22,55,.400,11,24,.458,3,4,.750,7,26,13,5,3,8,16
16,16,2016-01-09,@,Loyola (IL),W,56,54,22,46,.478,5,13,.385,7,11,.636,4,24,13,6,2,14,17,,22,48,.458,3,13,.231,7,11,.636,2,24,12,7,1,12,12
17,17,2016-01-13,,Wichita State,L,62,78,15,46,.326,6,18,.333,26,41,.634,7,24,8,7,4,9,15,,32,67,.478,9,28,.321,5,13,.385,14,42,20,9,3,11,28
18,18,2016-01-16,@,Bradley,W,61,42,21,51,.412,4,13,.308,15,25,.600,10,36,15,7,1,9,19,,11,41,.268,4,18,.222,16,22,.727,4,30,9,3,3,13,21
19,19,2016-01-20,@,Drake,W,79,70,27,58,.466,5,13,.385,20,24,.833,7,35,11,6,2,15,23,,25,61,.410,6,20,.300,14,18,.778,9,33,11,8,1,12,21
20,20,2016-01-24,,Southern Illinois,L,65,80,27,61,.443,5,19,.263,6,14,.429,11,31,14,6,3,15,20,,28,59,.475,7,18,.389,17,24,.708,12,35,16,9,3,13,22
21,21,2016-01-27,@,Indiana State,L,59,68,20,62,.323,1,8,.125,18,31,.581,9,34,6,9,5,11,22,,23,63,.365,3,22,.136,19,23,.826,12,49,12,4,2,16,24
22,22,2016-01-30,,Illinois State,W (1 OT),84,81,28,57,.491,10,19,.526,18,27,.667,6,30,17,9,5,16,19,,30,63,.476,7,17,.412,14,19,.737,7,32,15,11,8,16,23
23,23,2016-02-02,,Bradley,W,77,71,21,49,.429,5,14,.357,30,37,.811,8,27,8,8,6,13,19,,23,50,.460,8,22,.364,17,21,.810,6,23,11,6,5,16,24
24,24,2016-02-06,@,Evansville,L,64,83,23,64,.359,6,20,.300,12,16,.750,13,31,11,6,2,15,27,,25,56,.446,6,19,.316,27,31,.871,9,35,16,3,6,12,15
25,25,2016-02-10,@,Northern Iowa,L,69,83,25,55,.455,11,23,.478,8,9,.889,5,31,16,0,7,12,21,,27,61,.443,10,23,.435,19,21,.905,6,29,18,6,1,1,11
26,26,2016-02-13,,Indiana State,W (1 OT),89,85,30,72,.417,6,19,.316,23,32,.719,17,42,12,5,5,10,25,,29,64,.453,9,21,.429,18,35,.514,16,43,13,4,2,14,26
27,27,2016-02-18,@,Wichita State,L,68,99,25,59,.424,3,14,.214,15,19,.789,9,26,11,3,1,18,16,,39,66,.591,7,18,.389,14,18,.778,9,33,17,13,2,10,17
28,28,2016-02-21,,Loyola (IL),L,62,75,23,52,.442,3,11,.273,13,22,.591,7,28,9,5,3,13,20,,26,58,.448,9,21,.429,14,21,.667,8,32,14,4,2,10,20
29,29,2016-02-24,,Drake,W,61,52,20,58,.345,6,19,.316,15,18,.833,7,34,14,8,11,8,10,,22,61,.361,6,17,.353,2,3,.667,3,28,14,3,3,12,14
30,30,2016-02-27,@,Southern Illinois,L,68,78,21,51,.412,7,20,.350,19,32,.594,7,30,12,10,4,17,25,,22,53,.415,9,26,.346,25,37,.676,13,42,15,13,1,22,25
31,31,2016-03-03,N,Drake,W,69,67,22,52,.423,10,20,.500,15,22,.682,3,25,14,4,7,6,14,,26,54,.481,5,15,.333,10,15,.667,5,33,18,1,1,10,18
32,32,2016-03-04,N,Evansville,L,56,66,24,61,.393,4,17,.235,4,10,.400,11,37,14,5,7,12,16,,23,57,.404,5,15,.333,15,18,.833,8,36,12,5,2,8,15
