Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Wofford,W,83,74,28,50,.560,5,12,.417,22,32,.688,5,33,12,4,1,9,24,,21,55,.382,10,27,.370,22,33,.667,6,25,12,3,0,7,24
2,2,2015-11-15,,Maryland-Eastern Shore,W,73,55,21,47,.447,8,19,.421,23,30,.767,8,27,12,6,4,8,17,,17,44,.386,7,20,.350,14,22,.636,5,25,7,4,1,13,25
3,3,2015-11-17,@,Xavier,L,66,78,23,55,.418,6,23,.261,14,18,.778,7,26,8,8,2,17,26,,24,56,.429,6,18,.333,24,29,.828,12,37,13,9,4,13,18
4,4,2015-11-23,N,Kansas State,L,42,66,17,55,.309,4,19,.211,4,10,.400,8,28,10,5,4,13,22,,21,57,.368,4,17,.235,20,26,.769,11,40,11,8,3,8,12
5,5,2015-11-24,N,Northwestern,L,62,67,23,60,.383,5,18,.278,11,17,.647,8,30,15,7,1,9,23,,21,45,.467,10,23,.435,15,23,.652,4,31,15,6,1,14,20
6,6,2015-12-01,,Arkansas State,W,88,78,31,65,.477,7,16,.438,19,26,.731,10,38,14,2,5,10,23,,26,68,.382,8,19,.421,18,27,.667,9,34,15,6,7,7,21
7,7,2015-12-04,,Northern Illinois,W,78,71,28,52,.538,6,15,.400,16,24,.667,7,33,18,6,3,15,22,,22,63,.349,7,23,.304,20,24,.833,13,29,11,8,1,9,22
8,8,2015-12-09,,Nebraska-Omaha,W,85,78,25,52,.481,6,16,.375,29,38,.763,6,36,13,9,3,18,24,,25,61,.410,5,22,.227,23,31,.742,7,29,14,9,3,16,26
9,9,2015-12-13,@,Arizona,L,52,88,17,56,.304,2,14,.143,16,26,.615,9,26,6,3,1,12,22,,31,55,.564,7,17,.412,19,25,.760,9,39,20,6,4,15,23
10,10,2015-12-19,,North Carolina State,L,59,73,22,51,.431,7,17,.412,8,19,.421,6,26,13,6,2,8,22,,22,54,.407,5,16,.313,24,30,.800,12,37,10,4,4,8,17
11,11,2015-12-23,N,Illinois,L,63,68,25,57,.439,6,18,.333,7,13,.538,8,40,9,4,2,15,20,,23,57,.404,9,29,.310,13,19,.684,4,27,9,6,3,7,16
12,12,2015-12-29,,Arkansas-Pine Bluff,W,78,25,27,61,.443,6,15,.400,18,22,.818,16,52,19,12,11,13,15,,8,52,.154,6,19,.316,3,15,.200,11,25,6,6,2,21,21
13,13,2016-01-02,,Savannah State,W,81,50,30,56,.536,5,15,.333,16,19,.842,9,39,14,7,5,13,12,,20,59,.339,7,22,.318,3,8,.375,12,29,11,2,3,18,18
14,14,2016-01-06,@,Georgia,L,59,77,19,55,.345,3,19,.158,18,23,.783,8,26,9,6,0,9,17,,29,53,.547,11,19,.579,8,10,.800,6,33,19,3,3,16,20
15,15,2016-01-09,,Auburn,W,76,61,22,56,.393,7,19,.368,25,33,.758,12,39,10,7,3,8,23,,19,51,.373,7,23,.304,16,24,.667,7,31,9,1,7,14,21
16,16,2016-01-12,,Arkansas,L,61,94,19,49,.388,3,15,.200,20,23,.870,8,26,8,3,2,13,19,,37,59,.627,8,15,.533,12,15,.800,3,25,20,5,6,6,20
17,17,2016-01-16,@,South Carolina,L,72,81,28,57,.491,7,19,.368,9,13,.692,5,23,16,8,3,15,24,,28,62,.452,3,21,.143,22,33,.667,15,37,12,7,5,13,15
18,18,2016-01-20,,Georgia,L,57,60,19,53,.358,7,21,.333,12,19,.632,6,30,7,3,3,11,15,,24,61,.393,5,15,.333,7,10,.700,10,38,14,7,6,12,15
19,19,2016-01-23,@,Texas A&M,L,53,66,20,56,.357,3,19,.158,10,17,.588,9,39,11,2,1,15,23,,22,61,.361,7,28,.250,15,26,.577,11,37,17,4,4,5,16
20,20,2016-01-27,@,Kentucky,L,54,88,18,57,.316,4,14,.286,14,19,.737,6,25,7,4,2,15,15,,34,65,.523,9,20,.450,11,14,.786,13,44,18,6,11,11,12
21,21,2016-01-30,,Mississippi State,L,62,76,23,62,.371,2,25,.080,14,18,.778,9,32,11,8,3,10,15,,28,61,.459,8,23,.348,12,19,.632,12,41,13,5,6,12,17
22,22,2016-02-03,,Ole Miss,L,73,76,22,52,.423,10,21,.476,19,26,.731,8,29,14,12,4,13,22,,22,52,.423,14,31,.452,18,22,.818,11,36,16,11,4,17,21
23,23,2016-02-06,@,Alabama,L,71,80,24,57,.421,3,16,.188,20,24,.833,8,26,8,5,0,9,23,,25,53,.472,9,28,.321,21,33,.636,14,37,14,4,9,12,18
24,24,2016-02-10,@,Vanderbilt,L,71,86,27,72,.375,3,16,.188,14,24,.583,13,39,13,5,1,6,23,,31,65,.477,8,29,.276,16,27,.593,12,43,16,3,9,11,19
25,25,2016-02-13,,Tennessee,W,75,64,24,44,.545,5,16,.313,22,30,.733,7,35,12,3,3,20,22,,21,55,.382,8,27,.296,14,24,.583,7,22,8,4,1,10,21
26,26,2016-02-16,,South Carolina,W,72,67,20,53,.377,5,21,.238,27,38,.711,11,42,10,8,4,17,21,,22,66,.333,7,19,.368,16,20,.800,13,36,10,6,2,13,25
27,27,2016-02-20,@,Arkansas,L,72,84,25,63,.397,6,23,.261,16,22,.727,6,36,18,3,4,10,21,,27,67,.403,10,26,.385,20,28,.714,12,44,18,5,7,7,22
28,28,2016-02-23,@,Ole Miss,L,76,85,26,58,.448,12,23,.522,12,19,.632,4,34,12,5,0,17,31,,26,65,.400,7,28,.250,26,40,.650,15,43,18,7,7,8,22
29,29,2016-02-27,,Texas A&M,L,69,84,24,57,.421,7,20,.350,14,17,.824,8,31,13,3,1,10,11,,31,60,.517,9,30,.300,13,16,.813,7,32,19,8,3,6,16
30,30,2016-03-01,@,LSU,L,71,80,28,58,.483,8,23,.348,7,9,.778,11,30,11,3,2,14,16,,28,53,.528,6,16,.375,18,24,.750,7,27,20,10,0,10,13
31,31,2016-03-05,,Florida,L,72,82,27,60,.450,7,18,.389,11,20,.550,6,36,9,2,1,11,23,,24,56,.429,9,32,.281,25,33,.758,6,34,13,7,7,7,18
