Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Boise State,W,74,72,21,44,.477,7,29,.241,25,36,.694,5,24,9,4,2,12,22,,28,50,.560,8,26,.308,8,12,.667,2,21,13,4,1,14,29
2,2,2015-11-16,@,San Jose State,L,61,64,20,54,.370,3,16,.188,18,30,.600,5,28,10,6,0,10,27,,19,50,.380,6,17,.353,20,33,.606,10,43,12,6,5,17,25
3,3,2015-11-21,,Carroll,W,70,61,23,56,.411,8,25,.320,16,23,.696,12,36,15,6,7,13,19,,24,53,.453,4,17,.235,9,14,.643,3,25,8,7,3,14,21
4,4,2015-11-25,@,North Dakota State,L,53,73,21,46,.457,3,13,.231,8,16,.500,6,32,9,3,4,17,29,,23,54,.426,4,17,.235,23,34,.676,9,27,9,11,5,7,16
5,5,2015-11-29,@,Pepperdine,L,63,69,24,50,.480,1,16,.063,14,22,.636,10,32,12,6,1,13,17,,26,57,.456,4,13,.308,13,18,.722,9,28,18,7,6,9,16
6,6,2015-12-04,,San Francisco,W,82,50,32,59,.542,8,21,.381,10,17,.588,11,33,20,6,4,8,20,,17,55,.309,7,28,.250,9,14,.643,11,30,8,5,3,17,18
7,7,2015-12-08,@,Gonzaga,L,58,61,22,61,.361,6,21,.286,8,11,.727,5,30,12,8,0,12,21,,22,55,.400,4,15,.267,13,17,.765,8,37,9,8,3,13,13
8,8,2015-12-12,@,Washington,L,62,92,21,65,.323,7,24,.292,13,21,.619,13,35,12,6,3,21,30,,27,59,.458,10,25,.400,28,41,.683,12,39,15,11,9,17,23
9,9,2015-12-15,,Great Falls,W,79,59,28,57,.491,10,22,.455,13,18,.722,6,31,18,7,1,9,15,,23,58,.397,8,25,.320,5,6,.833,9,33,10,3,4,16,20
10,10,2015-12-19,@,Kansas,L,46,88,14,53,.264,6,19,.316,12,20,.600,6,23,6,4,2,13,19,,33,58,.569,7,16,.438,15,19,.789,9,40,20,8,5,11,18
11,11,2015-12-22,,Montana Western,W,75,43,28,53,.528,9,25,.360,10,12,.833,4,42,23,6,3,15,19,,15,56,.268,4,21,.190,9,19,.474,7,29,5,9,0,11,12
12,12,2015-12-31,@,Northern Arizona,W (2 OT),90,84,28,62,.452,18,33,.545,16,21,.762,5,40,19,5,3,16,20,,29,73,.397,12,30,.400,14,24,.583,5,34,16,10,0,7,22
13,13,2016-01-02,@,Southern Utah,W,83,66,31,58,.534,10,26,.385,11,14,.786,10,35,11,4,3,14,26,,18,44,.409,6,19,.316,24,29,.828,2,18,7,8,2,12,18
14,14,2016-01-07,,Portland State,W,79,66,29,51,.569,11,20,.550,10,15,.667,4,30,16,8,3,12,17,,21,54,.389,9,18,.500,15,21,.714,9,28,11,8,3,15,17
15,15,2016-01-09,,Sacramento State,W,77,58,30,64,.469,13,30,.433,4,7,.571,11,38,22,4,5,8,22,,23,49,.469,1,6,.167,11,25,.440,5,27,7,2,5,8,14
16,16,2016-01-14,@,Northern Colorado,W,73,66,23,50,.460,4,21,.190,23,33,.697,8,33,11,5,4,14,27,,19,49,.388,2,15,.133,26,36,.722,4,26,7,3,1,12,27
17,17,2016-01-16,@,North Dakota,W,65,61,25,56,.446,5,20,.250,10,16,.625,10,34,11,8,2,13,20,,23,50,.460,3,12,.250,12,16,.750,5,27,11,7,3,13,18
18,18,2016-01-21,,Idaho,L,58,63,18,56,.321,9,30,.300,13,17,.765,7,25,14,10,1,11,25,,18,41,.439,5,13,.385,22,29,.759,6,34,10,3,4,20,22
19,19,2016-01-23,,Eastern Washington,W,74,69,29,50,.580,5,11,.455,11,16,.688,6,26,12,6,3,15,17,,25,53,.472,6,20,.300,13,21,.619,9,26,8,11,1,14,17
20,20,2016-01-30,@,Montana State,W,80,72,25,51,.490,5,11,.455,25,33,.758,12,33,8,3,3,10,24,,26,62,.419,6,20,.300,14,18,.778,13,25,5,3,3,7,25
21,21,2016-02-04,@,Sacramento State,L,79,83,28,60,.467,9,19,.474,14,21,.667,6,31,20,2,4,10,27,,26,56,.464,5,20,.250,26,37,.703,8,34,12,7,5,10,20
22,22,2016-02-06,@,Portland State,W,82,80,31,60,.517,6,20,.300,14,21,.667,12,29,18,5,2,12,22,,29,47,.617,5,14,.357,17,26,.654,4,21,20,9,4,15,20
23,23,2016-02-11,,Southern Utah,W,86,53,29,47,.617,12,17,.706,16,20,.800,5,27,19,4,5,11,19,,19,51,.373,4,20,.200,11,15,.733,10,23,5,3,0,14,21
24,24,2016-02-13,,Northern Arizona,W,85,67,32,56,.571,6,18,.333,15,18,.833,8,33,19,4,1,12,21,,21,48,.438,9,18,.500,16,20,.800,3,20,9,4,1,12,21
25,25,2016-02-20,,Montana State,W,87,78,24,45,.533,9,15,.600,30,42,.714,5,31,7,6,0,16,24,,26,60,.433,11,28,.393,15,22,.682,10,33,11,6,3,15,31
26,26,2016-02-25,@,Idaho State,W,90,77,32,60,.533,13,24,.542,13,17,.765,6,30,15,4,2,7,21,,24,54,.444,8,21,.381,21,26,.808,6,29,8,4,3,12,20
27,27,2016-02-27,@,Weber State,L,54,60,22,61,.361,2,11,.182,8,12,.667,11,35,4,5,1,13,25,,17,44,.386,6,22,.273,20,29,.690,4,34,5,8,5,13,14
28,28,2016-03-03,,North Dakota,W,71,46,24,60,.400,8,26,.308,15,19,.789,6,37,10,9,2,10,18,,16,54,.296,4,17,.235,10,16,.625,9,38,6,4,4,18,22
29,29,2016-03-05,,Northern Colorado,L,72,78,19,48,.396,12,31,.387,22,29,.759,12,27,11,3,3,14,28,,21,44,.477,7,17,.412,29,32,.906,6,24,3,7,2,13,27
30,30,2016-03-10,N,Sacramento State,W,70,53,24,51,.471,6,18,.333,16,20,.800,7,35,14,2,3,8,14,,19,53,.358,6,28,.214,9,12,.750,4,23,7,4,1,7,19
31,31,2016-03-11,N,Idaho,W,81,72,28,43,.651,7,12,.583,18,31,.581,7,20,15,5,0,10,23,,19,41,.463,8,19,.421,26,32,.813,9,19,12,4,1,12,27
32,32,2016-03-12,N,Weber State,L,59,62,27,63,.429,4,14,.286,1,3,.333,9,28,9,5,4,7,12,,23,48,.479,7,20,.350,9,9,1.000,3,26,19,5,5,13,12
