Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Cincinnati Christian,W,87,51,31,57,.544,6,18,.333,19,29,.655,13,36,20,15,5,12,18,,16,48,.333,4,11,.364,15,19,.789,8,23,3,4,0,23,25
2,2,2015-11-16,@,Illinois State,L,66,67,24,58,.414,7,16,.438,11,17,.647,15,33,10,8,3,16,23,,24,47,.511,6,10,.600,13,23,.565,6,25,13,8,7,15,18
3,3,2015-11-21,@,Northern Kentucky,W,64,56,21,60,.350,8,18,.444,14,22,.636,16,34,10,6,4,6,20,,20,52,.385,6,20,.300,10,16,.625,13,37,11,2,7,14,20
4,4,2015-11-24,,Marshall,W,85,61,32,60,.533,3,10,.300,18,25,.720,11,44,21,13,4,15,21,,20,56,.357,8,25,.320,13,21,.619,6,25,10,9,3,17,23
5,5,2015-11-28,,Southern Miss,W,61,46,21,56,.375,7,24,.292,12,19,.632,17,40,16,8,4,11,18,,12,35,.343,8,15,.533,14,19,.737,1,18,9,4,2,15,22
6,6,2015-12-02,@,Saint Louis,W,60,46,23,53,.434,7,15,.467,7,13,.538,10,33,14,9,4,15,24,,14,37,.378,1,9,.111,17,23,.739,2,20,8,5,2,19,17
7,7,2015-12-05,@,Indiana,L,59,92,16,51,.314,4,14,.286,23,28,.821,12,26,9,6,2,21,28,,30,53,.566,5,15,.333,27,36,.750,12,34,11,7,7,13,25
8,8,2015-12-13,@,Pitt,L,62,72,24,57,.421,3,12,.250,11,15,.733,6,24,13,7,3,10,25,,21,46,.457,1,13,.077,29,36,.806,8,34,12,5,5,14,13
9,9,2015-12-20,,Western Carolina,W,60,52,22,54,.407,2,10,.200,14,25,.560,13,39,13,9,3,14,22,,15,49,.306,4,15,.267,18,22,.818,9,32,6,7,5,17,22
10,10,2015-12-23,@,Davidson,L,77,81,28,62,.452,11,23,.478,10,18,.556,11,29,11,10,1,12,21,,28,47,.596,10,21,.476,15,25,.600,4,26,19,7,3,16,17
11,11,2015-12-28,,Green Bay,L,72,78,26,59,.441,7,18,.389,13,20,.650,13,33,12,9,0,13,25,,27,52,.519,2,7,.286,22,36,.611,9,32,12,3,3,11,20
12,12,2015-12-30,@,ETSU,L,72,75,28,64,.438,6,20,.300,10,19,.526,14,32,12,7,3,13,26,,22,47,.468,5,17,.294,26,36,.722,9,28,9,8,3,14,23
13,13,2016-01-02,@,Murray State,L,57,62,22,52,.423,4,11,.364,9,14,.643,7,22,8,4,2,8,24,,19,42,.452,6,13,.462,18,23,.783,7,29,12,3,4,11,17
14,14,2016-01-07,,Southeast Missouri State,W,96,69,41,75,.547,10,18,.556,4,6,.667,13,35,29,14,2,10,18,,22,58,.379,6,17,.353,19,23,.826,15,33,14,6,4,19,8
15,15,2016-01-09,,UT-Martin,W,64,58,24,60,.400,7,22,.318,9,20,.450,16,48,17,4,5,12,21,,20,64,.313,6,25,.240,12,18,.667,8,34,7,5,1,5,22
16,16,2016-01-14,@,Southern Illinois-Edwardsville,W (1 OT),70,67,25,63,.397,6,11,.545,14,21,.667,10,32,13,3,1,9,21,,22,55,.400,9,24,.375,14,20,.700,10,33,10,4,9,14,22
17,17,2016-01-16,@,Eastern Illinois,L (1 OT),82,84,29,64,.453,9,19,.474,15,21,.714,12,34,15,8,2,15,22,,28,59,.475,9,20,.450,19,23,.826,10,35,14,7,1,14,22
18,18,2016-01-21,,Tennessee Tech,W,81,74,24,55,.436,6,13,.462,27,36,.750,16,33,11,11,2,12,31,,19,48,.396,7,18,.389,29,39,.744,11,30,11,7,5,16,27
19,19,2016-01-24,,Jacksonville State,L,74,78,30,59,.508,6,11,.545,8,12,.667,13,31,18,4,2,17,23,,23,47,.489,12,21,.571,20,25,.800,6,20,13,4,5,12,16
20,20,2016-01-27,,Austin Peay,W,75,65,33,60,.550,4,13,.308,5,9,.556,11,29,22,11,4,13,19,,22,50,.440,8,21,.381,13,17,.765,7,23,13,7,3,16,12
21,21,2016-01-30,@,Eastern Kentucky,W,70,67,20,55,.364,5,13,.385,25,36,.694,13,34,13,8,0,15,23,,25,55,.455,1,17,.059,16,21,.762,10,33,12,6,7,14,25
22,22,2016-02-04,@,Belmont,L,67,73,24,61,.393,6,18,.333,13,16,.813,9,28,13,7,1,11,26,,25,44,.568,8,20,.400,15,27,.556,6,31,14,3,3,14,13
23,23,2016-02-06,@,Tennessee State,L,76,77,26,58,.448,7,22,.318,17,25,.680,12,29,8,6,2,16,27,,24,44,.545,6,13,.462,23,37,.622,8,30,9,12,2,15,21
24,24,2016-02-11,,Eastern Kentucky,W,61,50,23,60,.383,2,13,.154,13,16,.813,19,32,14,10,2,11,19,,19,37,.514,6,13,.462,6,11,.545,7,21,9,9,7,25,19
25,25,2016-02-13,,Belmont,W,78,77,27,60,.450,5,12,.417,19,26,.731,18,34,14,6,3,10,27,,24,46,.522,6,20,.300,23,29,.793,7,22,17,1,3,14,28
26,26,2016-02-16,,St. Catharine,W,105,66,36,66,.545,9,22,.409,24,32,.750,13,43,26,15,1,11,18,,24,63,.381,8,20,.400,10,15,.667,10,30,15,3,2,19,25
27,27,2016-02-18,,Tennessee State,W,66,61,20,48,.417,6,15,.400,20,24,.833,12,34,13,5,2,20,24,,16,48,.333,5,14,.357,24,32,.750,7,21,5,9,2,8,23
28,28,2016-02-25,@,Tennessee Tech,W,69,59,28,64,.438,4,14,.286,9,18,.500,14,38,16,7,5,7,22,,17,49,.347,8,22,.364,17,22,.773,5,30,9,1,6,13,21
29,29,2016-02-27,@,Jacksonville State,W,82,71,24,54,.444,4,9,.444,30,33,.909,7,40,8,2,1,10,24,,21,61,.344,8,22,.364,21,29,.724,10,26,6,3,5,5,26
30,30,2016-03-03,N,Murray State,W,75,66,24,51,.471,5,13,.385,22,29,.759,11,33,9,7,1,8,19,,21,52,.404,6,23,.261,18,21,.857,6,24,10,4,4,7,25
31,31,2016-03-04,N,UT-Martin,L,70,83,25,70,.357,10,29,.345,10,13,.769,10,26,14,7,1,8,29,,26,46,.565,7,21,.333,24,35,.686,7,40,12,2,10,14,18
