Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Virginia,L,48,86,17,50,.340,7,27,.259,7,11,.636,5,19,10,7,1,11,20,,32,65,.492,5,18,.278,17,26,.654,22,49,16,4,3,8,17
2,2,2015-11-16,@,Towson,L,61,69,23,64,.359,7,22,.318,8,10,.800,9,34,10,5,1,14,28,,21,54,.389,3,11,.273,24,38,.632,13,45,5,6,4,18,15
3,3,2015-11-18,@,Old Dominion,L,48,79,16,46,.348,6,15,.400,10,16,.625,4,23,7,5,0,10,12,,30,66,.455,6,22,.273,13,14,.929,14,40,14,8,7,8,16
4,4,2015-11-21,@,Campbell,W,59,54,20,47,.426,6,13,.462,13,22,.591,6,40,15,4,3,16,20,,19,56,.339,4,20,.200,12,23,.522,7,30,9,12,2,10,22
5,5,2015-11-23,,Goldey-Beacom,W,66,62,20,57,.351,6,20,.300,20,28,.714,17,40,10,5,5,17,15,,25,61,.410,9,23,.391,3,5,.600,9,30,16,8,5,17,22
6,6,2015-11-28,@,High Point,L,72,82,28,54,.519,7,19,.368,9,11,.818,8,25,11,6,4,16,16,,33,59,.559,4,9,.444,12,16,.750,10,27,15,11,7,10,11
7,7,2015-12-02,@,Wagner,L,61,62,23,61,.377,8,16,.500,7,9,.778,7,28,12,6,2,13,16,,21,55,.382,7,20,.350,13,17,.765,11,40,13,5,7,16,16
8,8,2015-12-06,@,Cincinnati,L,66,87,26,67,.388,8,17,.471,6,13,.462,15,37,11,5,2,11,13,,35,73,.479,6,29,.207,11,18,.611,20,48,25,9,6,10,14
9,9,2015-12-20,,Manhattan,L,66,78,22,46,.478,2,8,.250,20,29,.690,4,23,9,5,2,12,20,,24,50,.480,10,24,.417,20,23,.870,6,30,14,9,1,15,31
10,10,2015-12-23,,Rider,L,49,71,17,65,.262,3,28,.107,12,14,.857,6,22,10,9,0,4,13,,26,47,.553,14,27,.519,5,9,.556,5,40,21,2,2,16,16
11,11,2015-12-28,,UC-Riverside,L,72,81,28,66,.424,7,17,.412,9,15,.600,9,30,13,5,3,11,12,,30,57,.526,10,26,.385,11,17,.647,8,35,16,4,1,14,16
12,12,2015-12-31,@,Cal State Bakersfield,L,68,80,22,62,.355,4,14,.286,20,27,.741,13,32,9,7,2,11,22,,28,55,.509,5,18,.278,19,29,.655,12,38,20,4,5,15,22
13,13,2016-01-02,@,Cal State Northridge,L,74,88,26,70,.371,6,16,.375,16,21,.762,8,31,15,4,3,6,26,,28,57,.491,6,12,.500,26,31,.839,6,40,16,1,7,11,21
14,14,2016-01-06,,Hampton,L (1 OT),80,83,27,64,.422,4,15,.267,22,34,.647,11,32,11,6,4,12,28,,27,69,.391,11,25,.440,18,33,.545,14,47,12,7,7,20,27
15,15,2016-01-09,,Delaware State,W,63,58,25,75,.333,6,31,.194,7,16,.438,21,37,14,9,2,6,21,,18,44,.409,4,20,.200,18,23,.783,8,35,7,1,6,19,19
16,16,2016-01-11,@,Maryland-Eastern Shore,L,65,69,24,51,.471,8,26,.308,9,13,.692,4,18,13,2,1,12,15,,27,46,.587,5,16,.313,10,13,.769,3,23,15,7,2,13,13
17,17,2016-01-16,@,Florida A&M,L,65,72,26,57,.456,3,14,.214,10,20,.500,12,34,4,9,0,17,18,,26,58,.448,3,14,.214,17,23,.739,10,29,12,10,2,12,16
18,18,2016-01-18,@,Bethune-Cookman,L,50,62,12,64,.188,2,19,.105,24,30,.800,19,40,4,9,2,12,17,,21,46,.457,9,17,.529,11,15,.733,6,35,13,6,12,21,22
19,19,2016-01-30,,Howard,W,83,63,22,58,.379,1,13,.077,38,47,.809,9,30,14,12,4,16,22,,20,49,.408,2,8,.250,21,31,.677,8,30,9,10,3,25,30
20,20,2016-02-01,,Coppin State,W,83,43,26,59,.441,7,13,.538,24,39,.615,13,47,21,4,0,11,21,,14,51,.275,4,22,.182,11,25,.440,7,33,7,4,5,15,24
21,21,2016-02-06,@,Savannah State,L,49,57,17,57,.298,0,8,.000,15,22,.682,8,29,7,10,5,13,20,,17,46,.370,3,14,.214,20,25,.800,7,35,8,6,5,18,18
22,22,2016-02-08,@,South Carolina State,L,78,82,27,60,.450,8,17,.471,16,23,.696,9,28,9,3,1,12,15,,33,59,.559,6,11,.545,10,14,.714,8,30,17,3,3,18,21
23,23,2016-02-13,@,Norfolk State,L,73,79,29,72,.403,5,18,.278,10,19,.526,16,39,13,6,2,12,25,,27,61,.443,3,23,.130,22,30,.733,9,34,16,6,17,9,17
24,24,2016-02-15,@,Hampton,L,79,87,28,70,.400,5,19,.263,18,23,.783,13,32,7,4,2,10,23,,29,63,.460,6,18,.333,23,32,.719,18,44,19,3,2,13,23
25,25,2016-02-20,,North Carolina Central,L,59,73,22,65,.338,0,11,.000,15,17,.882,9,31,10,7,1,8,16,,28,55,.509,6,15,.400,11,23,.478,9,38,14,5,2,12,18
26,26,2016-02-22,,North Carolina A&T,W,72,51,23,54,.426,3,14,.214,23,30,.767,10,32,16,6,3,6,13,,19,56,.339,4,18,.222,9,18,.500,13,30,8,2,3,11,23
27,27,2016-02-24,,Norfolk State,W,89,72,29,53,.547,9,15,.600,22,26,.846,7,29,20,2,3,16,22,,25,62,.403,2,18,.111,20,27,.741,17,32,10,8,2,16,20
28,28,2016-02-27,@,Coppin State,W (1 OT),74,72,28,66,.424,4,16,.250,14,30,.467,10,35,8,7,1,13,12,,29,63,.460,7,20,.350,7,12,.583,7,36,12,4,3,13,21
29,29,2016-03-03,,Maryland-Eastern Shore,L,71,80,24,60,.400,7,23,.304,16,23,.696,8,21,16,10,3,13,22,,29,49,.592,5,11,.455,17,22,.773,8,34,19,8,1,19,20
30,30,2016-03-08,N,Maryland-Eastern Shore,W,65,58,25,51,.490,4,16,.250,11,22,.500,8,26,11,5,3,5,9,,25,58,.431,3,17,.176,5,7,.714,13,37,17,1,1,12,20
31,31,2016-03-09,N,Hampton,L,81,83,32,63,.508,8,15,.533,9,12,.750,10,32,9,4,3,14,20,,34,66,.515,5,16,.313,10,19,.526,15,34,15,2,2,12,18
