,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Maryland,L,56,80,19,61,.311,10,33,.303,8,11,.727,4,20,10,6,1,7,14,,33,56,.589,7,18,.389,7,9,.778,7,44,15,5,3,14,13
2,2,2015-11-15,@,Ohio State,L,54,76,21,63,.333,7,25,.280,5,7,.714,6,21,7,3,0,8,16,,28,56,.500,6,15,.400,14,17,.824,13,47,10,3,4,17,12
3,3,2015-11-19,@,Washington,L,67,100,24,77,.312,9,37,.243,10,11,.909,9,27,6,7,5,15,30,,34,67,.507,5,16,.313,27,40,.675,16,55,13,10,7,19,18
4,4,2015-11-21,@,Gonzaga,L,56,101,21,60,.350,3,21,.143,11,15,.733,5,24,4,9,1,15,19,,39,66,.591,11,22,.500,12,17,.706,11,46,23,9,1,14,17
5,5,2015-11-26,@,Elon,L,74,79,28,63,.444,5,22,.227,13,22,.591,7,30,9,9,4,14,29,,25,61,.410,6,20,.300,23,29,.793,11,41,12,3,2,16,23
6,6,2015-11-27,N,Furman,L,60,69,23,52,.442,5,20,.250,9,17,.529,5,18,11,4,4,10,20,,24,47,.511,6,17,.353,15,25,.600,13,40,10,6,1,17,12
7,7,2015-12-01,,American,W,81,56,32,56,.571,7,16,.438,10,13,.769,9,25,19,12,2,11,18,,21,49,.429,4,11,.364,10,14,.714,11,27,10,6,1,21,13
8,8,2015-12-05,,Loyola (MD),W,85,68,26,63,.413,12,22,.545,21,33,.636,13,36,16,11,6,18,22,,25,61,.410,2,17,.118,16,21,.762,11,39,9,9,5,23,26
9,9,2015-12-08,,Bucknell,W,81,73,27,55,.491,9,21,.429,18,28,.643,9,29,16,8,7,14,19,,28,62,.452,7,17,.412,10,15,.667,11,35,14,6,1,19,22
10,10,2015-12-12,@,UMBC,L,63,75,24,60,.400,7,21,.333,8,17,.471,6,25,18,7,2,12,20,,24,48,.500,8,18,.444,19,26,.731,5,35,16,8,3,15,18
11,11,2015-12-19,@,Lehigh,L,73,76,28,52,.538,10,27,.370,7,12,.583,8,21,20,9,3,13,18,,26,51,.510,10,19,.526,14,16,.875,10,27,18,6,0,16,15
12,12,2015-12-22,@,James Madison,L,53,73,19,61,.311,9,29,.310,6,11,.545,7,19,11,15,0,14,22,,24,45,.533,7,18,.389,18,23,.783,9,44,12,7,3,23,16
13,13,2015-12-29,@,Binghamton,L,53,62,19,57,.333,4,17,.235,11,20,.550,10,34,9,8,4,17,29,,16,43,.372,2,9,.222,28,38,.737,5,32,7,7,1,18,21
14,14,2016-01-02,,LIU-Brooklyn,W,79,63,30,65,.462,9,21,.429,10,13,.769,9,29,16,8,4,12,22,,20,51,.392,3,12,.250,20,26,.769,11,32,8,9,4,20,16
15,15,2016-01-04,,St. Francis (NY),W (1 OT),44,40,16,55,.291,2,15,.133,10,15,.667,5,28,3,9,7,10,15,,15,52,.288,5,22,.227,5,9,.556,12,42,5,6,6,20,16
16,16,2016-01-07,,Central Connecticut,W,73,62,26,58,.448,3,11,.273,18,21,.857,6,27,10,10,4,8,21,,23,47,.489,2,4,.500,14,23,.609,6,30,12,1,3,17,20
17,17,2016-01-09,,Bryant,L (2 OT),79,82,29,63,.460,11,31,.355,10,14,.714,8,32,16,8,4,16,18,,33,68,.485,5,15,.333,11,15,.733,9,33,14,5,3,13,17
18,18,2016-01-14,@,Robert Morris,W,76,52,28,62,.452,7,17,.412,13,17,.765,12,43,15,9,6,15,23,,17,43,.395,2,9,.222,16,28,.571,2,26,5,9,6,15,16
19,19,2016-01-16,@,Saint Francis (PA),W,82,72,31,52,.596,10,16,.625,10,17,.588,4,21,15,9,3,10,20,,25,48,.521,10,19,.526,12,21,.571,10,30,9,3,2,16,17
20,20,2016-01-21,@,Sacred Heart,L,71,76,26,56,.464,7,17,.412,12,19,.632,9,27,9,9,4,9,19,,24,55,.436,8,18,.444,20,24,.833,11,35,11,6,3,14,17
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-24,@,Fairleigh Dickinson,W,87,72,29,60,.483,5,20,.250,24,28,.857,12,30,13,10,4,15,20,,25,55,.455,8,20,.400,14,19,.737,11,31,14,6,2,24,25
22,22,2016-01-28,,Robert Morris,W,70,49,26,57,.456,9,19,.474,9,16,.563,13,34,13,7,1,14,14,,18,46,.391,1,14,.071,12,18,.667,7,24,6,8,2,18,15
23,23,2016-01-30,,Wagner,L,63,73,21,60,.350,8,24,.333,13,24,.542,10,28,8,2,4,7,18,,27,53,.509,6,12,.500,13,17,.765,9,41,12,5,5,9,17
24,24,2016-02-04,@,LIU-Brooklyn,L,74,77,23,61,.377,7,17,.412,21,25,.840,11,36,10,2,4,14,30,,24,53,.453,4,13,.308,25,42,.595,10,34,11,7,4,13,22
25,25,2016-02-06,@,Wagner,L,51,72,14,41,.341,5,20,.250,18,26,.692,3,19,9,2,3,15,17,,27,53,.509,6,17,.353,12,16,.750,10,31,12,7,2,10,21
26,26,2016-02-11,,Sacred Heart,W,66,61,25,66,.379,5,24,.208,11,13,.846,14,31,12,9,4,11,13,,23,48,.479,4,17,.235,11,16,.688,8,30,11,5,2,18,17
27,27,2016-02-13,,Saint Francis (PA),W,66,61,20,53,.377,5,16,.313,21,26,.808,6,34,6,3,7,9,21,,18,60,.300,4,21,.190,21,28,.750,13,40,6,4,2,11,22
28,28,2016-02-18,@,Central Connecticut,L,72,76,27,67,.403,6,25,.240,12,17,.706,11,29,9,6,5,7,22,,22,48,.458,2,8,.250,30,34,.882,8,35,6,4,6,13,17
29,29,2016-02-20,@,Bryant,W,71,53,21,56,.375,9,28,.321,20,25,.800,6,37,12,12,4,11,15,,18,56,.321,2,14,.143,15,19,.789,6,37,11,7,0,17,22
30,30,2016-02-25,,Fairleigh Dickinson,L,54,67,19,59,.322,6,25,.240,10,18,.556,13,34,8,7,4,13,20,,25,52,.481,7,14,.500,10,15,.667,7,36,10,3,3,14,18
31,31,2016-02-27,@,St. Francis (NY),L,49,55,21,73,.288,4,17,.235,3,3,1.000,15,38,5,7,1,12,15,,21,57,.368,2,14,.143,11,17,.647,13,46,8,11,7,15,9
32,32,2016-03-02,@,St. Francis (NY),W,60,51,22,67,.328,3,16,.188,13,19,.684,13,39,7,5,2,3,18,,19,48,.396,6,17,.353,7,14,.500,7,33,11,1,6,13,17
33,33,2016-03-05,@,Fairleigh Dickinson,L,75,80,23,56,.411,8,23,.348,21,28,.750,10,30,9,6,5,11,18,,30,61,.492,4,13,.308,16,22,.727,11,34,11,6,1,11,23
