,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Harris-Stowe,W,105,55,38,66,.576,6,17,.353,23,31,.742,9,36,27,13,6,13,22,,15,52,.288,3,14,.214,22,28,.786,7,28,7,5,3,27,26
2,2,2015-11-17,,Middle Tennessee,W,76,65,27,59,.458,6,19,.316,16,20,.800,6,34,18,8,3,14,24,,21,53,.396,6,17,.353,17,25,.680,6,34,12,6,1,15,21
3,3,2015-11-20,@,Georgia,L,52,63,17,56,.304,4,23,.174,14,21,.667,10,34,8,8,2,9,24,,17,57,.298,8,22,.364,21,29,.724,13,44,9,4,4,10,21
4,4,2015-11-23,N,Milwaukee,W,66,63,24,58,.414,7,17,.412,11,18,.611,5,26,15,7,2,8,13,,25,57,.439,8,25,.320,5,7,.714,9,36,13,4,3,14,18
5,5,2015-11-24,N,Pepperdine,W,59,55,22,51,.431,6,15,.400,9,13,.692,1,23,10,8,2,15,16,,20,54,.370,2,12,.167,13,17,.765,9,38,5,10,3,19,15
6,6,2015-11-25,N,Weber State,L,59,75,25,63,.397,4,16,.250,5,6,.833,9,28,8,2,0,9,19,,26,46,.565,9,17,.529,14,23,.609,3,30,16,2,3,8,13
7,7,2015-11-28,,Alabama A&M,W,63,61,21,56,.375,5,19,.263,16,23,.696,14,32,11,8,3,14,16,,23,56,.411,6,23,.261,9,11,.818,10,33,15,10,2,16,20
8,8,2015-12-02,@,Houston,L,78,93,30,69,.435,9,23,.391,9,16,.563,17,30,20,5,2,10,21,,32,50,.640,10,15,.667,19,23,.826,8,32,15,6,6,13,18
9,9,2015-12-05,,Evansville,L (1 OT),81,85,28,55,.509,10,21,.476,15,17,.882,3,25,15,7,1,17,19,,32,57,.561,2,7,.286,19,24,.792,6,27,21,11,3,17,20
10,10,2015-12-13,@,Illinois State,L,61,63,27,57,.474,6,20,.300,1,3,.333,9,34,12,6,0,16,18,,25,59,.424,10,25,.400,3,12,.250,12,31,18,7,2,8,11
11,11,2015-12-18,,Southern Illinois,L,73,88,24,54,.444,4,20,.200,21,34,.618,7,26,11,6,0,12,28,,28,52,.538,7,19,.368,25,33,.758,8,36,11,7,1,15,27
12,12,2015-12-22,@,Wright State,L,49,65,19,46,.413,4,21,.190,7,18,.389,9,26,10,3,2,15,19,,23,49,.469,5,16,.313,14,16,.875,5,29,13,7,1,13,18
13,13,2015-12-30,,Brescia,W,101,75,27,57,.474,9,19,.474,38,46,.826,22,43,16,12,4,16,20,,26,56,.464,8,16,.500,15,18,.833,8,20,13,10,2,19,32
14,14,2016-01-02,,Morehead State,W,62,57,19,42,.452,6,13,.462,18,23,.783,7,29,12,3,4,11,17,,22,52,.423,4,11,.364,9,14,.643,7,22,8,4,2,8,24
15,15,2016-01-07,,Tennessee Tech,L,65,71,18,64,.281,6,28,.214,23,28,.821,17,35,15,10,2,8,27,,17,41,.415,3,10,.300,34,39,.872,5,32,7,3,2,17,22
16,16,2016-01-09,,Jacksonville State,W,69,54,28,60,.467,6,18,.333,7,14,.500,16,44,16,7,3,7,14,,20,60,.333,11,25,.440,3,5,.600,9,25,15,3,1,12,15
17,17,2016-01-14,@,Belmont,L,73,81,27,52,.519,8,22,.364,11,18,.611,7,27,12,5,2,16,23,,27,49,.551,8,19,.421,19,26,.731,5,23,14,6,2,11,19
18,18,2016-01-16,@,Tennessee State,L,71,73,20,53,.377,9,25,.360,22,29,.759,7,24,12,2,5,9,19,,26,50,.520,6,15,.400,15,21,.714,9,32,10,6,5,14,23
19,19,2016-01-21,,Eastern Illinois,W,68,58,25,55,.455,6,15,.400,12,19,.632,10,38,16,1,1,10,20,,17,54,.315,5,20,.250,19,25,.760,10,32,9,6,2,8,20
20,20,2016-01-23,,Southern Illinois-Edwardsville,W,70,54,19,43,.442,7,17,.412,25,32,.781,8,32,11,4,1,7,21,,20,45,.444,2,13,.154,12,23,.522,5,23,7,2,0,12,25
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-27,@,Eastern Kentucky,W,75,71,25,53,.472,9,20,.450,16,21,.762,11,29,19,5,0,14,19,,24,44,.545,7,15,.467,16,18,.889,0,19,18,7,0,11,19
22,22,2016-01-30,@,UT-Martin,L,59,63,21,52,.404,10,26,.385,7,8,.875,8,24,12,7,2,11,19,,21,41,.512,5,18,.278,16,19,.842,5,25,14,3,3,12,12
23,23,2016-02-04,@,Southeast Missouri State,W,78,72,30,52,.577,12,27,.444,6,9,.667,3,27,18,6,2,13,15,,26,53,.491,8,16,.500,12,14,.857,3,22,12,6,1,13,14
24,24,2016-02-06,,Austin Peay,L,73,76,26,58,.448,7,22,.318,14,18,.778,11,29,11,6,0,14,24,,23,46,.500,7,14,.500,23,30,.767,7,25,16,9,2,13,18
25,25,2016-02-11,@,Southern Illinois-Edwardsville,W,70,64,24,44,.545,6,14,.429,16,19,.842,3,21,15,8,0,16,16,,27,49,.551,4,17,.235,6,10,.600,6,19,9,5,6,13,19
26,26,2016-02-13,,Southeast Missouri State,W,83,56,32,56,.571,14,24,.583,5,12,.417,7,29,18,5,4,8,12,,21,54,.389,5,17,.294,9,11,.818,9,28,7,5,1,11,11
27,27,2016-02-20,@,Austin Peay,W,74,60,25,53,.472,10,24,.417,14,17,.824,8,32,14,5,3,8,23,,22,44,.500,6,13,.462,10,24,.417,5,24,9,4,2,10,17
28,28,2016-02-25,@,Eastern Illinois,L,74,85,25,58,.431,7,22,.318,17,22,.773,7,28,17,6,3,9,26,,29,50,.580,5,15,.333,22,32,.688,5,31,17,3,4,13,20
29,29,2016-02-27,,UT-Martin,W,79,55,26,51,.510,12,22,.545,15,22,.682,10,34,20,3,1,8,18,,19,47,.404,6,22,.273,11,21,.524,5,22,6,3,0,8,18
30,30,2016-03-02,N,Eastern Illinois,W,78,62,30,49,.612,5,9,.556,13,15,.867,5,32,16,6,2,12,20,,21,52,.404,10,27,.370,10,20,.500,8,22,11,1,2,10,16
31,31,2016-03-03,N,Morehead State,L,66,75,21,52,.404,6,23,.261,18,21,.857,6,24,10,4,4,7,25,,24,51,.471,5,13,.385,22,29,.759,11,33,9,7,1,8,19
