Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Florida,L,41,59,17,59,.288,4,19,.211,3,12,.250,10,29,9,7,2,11,19,,23,49,.469,3,19,.158,10,19,.526,12,44,8,8,6,19,19
2,2,2015-11-16,,College of Charleston,L,58,72,16,43,.372,2,10,.200,24,34,.706,7,30,11,3,4,13,18,,24,55,.436,11,24,.458,13,19,.684,6,30,14,7,3,7,29
3,3,2015-11-19,@,South Carolina Upstate,W,67,55,27,58,.466,6,11,.545,7,9,.778,13,36,17,7,8,13,13,,19,54,.352,6,21,.286,11,17,.647,7,24,11,4,3,12,13
4,4,2015-11-22,,Goucher,W,76,47,30,65,.462,4,21,.190,12,18,.667,22,47,21,7,4,9,13,,17,49,.347,7,17,.412,6,10,.600,4,17,15,7,1,10,14
5,5,2015-11-25,@,UMBC,W,75,54,28,49,.571,7,13,.538,12,20,.600,10,33,16,7,2,18,24,,14,41,.341,1,19,.053,25,30,.833,6,22,7,6,2,17,19
6,6,2015-11-27,@,North Carolina-Greensboro,W,70,66,26,52,.500,3,12,.250,15,21,.714,4,32,9,7,5,13,17,,24,60,.400,14,31,.452,4,6,.667,4,27,10,7,1,14,21
7,7,2015-11-28,N,Jacksonville,W,71,65,27,60,.450,5,18,.278,12,14,.857,7,37,11,3,7,13,23,,22,58,.379,9,20,.450,12,19,.632,9,21,9,4,4,11,15
8,8,2015-11-29,N,IPFW,W,75,53,31,57,.544,5,10,.500,8,18,.444,8,32,13,8,0,14,22,,14,45,.311,6,26,.231,19,27,.704,6,27,6,7,1,17,19
9,9,2015-12-02,@,Penn,W,65,59,24,54,.444,3,13,.231,14,19,.737,7,25,9,7,2,9,18,,20,40,.500,5,16,.313,14,19,.737,3,24,14,3,4,17,15
10,10,2015-12-07,N,Oregon,L,47,67,18,57,.316,2,14,.143,9,18,.500,13,29,13,7,3,18,13,,24,51,.471,6,15,.400,13,16,.813,7,34,12,14,8,16,17
11,11,2015-12-12,@,Virginia Military Institute,W,68,62,21,47,.447,4,18,.222,22,27,.815,7,32,12,7,2,11,15,,24,56,.429,5,23,.217,9,13,.692,7,25,6,6,2,9,19
12,12,2015-12-14,,South Carolina Upstate,L,57,66,22,55,.400,5,18,.278,8,16,.500,13,33,17,2,3,14,13,,26,51,.510,9,17,.529,5,11,.455,8,26,21,7,3,12,18
13,13,2015-12-22,,Furman,W,62,49,20,48,.417,7,13,.538,15,27,.556,11,39,14,5,6,13,21,,15,49,.306,3,21,.143,16,25,.640,5,27,7,4,5,10,19
14,14,2015-12-30,@,Bucknell,L,58,88,19,52,.365,3,13,.231,17,32,.531,11,31,9,8,4,19,23,,30,56,.536,9,20,.450,19,21,.905,5,27,24,11,3,10,24
15,15,2016-01-02,,Holy Cross,W,65,60,22,52,.423,3,14,.214,18,27,.667,12,37,13,3,7,9,21,,19,49,.388,8,21,.381,14,21,.667,6,25,15,6,3,9,18
16,16,2016-01-06,@,Boston University,W,83,67,28,52,.538,6,14,.429,21,26,.808,6,25,12,5,2,14,18,,22,53,.415,7,22,.318,16,18,.889,7,27,11,5,2,15,23
17,17,2016-01-09,@,Colgate,W (1 OT),71,68,24,56,.429,3,13,.231,20,27,.741,8,37,10,5,9,12,19,,24,65,.369,10,37,.270,10,18,.556,13,38,12,7,3,11,23
18,18,2016-01-13,,Loyola (MD),W,60,52,17,41,.415,3,14,.214,23,35,.657,10,34,8,6,9,18,20,,16,52,.308,6,24,.250,14,20,.700,9,28,8,8,1,17,30
19,19,2016-01-16,,Lafayette,W,87,61,37,66,.561,9,17,.529,4,9,.444,16,36,26,6,5,8,18,,23,55,.418,9,27,.333,6,13,.462,10,25,15,6,1,11,14
20,20,2016-01-20,@,Lehigh,W,69,64,28,51,.549,1,9,.111,12,17,.706,9,27,16,9,2,13,14,,23,51,.451,8,19,.421,10,12,.833,9,24,15,8,5,17,18
21,21,2016-01-27,,American,L,58,63,21,46,.457,2,11,.182,14,20,.700,3,22,11,6,2,12,17,,20,47,.426,9,23,.391,14,15,.933,7,28,13,6,2,13,20
22,22,2016-01-30,@,Holy Cross,L (1 OT),80,87,26,50,.520,4,14,.286,24,34,.706,8,29,14,6,2,16,28,,27,55,.491,6,19,.316,27,35,.771,6,23,14,7,4,11,27
23,23,2016-02-01,@,Army,W,64,50,22,52,.423,4,8,.500,16,22,.727,10,39,7,5,2,12,18,,15,55,.273,6,28,.214,14,19,.737,11,30,7,3,4,10,18
24,24,2016-02-03,,Boston University,L,72,83,29,64,.453,2,16,.125,12,20,.600,9,23,17,7,3,7,26,,25,43,.581,9,15,.600,24,34,.706,5,37,13,2,7,18,23
25,25,2016-02-06,,Colgate,L,55,58,23,52,.442,1,14,.071,8,19,.421,11,32,11,2,2,7,18,,19,48,.396,11,25,.440,9,17,.529,8,29,12,2,4,7,16
26,26,2016-02-10,@,Loyola (MD),W,71,51,27,47,.574,7,16,.438,10,17,.588,7,28,18,7,5,15,20,,15,45,.333,4,19,.211,17,21,.810,7,23,9,6,0,15,16
27,27,2016-02-13,@,Lafayette,W,74,68,23,48,.479,8,16,.500,20,32,.625,7,38,12,3,4,10,17,,24,57,.421,9,23,.391,11,15,.733,2,24,13,6,0,7,27
28,28,2016-02-17,,Lehigh,L,74,77,28,54,.519,6,19,.316,12,19,.632,11,30,17,7,3,12,26,,22,50,.440,14,23,.609,19,29,.655,8,27,16,3,4,12,17
29,29,2016-02-20,,Army,L (2 OT),78,80,30,70,.429,1,8,.125,17,24,.708,13,47,15,8,4,17,22,,25,68,.368,11,27,.407,19,26,.731,12,40,14,4,3,15,21
30,30,2016-02-24,@,American,L,65,72,26,53,.491,1,11,.091,12,25,.480,10,29,8,5,2,15,27,,23,43,.535,9,18,.500,17,27,.630,3,27,13,6,0,13,22
31,31,2016-02-27,,Bucknell,L,73,77,23,50,.460,7,17,.412,20,31,.645,5,29,21,2,3,14,23,,24,55,.436,10,19,.526,19,26,.731,10,34,21,7,3,11,23
32,32,2016-03-01,,Lafayette,W,78,70,25,51,.490,6,15,.400,22,33,.667,10,38,19,7,1,14,22,,24,53,.453,9,19,.474,13,23,.565,7,25,14,5,2,16,23
33,33,2016-03-03,@,Lehigh,L,63,65,20,58,.345,7,21,.333,16,26,.615,9,32,12,4,6,6,22,,21,55,.382,3,14,.214,20,25,.800,7,31,13,3,3,8,21
