,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,UCSB,L,59,60,17,49,.347,3,22,.136,22,35,.629,8,33,10,10,3,19,18,,22,63,.349,4,22,.182,12,16,.750,14,42,10,9,3,20,25
2,2,2015-11-15,,Saint Mary's (MN),W,104,58,41,77,.532,13,33,.394,9,10,.900,10,45,22,14,8,12,21,,18,64,.281,8,29,.276,14,18,.778,8,26,10,8,2,21,12
3,3,2015-11-17,,UMKC,W (1 OT),95,89,27,64,.422,5,19,.263,36,48,.750,12,38,10,7,3,16,24,,30,67,.448,12,34,.353,17,23,.739,9,36,17,7,4,19,37
4,4,2015-11-22,@,Colorado,L,82,87,34,72,.472,5,14,.357,9,15,.600,7,31,12,11,0,8,30,,24,62,.387,5,18,.278,34,46,.739,18,50,9,5,7,12,18
5,5,2015-11-25,@,Northern Colorado,W,105,85,32,63,.508,8,20,.400,33,39,.846,5,29,17,11,7,11,24,,25,63,.397,7,21,.333,28,36,.778,14,41,14,3,9,17,21
6,6,2015-11-27,@,Minnesota,L,90,93,36,75,.480,7,23,.304,11,15,.733,14,39,20,8,3,11,24,,32,65,.492,11,20,.550,18,30,.600,11,38,21,8,8,9,15
7,7,2015-12-01,,Eastern Michigan,L,73,80,26,70,.371,4,17,.235,17,25,.680,18,47,13,7,0,16,24,,27,69,.391,8,22,.364,18,27,.667,14,37,13,7,5,13,24
8,8,2015-12-06,@,Montana State,W,100,97,37,71,.521,4,15,.267,22,25,.880,10,34,13,13,1,10,18,,34,66,.515,15,31,.484,14,21,.667,11,33,13,5,6,16,21
9,9,2015-12-09,@,Missouri,L,78,85,25,61,.410,5,22,.227,23,31,.742,7,29,14,9,3,16,26,,25,52,.481,6,16,.375,29,38,.763,6,36,13,9,3,18,24
10,10,2015-12-13,@,Grand Canyon,W (1 OT),108,104,34,61,.557,9,22,.409,31,40,.775,4,31,15,13,2,21,29,,37,77,.481,7,21,.333,23,33,.697,13,37,20,9,3,19,28
11,11,2015-12-16,,Simpson,W,81,71,30,73,.411,7,24,.292,14,25,.560,23,55,13,6,2,13,8,,27,67,.403,15,39,.385,2,2,1.000,4,32,19,4,3,13,22
12,12,2015-12-19,@,Wyoming,L,75,76,22,57,.386,8,23,.348,23,34,.676,10,32,17,7,0,9,24,,23,49,.469,8,23,.348,22,26,.846,2,31,13,4,4,13,22
13,13,2015-12-21,N,Eastern Illinois,W,80,68,31,58,.534,4,15,.267,14,23,.609,7,28,20,13,5,12,21,,24,64,.375,10,31,.323,10,15,.667,18,39,13,4,2,21,21
14,14,2015-12-22,N,Southern,W,74,53,29,63,.460,4,14,.286,12,16,.750,11,35,14,9,3,16,23,,19,51,.373,3,12,.250,12,26,.462,4,25,5,5,1,17,14
15,15,2016-01-01,,Western Illinois,W,82,80,27,59,.458,4,15,.267,24,32,.750,8,30,12,13,3,17,14,,33,65,.508,7,19,.368,7,9,.778,7,31,20,9,2,19,26
16,16,2016-01-03,,IUPUI,W,76,71,29,61,.475,3,14,.214,15,19,.789,7,27,10,7,6,16,11,,30,67,.448,1,15,.067,10,11,.909,14,36,8,12,1,14,21
17,17,2016-01-07,@,North Dakota State,W,91,82,33,61,.541,2,10,.200,23,31,.742,9,29,12,10,2,8,15,,29,60,.483,8,21,.381,16,18,.889,7,27,15,3,4,15,22
18,18,2016-01-09,@,South Dakota,W,79,73,22,47,.468,6,14,.429,29,35,.829,7,28,14,9,5,15,13,,33,68,.485,4,12,.333,3,3,1.000,9,25,15,9,3,13,25
19,19,2016-01-16,,IPFW,L (1 OT),101,106,38,78,.487,10,23,.435,15,17,.882,9,31,20,11,2,13,15,,39,75,.520,17,31,.548,11,12,.917,11,39,19,8,8,22,20
20,20,2016-01-21,@,Denver,W,69,55,24,49,.490,1,10,.100,20,22,.909,7,32,13,7,2,12,16,,17,49,.347,5,25,.200,16,17,.941,6,24,7,5,6,12,20
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
