Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Cal Poly,W,74,72,23,51,.451,3,14,.214,25,40,.625,14,40,16,4,5,19,24,,26,65,.400,7,25,.280,13,16,.813,12,32,13,9,1,13,30
2,2,2015-11-16,,New Mexico Highlands,W,107,45,40,74,.541,13,27,.481,14,23,.609,18,50,24,13,5,14,19,,15,54,.278,5,23,.217,10,18,.556,6,26,6,8,3,27,19
3,3,2015-11-18,,Southern Utah,W,84,64,30,64,.469,5,20,.250,19,26,.731,16,41,18,10,8,8,21,,21,55,.382,8,21,.381,14,20,.700,8,28,11,3,2,16,23
4,4,2015-11-23,N,UCLA,L,75,77,26,63,.413,9,29,.310,14,22,.636,13,31,12,12,5,16,23,,25,55,.455,4,10,.400,23,24,.958,9,31,12,8,4,19,20
5,5,2015-11-24,N,Chaminade,W,93,73,37,76,.487,4,16,.250,15,30,.500,16,45,15,16,7,10,17,,26,61,.426,10,19,.526,11,16,.688,6,32,17,6,2,22,25
6,6,2015-11-25,N,Indiana,W,72,69,27,61,.443,7,19,.368,11,20,.550,8,31,16,9,5,12,18,,24,52,.462,11,20,.550,10,19,.526,5,35,17,7,4,18,20
7,7,2015-11-28,,Prairie View,W,80,62,24,52,.462,8,20,.400,24,31,.774,6,32,18,9,8,16,18,,25,64,.391,3,13,.231,9,13,.692,9,33,11,7,2,19,27
8,8,2015-12-04,N,Oregon,W,80,69,26,58,.448,10,23,.435,18,21,.857,8,32,9,4,5,13,21,,24,61,.393,8,23,.348,13,21,.619,10,34,10,3,2,15,20
9,9,2015-12-09,@,Wichita State,L,50,56,19,47,.404,4,17,.235,8,13,.615,7,31,9,5,2,19,22,,21,56,.375,3,18,.167,11,22,.500,11,30,10,7,3,7,16
10,10,2015-12-12,@,UC-Riverside,W,73,62,27,66,.409,4,15,.267,15,26,.577,9,35,11,16,6,10,18,,21,61,.344,5,18,.278,15,21,.714,13,46,10,5,6,22,25
11,11,2015-12-16,,Arizona State,L,56,66,19,50,.380,7,21,.333,11,15,.733,6,28,14,5,8,16,23,,23,57,.404,4,19,.211,16,24,.667,9,35,8,6,1,11,16
12,12,2015-12-19,@,Arizona,L,70,82,28,66,.424,4,18,.222,10,14,.714,7,23,18,6,4,10,26,,25,48,.521,3,8,.375,29,39,.744,6,35,16,5,6,17,17
13,13,2015-12-22,,South Dakota,W,103,68,36,62,.581,18,32,.563,13,20,.650,9,32,27,11,6,14,14,,24,52,.462,9,18,.500,11,17,.647,2,20,14,7,4,19,20
14,14,2015-12-30,,Fresno State,L,66,69,16,48,.333,8,25,.320,26,35,.743,12,40,11,5,7,20,22,,25,57,.439,2,10,.200,17,26,.654,8,27,9,10,2,12,29
15,15,2016-01-06,@,Colorado State,L,65,66,25,54,.463,6,17,.353,9,16,.563,9,35,13,8,3,17,23,,24,60,.400,8,22,.364,10,17,.588,9,34,8,7,4,11,17
16,16,2016-01-09,@,Wyoming,L,57,59,19,47,.404,7,21,.333,12,21,.571,6,31,7,6,2,18,23,,16,47,.340,8,25,.320,19,27,.704,5,26,9,11,3,12,17
17,17,2016-01-12,,New Mexico,W,86,74,26,65,.400,7,30,.233,27,33,.818,10,38,14,6,6,7,21,,24,60,.400,6,13,.462,20,28,.714,10,38,10,3,3,14,24
18,18,2016-01-16,,Air Force,W,100,64,34,68,.500,13,25,.520,19,20,.950,19,50,21,4,8,12,14,,24,56,.429,4,13,.308,12,18,.667,4,19,16,7,2,9,17
19,19,2016-01-19,@,Utah State,W,80,68,31,58,.534,4,13,.308,14,21,.667,10,37,16,8,8,16,20,,25,64,.391,6,19,.316,12,18,.667,10,30,10,10,1,16,19
20,20,2016-01-23,@,Nevada,L,63,65,23,48,.479,3,19,.158,14,28,.500,4,29,14,6,8,16,26,,19,58,.328,0,9,.000,27,37,.730,12,36,9,9,2,11,24
21,21,2016-01-27,,Boise State,W,87,77,32,66,.485,6,21,.286,17,27,.630,9,39,17,13,6,11,24,,25,59,.424,6,18,.333,21,30,.700,6,35,7,5,4,17,22
22,22,2016-01-30,,San Diego State,L,52,67,22,60,.367,5,23,.217,3,9,.333,7,24,17,6,4,7,21,,22,49,.449,4,10,.400,19,27,.704,9,39,6,2,7,11,14
23,23,2016-02-02,@,New Mexico,L,83,87,29,67,.433,12,26,.462,13,16,.813,9,28,17,8,7,15,28,,28,61,.459,3,13,.231,28,36,.778,9,35,13,6,5,15,15
