,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,N,Coastal Carolina,W,73,56,26,65,.400,5,17,.294,16,24,.667,14,43,13,10,8,8,19,,18,60,.300,4,15,.267,16,28,.571,16,43,8,5,4,17,22
2,2,2015-11-15,N,Montana State,W,83,62,30,60,.500,2,13,.154,21,28,.750,13,38,10,5,7,10,23,,17,57,.298,5,21,.238,23,28,.821,12,29,5,3,1,13,24
3,3,2015-11-16,@,Hawaii,L,75,76,25,59,.424,2,10,.200,23,26,.885,6,36,5,5,6,14,26,,29,66,.439,4,19,.211,14,27,.519,8,32,9,8,4,9,25
4,4,2015-11-21,@,Pacific,W (2 OT),85,82,26,74,.351,6,19,.316,27,43,.628,24,57,9,7,9,12,20,,28,85,.329,9,33,.273,17,26,.654,20,47,12,3,2,9,26
5,5,2015-11-25,,Portland State,W,76,73,29,69,.420,5,18,.278,13,19,.684,14,39,17,10,5,12,16,,28,62,.452,5,18,.278,12,18,.667,11,38,16,6,4,16,19
6,6,2015-11-28,@,Cal State Fullerton,L,66,75,23,59,.390,7,20,.350,13,14,.929,9,39,14,7,7,19,20,,25,64,.391,6,20,.300,19,23,.826,9,34,13,10,5,11,17
7,7,2015-11-30,,Holy Names,W,108,57,40,67,.597,9,16,.563,19,25,.760,11,41,29,10,10,11,20,,18,63,.286,7,22,.318,14,20,.700,10,27,12,3,4,19,20
8,8,2015-12-05,@,Oregon State,L,62,66,21,65,.323,7,22,.318,13,20,.650,14,39,10,6,11,12,15,,27,66,.409,5,14,.357,7,12,.583,9,34,13,7,9,9,19
9,9,2015-12-09,,Fresno Pacific,W,119,70,40,67,.597,13,24,.542,26,34,.765,16,53,23,11,8,20,20,,23,71,.324,14,43,.326,10,14,.714,9,20,20,7,1,14,26
10,10,2015-12-12,,Drake,W,79,71,30,65,.462,4,19,.211,15,21,.714,13,35,11,9,5,7,21,,23,52,.442,10,22,.455,15,20,.750,8,31,17,3,1,14,19
11,11,2015-12-18,,Santa Clara,W,72,69,25,61,.410,7,25,.280,15,22,.682,12,40,15,3,4,10,15,,27,61,.443,12,30,.400,3,8,.375,4,27,20,4,3,11,20
12,12,2015-12-22,@,Wichita State,L,69,98,21,53,.396,6,17,.353,21,31,.677,8,27,9,8,5,18,38,,24,47,.511,6,19,.316,44,62,.710,7,32,16,8,2,11,23
13,13,2015-12-30,@,New Mexico,L,76,88,25,57,.439,4,15,.267,22,30,.733,11,28,12,13,7,19,30,,28,60,.467,3,11,.273,29,36,.806,14,34,18,10,4,19,23
14,14,2016-01-02,,Wyoming,W,71,68,24,55,.436,5,11,.455,18,23,.783,7,32,12,6,4,11,26,,19,49,.388,10,21,.476,20,28,.714,8,35,10,1,3,17,20
15,15,2016-01-06,@,Fresno State,L,63,85,18,51,.353,1,13,.077,26,32,.813,8,29,5,6,3,15,14,,36,68,.529,6,10,.600,7,11,.636,10,39,21,9,3,12,23
16,16,2016-01-09,@,Air Force,W,86,63,33,69,.478,7,18,.389,13,20,.650,10,41,16,10,6,7,25,,19,51,.373,5,20,.250,20,34,.588,6,37,12,4,2,17,18
17,17,2016-01-13,,Boise State,L,67,74,26,65,.400,5,20,.250,10,15,.667,13,35,16,6,5,15,25,,22,54,.407,4,16,.250,26,36,.722,10,39,13,6,2,13,16
18,18,2016-01-20,@,Wyoming,W,75,69,24,63,.381,7,14,.500,20,27,.741,11,40,8,3,10,9,22,,20,60,.333,9,32,.281,20,28,.714,5,35,14,3,2,8,18
19,19,2016-01-23,,UNLV,W,65,63,19,58,.328,0,9,.000,27,37,.730,12,36,9,9,2,11,24,,23,48,.479,3,19,.158,14,28,.500,4,29,14,6,8,16,26
20,20,2016-01-26,,San Diego State,L,54,57,19,64,.297,5,25,.200,11,19,.579,14,38,10,6,5,10,23,,15,52,.288,3,14,.214,24,32,.750,15,46,5,4,5,13,18
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,@,Utah State,W,89,84,28,57,.491,10,22,.455,23,28,.821,10,30,15,10,1,11,17,,32,60,.533,11,21,.524,9,18,.500,10,34,18,3,2,14,17
22,22,2016-02-06,@,Colorado State,L,67,76,24,62,.387,7,21,.333,12,18,.667,7,35,9,9,6,13,27,,23,67,.343,8,24,.333,22,32,.688,16,47,10,5,2,13,16
23,23,2016-02-10,,Air Force,W,72,52,25,48,.521,5,17,.294,17,20,.850,10,40,13,4,6,15,17,,20,60,.333,3,18,.167,9,15,.600,9,24,8,6,3,9,17
24,24,2016-02-13,,Fresno State,W (1 OT),77,72,25,55,.455,3,20,.150,24,34,.706,13,56,14,2,8,19,23,,20,67,.299,10,29,.345,22,30,.733,8,29,14,14,1,5,27
25,25,2016-02-17,@,San Jose State,W,61,55,23,57,.404,2,12,.167,13,23,.565,6,29,4,11,2,12,16,,20,53,.377,5,21,.238,10,18,.556,8,38,10,7,4,21,18
26,26,2016-02-20,@,UNLV,L (1 OT),91,102,27,80,.338,8,34,.235,29,34,.853,14,50,9,5,7,17,27,,33,73,.452,11,32,.344,25,34,.735,6,43,23,6,3,15,22
27,27,2016-02-24,,Utah State,W,73,68,27,57,.474,4,13,.308,15,20,.750,12,36,17,5,5,15,14,,24,63,.381,6,22,.273,14,15,.933,11,28,14,4,2,11,20
28,28,2016-02-28,,Colorado State,W (1 OT),87,80,27,71,.380,5,16,.313,28,35,.800,11,47,20,7,3,11,26,,25,72,.347,9,31,.290,21,35,.600,14,47,10,6,1,14,23
29,29,2016-03-02,@,Boise State,L,57,76,20,52,.385,1,14,.071,16,22,.727,7,30,4,8,4,19,18,,29,61,.475,9,24,.375,9,17,.529,12,35,14,7,2,15,18
30,30,2016-03-05,,New Mexico,L,66,71,25,68,.368,5,23,.217,11,16,.688,9,28,15,7,3,8,15,,26,57,.456,5,14,.357,14,19,.737,9,41,16,5,4,15,14
31,31,2016-03-10,N,New Mexico,W,64,62,24,60,.400,4,14,.286,12,19,.632,12,40,11,9,5,10,19,,19,53,.358,8,20,.400,16,20,.800,8,35,10,5,4,12,17
32,32,2016-03-11,N,San Diego State,L,55,67,18,53,.340,2,16,.125,17,22,.773,8,35,8,5,5,19,24,,21,58,.362,4,17,.235,21,32,.656,11,34,7,11,4,10,18
