,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,,Suffolk,W,94,70,33,60,.550,7,19,.368,21,32,.656,9,49,15,5,7,16,22,,21,69,.304,10,20,.500,18,25,.720,9,31,7,10,0,13,25
2,2,2013-11-13,@,Duquesne,W,84,81,33,62,.532,15,27,.556,3,4,.750,8,36,18,1,6,12,22,,27,64,.422,6,22,.273,21,31,.677,10,28,11,7,1,5,11
3,3,2013-11-17,,NJIT,L,63,71,23,60,.383,8,31,.258,9,17,.529,14,37,12,2,6,8,16,,28,53,.528,9,14,.643,6,8,.750,3,27,17,5,3,10,14
4,4,2013-11-21,@,Marquette,L,53,58,17,50,.340,8,22,.364,11,17,.647,10,32,13,5,0,19,27,,17,52,.327,3,22,.136,21,34,.618,12,29,11,10,4,11,15
5,5,2013-11-24,,Bryant,L,55,60,23,66,.348,4,19,.211,5,9,.556,10,34,6,4,2,11,20,,17,42,.405,6,18,.333,20,30,.667,2,33,8,6,1,13,17
6,6,2013-11-30,,Holy Cross,L,52,63,16,44,.364,5,18,.278,15,19,.789,4,29,7,6,4,16,19,,22,53,.415,6,19,.316,13,21,.619,8,31,9,5,2,14,19
7,7,2013-12-04,@,Central Connecticut,L,56,65,20,59,.339,5,15,.333,11,16,.688,12,41,12,4,3,17,20,,21,58,.362,2,16,.125,21,28,.750,11,33,13,10,5,10,15
8,8,2013-12-07,@,Yale,L,61,71,18,45,.400,5,14,.357,20,28,.714,9,27,7,4,1,10,27,,21,50,.420,3,18,.167,26,36,.722,16,38,12,7,2,12,22
9,9,2013-12-15,,Stony Brook,L,48,67,20,47,.426,6,26,.231,2,8,.250,5,21,11,7,4,14,15,,25,54,.463,10,22,.455,7,15,.467,12,33,15,5,1,12,15
10,10,2013-12-18,,Dartmouth,L,48,62,15,46,.326,8,21,.381,10,11,.909,5,17,7,3,2,10,15,,24,50,.480,7,18,.389,7,13,.538,12,36,12,4,4,12,16
11,11,2013-12-22,@,Rhode Island,L,45,62,11,49,.224,3,13,.231,20,29,.690,10,29,2,7,2,13,19,,21,50,.420,6,19,.316,14,21,.667,7,41,14,5,9,16,26
12,12,2013-12-30,@,Towson,L,64,72,18,54,.333,8,26,.308,20,29,.690,10,32,8,3,0,9,24,,22,45,.489,6,21,.286,22,28,.786,3,33,17,2,6,8,20
13,13,2014-01-04,,Sacred Heart,L,53,66,17,48,.354,4,20,.200,15,20,.750,6,27,6,4,4,10,16,,23,49,.469,7,15,.467,13,23,.565,8,31,14,7,0,9,20
14,14,2014-01-07,@,Brown,L,68,72,21,63,.333,9,26,.346,17,21,.810,12,36,10,4,1,13,18,,24,53,.453,8,21,.381,16,23,.696,4,33,12,6,6,12,22
15,15,2014-01-09,@,Binghamton,L,38,67,11,45,.244,5,20,.250,11,21,.524,7,25,5,8,1,16,13,,25,47,.532,10,19,.526,7,10,.700,5,31,12,8,2,16,21
16,16,2014-01-15,,UMBC,W,56,42,18,48,.375,9,24,.375,11,15,.733,9,33,6,5,2,15,16,,11,40,.275,4,13,.308,16,23,.696,6,25,1,5,2,19,17
17,17,2014-01-18,,Hartford,L,43,60,15,45,.333,6,22,.273,7,13,.538,8,28,7,4,4,16,16,,20,50,.400,9,24,.375,11,13,.846,7,29,10,8,3,10,13
18,18,2014-01-20,@,Vermont,L,40,57,15,43,.349,4,17,.235,6,8,.750,3,22,8,2,4,7,15,,18,54,.333,7,19,.368,14,17,.824,14,36,10,3,7,4,10
19,19,2014-01-23,,Albany (NY),W,60,56,17,50,.340,6,25,.240,20,24,.833,4,34,6,2,6,11,18,,22,64,.344,3,12,.250,9,15,.600,8,38,5,5,1,8,25
20,20,2014-01-26,@,UMass-Lowell,W,61,32,24,53,.453,9,24,.375,4,9,.444,4,37,23,4,7,8,20,,6,49,.122,0,20,.000,20,25,.800,10,32,6,4,2,10,14
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2014-01-29,,Maine,L,60,68,25,62,.403,6,16,.375,4,7,.571,9,33,8,7,5,16,19,,25,61,.410,3,17,.176,15,21,.714,8,34,12,11,0,12,12
22,22,2014-02-05,@,UMBC,L,57,68,16,48,.333,5,16,.313,20,25,.800,9,25,9,7,2,15,18,,21,40,.525,6,13,.462,20,22,.909,3,19,14,7,2,16,22
23,23,2014-02-08,@,Stony Brook,W,73,69,24,55,.436,14,30,.467,11,13,.846,4,31,18,4,4,6,16,,25,54,.463,8,19,.421,11,20,.550,5,29,13,2,1,8,14
24,24,2014-02-12,,Binghamton,L (1 OT),71,72,24,50,.480,11,21,.524,12,14,.857,4,37,18,3,7,20,20,,25,70,.357,7,23,.304,15,19,.789,10,31,14,11,4,8,17
25,25,2014-02-15,@,Hartford,L,59,61,19,49,.388,6,19,.316,15,19,.789,7,24,2,0,2,9,17,,21,46,.457,5,16,.313,14,20,.700,7,23,6,3,4,7,18
26,26,2014-02-19,,Vermont,L,44,79,13,57,.228,4,25,.160,14,21,.667,10,28,6,5,3,12,22,,24,51,.471,4,12,.333,27,31,.871,11,42,9,5,1,10,15
27,27,2014-02-22,,UMass-Lowell,L,52,58,20,56,.357,5,20,.250,7,12,.583,10,35,8,1,5,9,21,,20,52,.385,3,14,.214,15,24,.625,6,29,5,6,2,6,16
28,28,2014-02-27,@,Albany (NY),L,48,66,16,40,.400,7,21,.333,9,11,.818,4,20,11,2,3,16,25,,21,48,.438,3,11,.273,21,25,.840,9,23,7,6,3,11,14
29,29,2014-03-02,@,Maine,L,69,73,22,52,.423,9,20,.450,16,29,.552,9,33,14,5,1,18,25,,20,54,.370,4,19,.211,29,36,.806,10,30,15,9,4,12,18
30,30,2014-03-08,N,Vermont,L,60,77,20,47,.426,10,22,.455,10,13,.769,4,16,9,3,1,10,22,,25,51,.490,6,17,.353,21,27,.778,15,37,15,5,1,9,11
