Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Lyndon State,W,82,45,31,65,.477,8,23,.348,12,22,.545,18,62,21,1,3,14,8,,16,73,.219,6,34,.176,7,8,.875,9,28,6,9,1,4,19
2,2,2015-11-17,@,UConn,L,66,85,22,61,.361,10,26,.385,12,18,.667,6,25,12,5,1,4,13,,30,57,.526,13,27,.481,12,16,.750,8,39,18,2,7,11,17
3,3,2015-11-19,@,Holy Cross,W,73,69,27,48,.563,10,19,.526,9,13,.692,8,32,13,7,0,15,8,,25,53,.472,15,35,.429,4,7,.571,5,19,21,7,3,10,13
4,4,2015-11-24,@,Brown,W,88,77,27,50,.540,6,15,.400,28,34,.824,5,39,11,5,2,14,23,,26,60,.433,9,28,.321,16,26,.615,7,29,17,7,4,11,26
5,5,2015-11-28,,American,L,50,68,16,44,.364,1,14,.071,17,25,.680,4,31,7,3,0,12,17,,25,53,.472,9,25,.360,9,17,.529,5,31,6,8,4,6,17
6,6,2015-11-30,,Bryant,W,75,67,28,62,.452,10,28,.357,9,12,.750,9,32,11,2,1,10,13,,28,60,.467,3,17,.176,8,12,.667,8,34,6,7,3,12,20
7,7,2015-12-03,@,Abilene Christian,W,86,75,32,60,.533,6,17,.353,16,24,.667,8,31,18,3,1,13,20,,24,50,.480,8,15,.533,19,24,.792,4,29,12,3,4,12,22
8,8,2015-12-05,@,SMU,L,44,98,16,60,.267,4,24,.167,8,11,.727,10,22,9,5,0,11,21,,33,57,.579,14,25,.560,18,24,.750,14,48,23,6,8,10,16
9,9,2015-12-08,,Worcester State,W,100,66,43,81,.531,6,16,.375,8,13,.615,14,47,19,7,3,16,12,,27,71,.380,7,25,.280,5,7,.714,8,26,5,8,2,18,16
10,10,2015-12-13,@,Colgate,L,59,75,22,55,.400,7,11,.636,8,12,.667,8,29,9,2,1,9,12,,29,61,.475,11,28,.393,6,9,.667,9,34,15,5,3,7,13
11,11,2015-12-19,,Dartmouth,W,76,56,26,52,.500,7,19,.368,17,28,.607,11,40,14,4,1,18,24,,16,57,.281,6,20,.300,18,23,.783,9,30,3,7,0,13,26
12,12,2015-12-21,@,Boston University,L,74,78,25,64,.391,5,22,.227,19,30,.633,15,36,8,6,0,8,23,,26,47,.553,8,17,.471,18,28,.643,3,28,12,4,5,14,25
13,13,2015-12-30,@,Boston College,L (1 OT),67,72,24,60,.400,6,21,.286,13,21,.619,12,38,15,4,0,14,24,,26,53,.491,6,15,.400,14,24,.583,4,32,10,5,5,15,23
14,14,2016-01-09,,Binghamton,W,58,43,19,56,.339,6,20,.300,14,17,.824,7,31,8,3,1,5,13,,17,47,.362,3,20,.150,6,12,.500,7,33,5,3,0,14,18
15,15,2016-01-12,@,Albany (NY),L (1 OT),75,80,25,53,.472,11,25,.440,14,19,.737,2,30,14,4,1,21,25,,23,61,.377,11,24,.458,23,27,.852,7,32,13,8,3,14,20
16,16,2016-01-16,,Stony Brook,L,50,80,18,57,.316,3,15,.200,11,16,.688,11,32,7,5,3,14,17,,29,60,.483,8,19,.421,14,17,.824,8,35,12,9,5,8,16
