,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Houston Baptist,W,91,69,34,59,.576,6,17,.353,17,20,.850,10,44,15,3,5,17,25,,24,64,.375,6,21,.286,15,22,.682,8,24,9,9,0,10,21
2,2,2015-11-15,,New Mexico,L,74,83,25,62,.403,5,24,.208,19,26,.731,15,33,7,3,4,9,20,,27,60,.450,7,17,.412,22,23,.957,13,33,5,1,2,11,27
3,3,2015-11-18,,Tennessee Tech,W,76,63,32,64,.500,6,12,.500,6,15,.400,14,46,18,4,1,15,12,,22,57,.386,7,23,.304,12,14,.857,3,26,7,3,2,12,18
4,4,2015-11-21,,Mississippi Valley State,W,85,46,34,65,.523,10,24,.417,7,9,.778,9,50,21,4,3,10,10,,18,69,.261,2,12,.167,8,13,.615,11,31,7,4,3,9,15
5,5,2015-11-24,,Robert Morris,W (1 OT),81,71,31,61,.508,6,18,.333,13,19,.684,15,44,14,2,2,18,11,,29,66,.439,8,26,.308,5,9,.556,8,27,12,6,3,9,16
6,6,2015-11-28,@,Air Force,L (1 OT),64,66,23,52,.442,4,13,.308,14,21,.667,8,44,12,2,7,17,16,,24,65,.369,8,27,.296,10,12,.833,5,28,14,6,1,6,21
7,7,2015-12-02,,UTEP,W,73,59,29,67,.433,6,22,.273,9,16,.563,16,48,16,7,7,12,12,,22,54,.407,8,24,.333,7,12,.583,1,24,12,3,5,13,21
8,8,2015-12-05,@,Long Beach State,L,53,67,18,54,.333,4,15,.267,13,20,.650,14,39,11,4,2,17,9,,25,58,.431,14,25,.560,3,9,.333,9,33,16,7,0,12,18
9,9,2015-12-13,,Wyoming,L,59,62,21,60,.350,2,14,.143,15,17,.882,17,43,8,8,6,14,20,,21,47,.447,7,16,.438,13,23,.565,5,25,10,4,1,13,16
10,10,2015-12-16,@,New Mexico,L,61,79,24,53,.453,0,7,.000,13,29,.448,5,26,17,4,5,10,15,,30,63,.476,7,20,.350,12,17,.706,7,32,20,6,3,11,26
11,11,2015-12-19,@,UTEP,W,73,53,24,49,.490,11,19,.579,14,19,.737,9,36,15,2,2,16,17,,19,55,.345,4,12,.333,11,16,.688,8,23,13,4,2,11,21
12,12,2015-12-21,,Oral Roberts,W,76,61,27,58,.466,2,10,.200,20,27,.741,18,38,7,3,3,11,15,,25,56,.446,2,9,.222,9,14,.643,11,27,8,1,0,14,19
13,13,2015-12-23,@,Baylor,L,70,85,24,46,.522,4,11,.364,18,21,.857,4,25,18,5,5,22,19,,31,65,.477,8,23,.348,15,19,.789,9,26,24,12,2,8,17
14,14,2015-12-30,,Arizona Christian,W,81,61,32,62,.516,6,15,.400,11,15,.733,11,37,16,1,4,10,13,,20,57,.351,12,24,.500,9,13,.692,9,29,11,5,0,15,17
15,15,2016-01-02,@,UC-Irvine,L,52,54,22,53,.415,7,19,.368,1,1,1.000,8,34,14,3,3,15,9,,21,54,.389,4,11,.364,8,13,.615,6,28,12,7,2,7,13
16,16,2016-01-07,@,Utah Valley,W,78,66,28,68,.412,2,19,.105,20,24,.833,16,45,17,4,5,7,16,,25,60,.417,7,23,.304,9,20,.450,11,36,12,4,4,12,23
17,17,2016-01-09,@,Grand Canyon,L,75,79,29,59,.492,7,14,.500,10,18,.556,13,36,16,2,5,9,18,,28,58,.483,5,12,.417,18,26,.692,8,29,13,5,3,4,17
18,18,2016-01-14,,UMKC,W,65,64,25,58,.431,5,19,.263,10,18,.556,9,41,16,1,8,11,14,,23,66,.348,8,13,.615,10,13,.769,8,34,9,6,1,6,18
19,19,2016-01-16,,Chicago State,W,80,62,28,59,.475,3,19,.158,21,33,.636,18,52,17,1,10,12,17,,22,69,.319,4,20,.200,14,23,.609,17,35,1,6,2,8,28
20,20,2016-01-21,@,Seattle,W,68,60,21,45,.467,4,15,.267,22,26,.846,15,37,11,9,3,23,15,,23,45,.511,8,12,.667,6,13,.462,3,14,13,8,1,15,24
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-23,@,Cal State Bakersfield,W (2 OT),68,67,26,61,.426,4,10,.400,12,18,.667,9,33,13,4,7,18,18,,25,65,.385,3,15,.200,14,25,.560,14,42,10,10,0,15,20
22,22,2016-01-30,,Texas-Rio Grande Valley,W,92,68,39,67,.582,10,22,.455,4,9,.444,14,38,27,6,4,10,15,,23,57,.404,10,24,.417,12,15,.800,9,25,14,6,0,11,13
23,23,2016-02-04,,Grand Canyon,W,70,50,27,50,.540,4,15,.267,12,18,.667,11,42,12,3,8,17,21,,17,57,.298,3,17,.176,13,17,.765,9,25,7,3,0,12,20
24,24,2016-02-06,,Utah Valley,W,98,74,36,65,.554,8,15,.533,18,26,.692,8,41,21,2,3,5,15,,25,59,.424,11,26,.423,13,21,.619,4,28,16,2,3,11,26
25,25,2016-02-08,,Northern New Mexico,W,85,54,33,55,.600,8,15,.533,11,16,.688,9,43,21,5,5,14,10,,21,62,.339,5,24,.208,7,8,.875,6,20,8,2,1,8,15
26,26,2016-02-13,@,Chicago State,W,69,55,25,44,.568,7,18,.389,12,18,.667,6,31,19,5,7,17,19,,16,48,.333,5,17,.294,18,25,.720,7,20,7,7,1,13,20
27,27,2016-02-15,@,Wichita State,L,41,71,15,39,.385,2,10,.200,9,17,.529,4,28,3,1,7,20,18,,27,59,.458,6,15,.400,11,20,.550,9,30,12,10,5,3,19
28,28,2016-02-18,,Cal State Bakersfield,W,63,55,17,51,.333,6,18,.333,23,35,.657,9,42,8,2,9,14,20,,18,64,.281,3,18,.167,16,19,.842,12,39,7,7,3,7,25
29,29,2016-02-20,,Seattle,W,70,57,20,55,.364,5,20,.250,25,31,.806,14,37,10,10,7,15,16,,22,60,.367,5,17,.294,8,10,.800,14,36,6,4,1,19,29
30,30,2016-02-27,@,UMKC,W,62,61,20,46,.435,4,10,.400,18,31,.581,7,30,10,6,2,11,17,,24,64,.375,6,25,.240,7,12,.583,14,40,12,7,5,13,27
31,31,2016-03-05,@,Texas-Rio Grande Valley,W,83,44,33,68,.485,3,13,.231,14,23,.609,13,49,19,6,1,8,15,,15,54,.278,6,22,.273,8,12,.667,3,25,10,3,4,15,17
