,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,Bowling Green State,L,61,79,22,62,.355,4,14,.286,13,20,.650,10,37,8,5,3,15,27,,25,55,.455,6,23,.261,23,33,.697,9,40,13,6,5,14,21
2,2,2015-11-16,@,Duquesne,L,75,95,24,59,.407,5,12,.417,22,36,.611,14,30,16,8,1,14,22,,32,52,.615,14,29,.483,17,25,.680,6,31,25,6,5,19,29
3,3,2015-11-19,,Pensacola Christian,W,94,57,30,60,.500,9,19,.474,25,36,.694,21,46,17,14,0,17,21,,18,45,.400,4,18,.222,17,26,.654,5,21,10,11,2,21,26
4,4,2015-11-25,@,Bradley,W,64,51,21,56,.375,7,12,.583,15,27,.556,11,38,11,7,6,14,27,,17,54,.315,2,18,.111,15,28,.536,13,41,5,5,5,13,23
5,5,2015-11-28,@,Northwestern,L,63,90,18,48,.375,4,9,.444,23,33,.697,4,16,13,6,3,14,17,,32,58,.552,12,26,.462,14,15,.933,9,36,22,6,10,15,24
6,6,2015-12-02,@,Tulane,L,62,64,21,64,.328,4,17,.235,16,28,.571,19,45,11,9,2,13,22,,22,60,.367,2,17,.118,18,29,.621,16,46,10,8,6,15,21
7,7,2015-12-05,@,Ball State,L,52,66,19,55,.345,4,14,.286,10,14,.714,11,32,11,6,1,14,17,,23,53,.434,7,23,.304,13,19,.684,11,34,12,10,5,13,14
8,8,2015-12-12,,Williams Baptist,W,83,66,30,58,.517,7,17,.412,16,25,.640,8,37,20,13,3,19,15,,26,66,.394,6,21,.286,8,12,.667,11,33,14,13,3,21,19
9,9,2015-12-16,@,UMass,L (1 OT),95,103,35,79,.443,7,22,.318,18,20,.900,14,35,19,8,3,14,35,,31,62,.500,6,18,.333,35,46,.761,9,36,18,11,4,17,21
10,10,2015-12-21,@,Louisiana-Lafayette,L,69,79,23,60,.383,4,14,.286,19,26,.731,11,36,13,8,6,14,27,,26,65,.400,4,18,.222,23,40,.575,21,44,11,9,4,13,19
11,11,2015-12-29,,Blue Mountain College,W,94,61,29,52,.558,7,16,.438,29,43,.674,11,39,18,18,2,22,24,,20,53,.377,6,23,.261,15,26,.577,10,28,11,11,3,24,31
12,12,2016-01-04,@,Lamar,W,68,64,23,68,.338,6,16,.375,16,25,.640,15,35,10,16,2,16,18,,23,63,.365,10,28,.357,8,11,.727,21,50,15,7,9,27,22
13,13,2016-01-09,@,Sam Houston State,L,70,73,19,53,.358,5,15,.333,27,35,.771,8,36,15,4,5,14,30,,19,50,.380,6,21,.286,29,37,.784,8,38,17,6,5,12,31
14,14,2016-01-11,,Incarnate Word,L,68,71,26,61,.426,4,18,.222,12,15,.800,12,40,14,3,5,10,21,,22,57,.386,6,23,.261,21,25,.840,9,31,12,4,6,7,12
15,15,2016-01-16,,Houston Baptist,L,69,73,24,66,.364,3,14,.214,18,32,.563,13,35,10,8,4,10,26,,22,53,.415,3,16,.188,26,33,.788,10,42,7,6,6,17,27
16,16,2016-01-18,,Stephen F. Austin,L,58,82,17,48,.354,4,17,.235,20,27,.741,8,26,12,5,2,18,16,,30,50,.600,11,18,.611,11,15,.733,5,29,19,7,3,16,25
17,17,2016-01-23,@,Texas A&M-Corpus Christi,L,76,97,25,61,.410,6,14,.429,20,26,.769,15,35,9,8,3,15,19,,34,66,.515,13,23,.565,16,22,.727,12,33,23,13,4,12,20
18,18,2016-01-25,,Central Arkansas,W,94,83,33,64,.516,5,14,.357,23,33,.697,9,38,20,8,2,10,20,,27,63,.429,13,26,.500,16,26,.615,12,37,15,3,3,19,31
19,19,2016-01-30,,McNeese State,W,76,64,30,67,.448,4,13,.308,12,21,.571,11,41,19,8,3,17,14,,24,64,.375,3,19,.158,13,17,.765,9,37,13,10,5,14,19
20,20,2016-02-01,,Nicholls State,W,74,53,25,62,.403,6,12,.500,18,21,.857,12,35,13,13,3,18,26,,15,43,.349,3,16,.188,20,32,.625,13,36,7,7,9,29,23
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-06,@,Central Arkansas,L,77,112,28,68,.412,4,18,.222,17,28,.607,13,27,15,7,1,11,20,,41,66,.621,9,24,.375,21,25,.840,11,39,28,5,8,13,23
22,22,2016-02-11,@,McNeese State,L,76,87,28,62,.452,6,16,.375,14,18,.778,10,33,13,6,1,15,18,,30,61,.492,10,24,.417,17,21,.810,10,33,15,8,3,10,14
23,23,2016-02-15,,Texas A&M-Corpus Christi,L,57,65,18,46,.391,3,11,.273,18,26,.692,13,42,9,4,3,21,15,,23,58,.397,7,17,.412,12,15,.800,7,24,10,14,2,9,21
24,24,2016-02-20,@,Northwestern State,W,102,99,35,75,.467,5,17,.294,27,34,.794,17,43,13,8,1,14,27,,32,74,.432,7,16,.438,28,34,.824,15,38,14,11,0,13,23
25,25,2016-02-24,@,Southeastern Louisiana,L,81,93,28,72,.389,5,25,.200,20,26,.769,13,30,9,8,2,10,17,,34,60,.567,13,19,.684,12,17,.706,6,33,18,6,4,15,19
26,26,2016-02-27,@,Abilene Christian,L,84,87,26,55,.473,4,8,.500,28,39,.718,9,32,12,10,3,16,25,,28,55,.509,10,24,.417,21,30,.700,7,31,15,8,2,17,28
27,27,2016-02-29,@,Nicholls State,L,76,80,25,54,.463,5,13,.385,21,30,.700,11,26,10,8,1,15,15,,32,60,.533,7,20,.350,9,13,.692,12,32,13,6,11,16,22
28,28,2016-03-03,,Southeastern Louisiana,L,60,61,23,68,.338,3,20,.150,11,22,.500,24,42,13,11,2,13,17,,19,42,.452,7,19,.368,16,21,.762,7,30,13,9,4,20,20
29,29,2016-03-05,,Northwestern State,W,97,86,34,60,.567,11,22,.500,18,27,.667,11,33,19,12,2,20,25,,27,54,.500,8,21,.381,24,31,.774,8,28,17,10,0,17,22
