,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-15,@,Florida State,L,62,109,22,58,.379,7,26,.269,11,22,.500,4,20,9,5,0,17,23,,40,61,.656,10,20,.500,19,28,.679,7,38,18,11,1,13,23
2,2,2015-11-19,,Mobile,W,80,58,27,60,.450,5,20,.250,21,35,.600,11,33,15,14,3,11,19,,23,50,.460,3,15,.200,9,17,.529,6,33,11,3,4,28,30
3,3,2015-11-22,@,Hawaii,L,74,99,20,55,.364,11,27,.407,23,30,.767,6,17,12,6,0,7,18,,39,59,.661,10,23,.435,11,19,.579,9,38,26,4,5,10,27
4,4,2015-11-25,@,New Mexico,L,63,75,21,64,.328,9,32,.281,12,19,.632,10,35,13,6,3,12,20,,26,63,.413,6,29,.207,17,23,.739,9,42,20,9,4,11,20
5,5,2015-12-01,,Louisiana College,W,80,62,27,58,.466,4,15,.267,22,35,.629,8,38,17,4,7,14,21,,24,61,.393,1,15,.067,13,21,.619,7,35,9,6,1,20,30
6,6,2015-12-05,,Loyola (LA),W,89,74,31,61,.508,8,27,.296,19,27,.704,10,38,20,9,5,19,18,,27,66,.409,5,19,.263,15,22,.682,12,33,10,13,1,19,27
7,7,2015-12-10,@,San Diego State,L,47,84,14,57,.246,4,22,.182,15,17,.882,6,30,10,2,5,20,21,,29,60,.483,8,20,.400,18,25,.720,7,42,17,11,10,13,18
8,8,2015-12-14,@,North Texas,L,60,78,23,55,.418,5,20,.250,9,12,.750,7,30,8,7,2,14,21,,26,61,.426,4,15,.267,22,30,.733,15,42,13,9,5,9,18
9,9,2015-12-16,@,SMU,L,42,86,16,63,.254,3,22,.136,7,12,.583,8,21,7,9,2,11,15,,33,65,.508,7,19,.368,13,21,.619,20,59,24,5,6,16,11
