,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,@,South Carolina,L,69,84,19,56,.339,11,28,.393,20,23,.870,9,32,12,7,3,17,35,,23,59,.390,9,22,.409,29,42,.690,15,39,15,9,4,13,19
2,2,2015-11-17,,Washington Adventist,W,78,58,26,66,.394,6,18,.333,20,27,.741,9,42,11,5,7,14,22,,21,65,.323,4,18,.222,12,19,.632,10,41,12,3,4,15,23
3,3,2015-11-20,N,Indiana State,L,61,70,18,53,.340,2,9,.222,23,31,.742,13,43,6,4,6,15,20,,24,60,.400,10,24,.417,12,19,.632,6,26,13,5,0,6,22
4,4,2015-11-21,N,Ohio,L,71,93,24,57,.421,8,16,.500,15,21,.714,10,23,9,5,0,11,23,,28,55,.509,14,26,.538,23,29,.793,12,36,25,7,9,13,18
5,5,2015-11-23,N,DePaul,L,78,82,26,58,.448,14,28,.500,12,20,.600,8,25,13,3,1,6,25,,27,46,.587,6,18,.333,22,30,.733,3,29,18,1,4,8,19
6,6,2015-11-30,@,Northern Arizona,W,70,66,24,60,.400,8,19,.421,14,17,.824,8,34,14,5,4,9,18,,22,58,.379,9,25,.360,13,19,.684,9,34,13,3,5,11,16
7,7,2015-12-02,,Mercy,W,71,65,23,46,.500,4,11,.364,21,32,.656,10,35,10,5,6,18,21,,23,70,.329,6,20,.300,13,18,.722,14,31,8,4,1,11,26
8,8,2015-12-07,@,Coppin State,W,88,56,30,54,.556,7,13,.538,21,27,.778,8,34,17,8,5,10,13,,21,57,.368,6,21,.286,8,11,.727,8,20,16,3,2,14,22
9,9,2015-12-13,@,Northern Kentucky,L,60,81,19,55,.345,4,15,.267,18,19,.947,12,29,12,6,5,12,17,,31,54,.574,11,20,.550,8,13,.615,7,32,18,3,3,11,20
10,10,2015-12-15,@,Cincinnati,L,59,75,21,59,.356,7,24,.292,10,12,.833,5,30,12,7,3,13,18,,26,57,.456,10,21,.476,13,21,.619,11,36,20,9,8,13,13
11,11,2015-12-17,@,Evansville,L,70,84,26,50,.520,6,16,.375,12,14,.857,6,19,8,9,6,12,19,,30,50,.600,7,15,.467,17,19,.895,5,21,23,6,2,12,13
12,12,2015-12-21,@,UTEP,W,85,76,24,52,.462,9,18,.500,28,30,.933,11,37,12,3,4,18,25,,26,61,.426,9,28,.321,15,24,.625,9,23,17,4,5,10,25
13,13,2015-12-22,N,UC-Irvine,L,62,80,16,58,.276,8,24,.333,22,28,.786,8,26,8,5,3,11,27,,25,53,.472,8,19,.421,22,33,.667,12,45,17,7,8,12,19
