Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Purdue,L,40,81,14,58,.241,0,15,.000,12,18,.667,6,27,5,5,1,12,29,,24,53,.453,12,31,.387,21,32,.656,12,45,21,4,8,13,22
2,2,2015-11-16,@,Florida,L,54,104,17,52,.327,4,16,.250,16,28,.571,7,21,5,9,2,15,21,,37,69,.536,15,29,.517,15,23,.652,17,46,20,8,7,13,23
3,3,2015-11-18,,Roanoke,L,87,94,34,70,.486,5,22,.227,14,21,.667,12,41,19,6,4,17,22,,31,62,.500,11,29,.379,21,29,.724,5,26,17,8,5,9,15
4,4,2015-11-21,N,Buffalo,L,68,86,25,56,.446,5,13,.385,13,20,.650,13,30,9,3,3,16,27,,26,64,.406,10,24,.417,24,32,.750,18,35,15,5,3,10,18
5,5,2015-11-22,N,Niagara,L,72,73,31,64,.484,8,19,.421,2,4,.500,8,27,15,6,5,10,17,,27,55,.491,5,15,.333,14,20,.700,11,36,16,6,3,16,12
6,6,2015-11-24,@,Virginia Tech,L,60,90,24,66,.364,6,21,.286,6,10,.600,12,32,12,7,3,20,34,,27,54,.500,2,13,.154,34,50,.680,10,37,17,6,6,15,17
7,7,2015-11-28,@,North Dakota State,L,56,77,19,50,.380,5,14,.357,13,19,.684,8,32,8,5,3,16,23,,25,54,.463,8,31,.258,19,26,.731,7,29,17,7,4,8,12
8,8,2015-11-30,,Northern Kentucky,W,74,63,25,53,.472,8,17,.471,16,24,.667,8,29,12,5,4,12,16,,26,60,.433,5,24,.208,6,13,.462,8,27,10,7,3,13,22
9,9,2015-12-02,,North Carolina-Greensboro,W,77,68,21,38,.553,8,17,.471,27,38,.711,1,30,13,1,2,15,13,,24,63,.381,12,32,.375,8,17,.471,10,30,17,4,0,10,26
10,10,2015-12-05,,Howard,W,66,63,22,60,.367,4,20,.200,18,22,.818,9,34,12,4,1,10,23,,17,56,.304,3,14,.214,26,35,.743,13,40,6,6,0,14,20
11,11,2015-12-07,,Maryland-Eastern Shore,W,80,74,20,43,.465,7,17,.412,33,45,.733,8,30,7,6,3,17,17,,25,56,.446,8,25,.320,16,21,.762,9,26,15,8,4,17,29
12,12,2015-12-13,@,East Carolina,L,60,71,21,53,.396,5,19,.263,13,17,.765,9,28,15,2,5,14,20,,25,55,.455,4,19,.211,17,24,.708,11,35,16,6,3,10,16
13,13,2015-12-17,,Grambling,W,61,47,23,52,.442,5,17,.294,10,14,.714,7,35,11,5,2,20,18,,15,51,.294,3,18,.167,14,23,.609,8,29,6,10,2,16,18
14,14,2015-12-21,@,Toledo,L,62,95,23,66,.348,10,25,.400,6,12,.500,11,33,13,3,2,15,26,,31,65,.477,11,31,.355,22,33,.667,12,44,22,6,3,9,13
15,15,2015-12-30,,Kent State,L,60,61,20,46,.435,4,11,.364,16,21,.762,6,22,11,8,1,11,16,,20,48,.417,5,22,.227,16,21,.762,12,30,10,8,2,15,20
16,16,2016-01-05,@,South Carolina Upstate,L,68,78,26,61,.426,7,24,.292,9,11,.818,8,25,13,5,1,6,19,,28,55,.509,12,23,.522,10,17,.588,11,36,18,3,2,13,15
17,17,2016-01-09,@,Savannah State,L,68,75,26,59,.441,9,19,.474,7,12,.583,7,29,15,5,1,11,28,,22,45,.489,7,22,.318,24,37,.649,4,29,15,4,4,11,18
18,18,2016-01-11,@,South Carolina State,L,85,92,31,53,.585,9,24,.375,14,20,.700,5,23,9,0,1,13,34,,26,45,.578,7,18,.389,33,45,.733,6,24,15,4,1,9,22
19,19,2016-01-16,,Hampton,L,62,79,18,55,.327,3,17,.176,23,30,.767,9,32,4,8,2,9,22,,27,58,.466,14,34,.412,11,19,.579,6,35,18,7,2,15,23
20,20,2016-01-18,,Norfolk State,L,68,75,19,60,.317,6,25,.240,24,31,.774,18,38,7,3,2,15,22,,24,52,.462,7,20,.350,20,26,.769,8,27,11,3,4,12,24
21,21,2016-01-25,@,Delaware State,L,55,57,17,61,.279,7,28,.250,14,23,.609,15,42,14,4,3,18,19,,20,58,.345,8,25,.320,9,19,.474,9,34,17,9,1,17,18
22,22,2016-01-27,@,Coppin State,L,68,73,25,67,.373,5,19,.263,13,15,.867,11,33,6,3,2,11,27,,22,60,.367,4,15,.267,25,34,.735,12,37,8,1,6,10,20
23,23,2016-01-30,,Savannah State,W,63,62,20,38,.526,7,15,.467,16,19,.842,2,24,13,5,3,20,19,,19,46,.413,9,27,.333,15,22,.682,5,17,13,8,0,12,21
24,24,2016-02-03,,Charlotte,L,72,92,28,64,.438,5,15,.333,11,15,.733,9,26,8,8,3,13,16,,34,61,.557,11,25,.440,13,16,.813,7,34,24,8,1,15,12
25,25,2016-02-06,@,North Carolina Central,W (1 OT),67,63,26,61,.426,6,22,.273,9,17,.529,11,35,11,5,2,9,16,,20,55,.364,9,30,.300,14,20,.700,7,37,12,3,2,9,18
26,26,2016-02-13,,Florida A&M,W,75,68,16,47,.340,4,19,.211,39,48,.813,8,34,9,8,2,18,28,,20,48,.417,9,18,.500,19,31,.613,5,23,12,8,0,21,33
27,27,2016-02-15,,Bethune-Cookman,L (1 OT),77,83,28,74,.378,8,28,.286,13,17,.765,13,36,13,7,3,9,29,,26,57,.456,7,25,.280,24,35,.686,11,40,12,3,6,14,19
28,28,2016-02-22,@,Morgan State,L,51,72,19,56,.339,4,18,.222,9,18,.500,13,30,8,2,3,11,23,,23,54,.426,3,14,.214,23,30,.767,10,32,16,6,3,6,13
29,29,2016-02-27,@,Florida A&M,W (1 OT),77,70,27,66,.409,6,20,.300,17,18,.944,8,39,5,10,2,13,27,,20,53,.377,8,25,.320,22,38,.579,5,32,13,5,3,13,19
30,30,2016-02-29,@,Bethune-Cookman,L,52,62,20,62,.323,6,22,.273,6,8,.750,15,41,9,2,1,11,15,,26,59,.441,5,25,.200,5,10,.500,9,34,13,8,7,8,12
31,31,2016-03-03,,North Carolina Central,W,93,87,31,51,.608,13,25,.520,18,26,.692,7,28,15,6,1,11,18,,32,58,.552,10,19,.526,13,19,.684,8,21,16,4,2,11,24
32,32,2016-03-07,N,Coppin State,L (2 OT),91,98,29,74,.392,10,30,.333,23,34,.676,16,43,13,6,4,10,34,,27,62,.435,10,27,.370,34,50,.680,12,37,15,6,4,12,27
