,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Greensboro,W,86,69,27,52,.519,6,22,.273,26,33,.788,6,31,10,7,0,9,18,,24,59,.407,7,20,.350,14,19,.737,11,30,9,4,0,14,25
2,2,2015-11-17,,Chowan,W,81,60,30,55,.545,8,18,.444,13,21,.619,6,36,14,4,2,6,21,,21,59,.356,4,16,.250,14,22,.636,10,30,4,2,3,6,19
3,3,2015-11-21,@,UCF,L,54,65,21,69,.304,9,34,.265,3,3,1.000,11,32,12,5,0,8,15,,27,58,.466,7,21,.333,4,8,.500,10,41,18,5,5,14,7
4,4,2015-11-27,,Navy,L,66,70,24,60,.400,14,31,.452,4,6,.667,4,27,10,7,1,14,21,,26,52,.500,3,12,.250,15,21,.714,4,32,9,7,5,13,17
5,5,2015-11-28,,IPFW,L,58,64,21,58,.362,7,24,.292,9,12,.750,8,30,5,6,2,13,22,,21,49,.429,8,20,.400,14,16,.875,6,31,11,5,6,15,17
6,6,2015-11-29,,Jacksonville,W,71,69,25,59,.424,10,27,.370,11,18,.611,9,33,12,6,3,8,17,,25,57,.439,10,24,.417,9,12,.750,8,35,11,4,0,14,22
7,7,2015-12-02,@,North Carolina A&T,L,68,77,24,63,.381,12,32,.375,8,17,.471,10,30,17,4,0,10,26,,21,38,.553,8,17,.471,27,38,.711,1,30,13,1,2,15,13
8,8,2015-12-09,@,High Point,L,72,90,29,65,.446,7,22,.318,7,10,.700,8,26,13,6,2,9,21,,32,56,.571,6,10,.600,20,23,.870,8,35,20,6,7,10,15
9,9,2015-12-12,,Belmont Abbey,W,84,61,32,63,.508,10,26,.385,10,13,.769,7,31,22,14,4,12,13,,23,55,.418,7,20,.350,8,11,.727,6,29,10,6,0,20,15
10,10,2015-12-15,@,Wake Forest,L,71,81,27,63,.429,7,23,.304,10,12,.833,9,31,13,11,0,17,26,,23,47,.489,8,20,.400,27,39,.692,6,32,15,7,8,16,17
11,11,2015-12-19,@,Elon,L,69,79,28,70,.400,7,20,.350,6,10,.600,13,37,5,7,1,14,22,,28,56,.500,11,24,.458,12,16,.750,6,32,19,7,4,16,16
12,12,2015-12-22,@,North Carolina State,L,52,58,21,60,.350,7,24,.292,3,7,.429,13,34,10,6,1,13,23,,21,52,.404,3,11,.273,13,26,.500,10,37,7,3,8,11,13
13,13,2015-12-28,@,UNC,L,63,96,25,57,.439,9,26,.346,4,11,.364,5,16,12,1,1,13,20,,36,65,.554,6,19,.316,18,22,.818,16,42,19,6,0,9,14
14,14,2016-01-02,@,Wofford,L,76,87,32,61,.525,5,17,.294,7,16,.438,10,27,12,8,1,9,23,,26,52,.500,11,23,.478,24,26,.923,7,31,17,3,1,12,16
15,15,2016-01-05,,Furman,W,67,66,21,50,.420,7,22,.318,18,23,.783,4,27,13,8,4,11,17,,20,58,.345,11,27,.407,15,21,.714,12,33,13,8,1,12,22
16,16,2016-01-09,@,ETSU,L,83,86,31,65,.477,10,24,.417,11,15,.733,9,34,14,2,3,8,23,,28,53,.528,15,25,.600,15,24,.625,4,28,18,2,1,10,20
