Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,William & Mary,L,68,85,27,71,.380,6,22,.273,8,14,.571,13,33,15,8,5,10,17,,31,60,.517,9,22,.409,14,19,.737,8,38,16,9,2,14,17
2,2,2015-11-15,,South Alabama,W,88,70,29,57,.509,6,16,.375,24,34,.706,9,45,14,4,5,14,23,,23,73,.315,9,26,.346,15,25,.600,15,38,9,5,2,10,24
3,3,2015-11-18,,IUPUI,W,79,56,25,61,.410,6,19,.316,23,39,.590,14,44,11,3,8,11,17,,20,60,.333,9,25,.360,7,11,.636,7,31,9,6,2,13,34
4,4,2015-11-23,N,Arizona State,L,76,79,26,58,.448,5,16,.313,19,28,.679,10,32,14,3,3,8,22,,29,68,.426,6,23,.261,15,21,.714,18,42,10,5,0,12,27
5,5,2015-11-24,N,LSU,W (1 OT),83,72,27,68,.397,6,17,.353,23,29,.793,15,49,18,6,2,11,11,,28,77,.364,11,33,.333,5,10,.500,12,39,17,9,5,12,23
6,6,2015-11-27,,Winthrop,W,87,79,29,62,.468,4,12,.333,25,34,.735,10,34,15,4,6,9,21,,24,61,.393,12,28,.429,19,23,.826,10,32,11,5,4,11,27
7,7,2015-12-01,,Michigan,L,59,66,19,58,.328,4,17,.235,17,24,.708,11,33,8,6,3,7,17,,24,48,.500,7,20,.350,11,13,.846,2,30,15,3,2,11,20
8,8,2015-12-05,,Bucknell,W,99,86,31,57,.544,9,17,.529,28,35,.800,14,36,13,6,6,14,13,,32,62,.516,13,27,.481,9,15,.600,3,16,22,9,3,9,24
9,9,2015-12-13,@,South Florida,W,65,46,25,68,.368,3,21,.143,12,21,.571,19,47,13,6,6,9,14,,18,61,.295,2,12,.167,8,11,.727,14,37,6,5,6,13,19
10,10,2015-12-16,,High Point,W,76,73,28,65,.431,7,19,.368,13,22,.591,17,40,7,5,6,8,14,,26,60,.433,8,16,.500,13,14,.929,11,31,14,7,5,8,21
11,11,2015-12-19,@,Missouri,W,73,59,22,54,.407,5,16,.313,24,30,.800,12,37,10,4,4,8,17,,22,51,.431,7,17,.412,8,19,.421,6,26,13,6,2,8,22
12,12,2015-12-22,,North Carolina-Greensboro,W,58,52,21,52,.404,3,11,.273,13,26,.500,10,37,7,3,8,11,13,,21,60,.350,7,24,.292,3,7,.429,13,34,10,6,1,13,23
13,13,2015-12-29,,Northeastern,W,72,66,28,60,.467,7,14,.500,9,14,.643,12,38,8,8,4,11,16,,24,54,.444,11,24,.458,7,13,.538,6,25,13,10,4,12,18
14,14,2016-01-02,@,Virginia Tech,L (1 OT),68,73,21,65,.323,5,23,.217,21,33,.636,15,42,7,1,8,8,19,,27,69,.391,5,18,.278,14,22,.636,14,39,3,2,7,4,24
15,15,2016-01-07,,Louisville,L,72,77,22,61,.361,8,22,.364,20,31,.645,18,37,9,2,5,9,17,,29,57,.509,7,13,.538,12,19,.632,9,32,10,5,4,10,23
16,16,2016-01-10,@,Wake Forest,L,74,77,30,71,.423,8,25,.320,6,10,.600,14,38,18,4,3,10,23,,25,58,.431,8,20,.400,19,28,.679,10,37,15,6,3,10,17
17,17,2016-01-13,,Florida State,L,78,85,24,64,.375,7,26,.269,23,32,.719,18,38,13,6,2,12,19,,31,62,.500,9,17,.529,14,22,.636,13,37,10,6,8,13,22
18,18,2016-01-16,@,UNC,L,55,67,22,55,.400,4,12,.333,7,10,.700,16,33,7,4,3,17,16,,25,66,.379,5,20,.250,12,19,.632,17,33,17,8,7,9,15
19,19,2016-01-19,@,Pitt,W,78,61,28,58,.483,6,12,.500,16,20,.800,9,42,12,3,2,18,15,,22,60,.367,5,17,.294,12,17,.706,9,29,16,10,6,14,20
20,20,2016-01-23,,Duke,L,78,88,31,60,.517,8,21,.381,8,13,.615,8,26,19,5,2,9,17,,32,59,.542,10,25,.400,14,18,.778,9,27,16,4,3,9,15
21,21,2016-01-27,,Georgia Tech,L,83,90,29,64,.453,6,14,.429,19,24,.792,8,31,11,4,4,10,24,,28,66,.424,5,14,.357,29,34,.853,13,37,15,7,5,9,20
22,22,2016-01-30,,Miami (FL),W,85,69,27,53,.509,5,11,.455,26,31,.839,8,36,13,3,2,11,14,,23,58,.397,8,26,.308,15,16,.938,4,22,14,5,3,8,25
23,23,2016-02-01,@,Florida State,L,73,77,27,57,.474,8,20,.400,11,17,.647,5,24,13,5,3,9,14,,30,57,.526,8,22,.364,9,15,.600,8,33,15,3,7,10,15
24,24,2016-02-06,@,Duke,L,80,88,29,64,.453,7,14,.500,15,19,.789,13,38,13,5,2,11,25,,25,51,.490,14,28,.500,24,32,.750,6,29,19,7,3,9,17
25,25,2016-02-13,,Wake Forest,W,99,88,29,58,.500,8,20,.400,33,45,.733,9,35,9,3,5,9,18,,31,66,.470,8,25,.320,18,27,.667,13,36,11,5,7,11,32
26,26,2016-02-15,@,Virginia,L,53,73,19,47,.404,3,16,.188,12,18,.667,8,27,5,6,5,12,11,,29,54,.537,10,18,.556,5,6,.833,5,25,21,6,1,10,14
27,27,2016-02-20,,Clemson,W,77,74,28,60,.467,9,20,.450,12,16,.750,14,39,13,1,7,10,13,,29,64,.453,7,27,.259,9,12,.750,7,26,16,6,6,1,16
28,28,2016-02-24,,UNC,L,68,80,24,65,.369,6,22,.273,14,17,.824,11,30,7,5,5,10,16,,32,68,.471,4,15,.267,12,15,.800,14,38,16,6,5,8,18
29,29,2016-02-27,@,Syracuse,L,66,75,22,59,.373,4,17,.235,18,24,.750,9,37,10,12,2,14,16,,26,56,.464,12,32,.375,11,16,.688,4,30,18,7,6,17,19
30,30,2016-03-02,,Boston College,W,73,72,27,52,.519,8,17,.471,11,19,.579,9,31,14,1,4,13,15,,28,58,.483,7,24,.292,9,18,.500,9,29,18,6,2,6,18
31,31,2016-03-05,@,Notre Dame,L,75,89,29,70,.414,7,23,.304,10,14,.714,13,35,11,5,0,11,15,,31,62,.500,12,26,.462,15,18,.833,9,36,19,7,4,11,18
