Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,N,Temple,W,91,67,34,67,.507,7,12,.583,16,23,.696,14,48,17,6,7,9,16,,24,62,.387,9,25,.360,10,17,.588,7,27,13,5,4,8,19
2,2,2015-11-15,,Fairfield,W,92,65,33,66,.500,8,23,.348,18,32,.563,13,42,22,8,3,10,20,,23,65,.354,10,35,.286,9,15,.600,11,33,14,7,2,19,24
3,3,2015-11-18,,Wofford,W,78,58,32,62,.516,1,9,.111,13,19,.684,11,41,13,11,6,12,13,,23,57,.404,9,24,.375,3,5,.600,5,22,9,4,0,13,17
4,4,2015-11-21,@,Northern Iowa,L,67,71,26,58,.448,5,18,.278,10,13,.769,9,38,17,3,3,12,21,,24,57,.421,11,28,.393,12,19,.632,4,26,10,8,1,6,16
5,5,2015-11-23,N,Northwestern,W,80,69,28,62,.452,7,24,.292,17,19,.895,12,38,21,5,1,9,18,,22,52,.423,9,20,.450,16,19,.842,4,20,14,7,3,12,13
6,6,2015-11-24,N,Kansas State,W,80,70,29,62,.468,6,20,.300,16,20,.800,11,40,20,5,8,12,20,,25,62,.403,8,16,.500,12,19,.632,9,29,11,10,1,12,22
7,7,2015-12-01,,Maryland,W,89,81,33,62,.532,9,13,.692,14,25,.560,9,30,22,13,3,15,12,,30,59,.508,12,26,.462,9,11,.818,7,28,16,8,6,21,21
8,8,2015-12-06,,Davidson,W,98,65,38,75,.507,8,23,.348,14,17,.824,12,47,21,7,3,15,18,,23,67,.343,8,31,.258,11,13,.846,7,28,13,4,4,14,16
9,9,2015-12-12,@,Texas,L,82,84,26,50,.520,6,16,.375,24,28,.857,4,25,10,5,6,6,22,,29,62,.468,12,24,.500,14,23,.609,14,33,10,3,3,8,23
10,10,2015-12-16,,Tulane,W,96,72,36,72,.500,10,24,.417,14,21,.667,14,40,30,8,6,7,15,,30,63,.476,4,17,.235,8,14,.571,10,31,9,1,5,11,17
11,11,2015-12-19,N,UCLA,W,89,76,36,69,.522,4,19,.211,13,19,.684,12,35,19,7,4,7,19,,29,63,.460,8,17,.471,10,18,.556,12,34,11,4,1,17,16
12,12,2015-12-21,,Appalachian State,W,94,70,34,72,.472,3,11,.273,23,27,.852,20,46,22,6,6,11,18,,27,61,.443,8,17,.471,8,13,.615,9,25,13,8,1,18,22
13,13,2015-12-28,,North Carolina-Greensboro,W,96,63,36,65,.554,6,19,.316,18,22,.818,16,42,19,6,0,9,14,,25,57,.439,9,26,.346,4,11,.364,5,16,12,1,1,13,20
14,14,2015-12-30,,Clemson,W,80,69,32,64,.500,5,13,.385,11,14,.786,13,35,16,6,3,12,19,,21,53,.396,7,19,.368,20,26,.769,8,25,10,5,3,12,18
15,15,2016-01-02,,Georgia Tech,W,86,76,30,59,.508,2,12,.167,24,29,.828,7,35,13,2,4,11,18,,27,64,.422,7,15,.467,15,19,.789,8,28,16,8,4,9,25
16,16,2016-01-04,@,Florida State,W,106,90,38,76,.500,6,17,.353,24,32,.750,17,47,18,6,7,15,28,,28,68,.412,10,20,.500,24,34,.706,10,30,13,8,3,14,22
17,17,2016-01-09,@,Syracuse,W,84,73,32,61,.525,3,16,.188,17,20,.850,8,30,24,8,3,9,16,,27,63,.429,9,31,.290,10,12,.833,13,32,14,5,6,13,19
18,18,2016-01-16,,North Carolina State,W,67,55,25,66,.379,5,20,.250,12,19,.632,17,33,17,8,7,9,15,,22,55,.400,4,12,.333,7,10,.700,16,33,7,4,3,17,16
19,19,2016-01-20,,Wake Forest,W,83,68,28,73,.384,3,18,.167,24,34,.706,17,46,14,15,7,10,17,,27,67,.403,2,18,.111,12,20,.600,15,46,14,7,5,19,24
20,20,2016-01-24,@,Virginia Tech,W,75,70,28,74,.378,3,23,.130,16,25,.640,19,46,13,11,6,7,24,,20,50,.400,8,20,.400,22,32,.688,2,24,11,4,5,14,20
21,21,2016-01-30,,Boston College,W,89,62,36,67,.537,6,17,.353,11,22,.500,11,35,23,12,1,11,14,,23,52,.442,10,27,.370,6,8,.750,3,27,10,5,3,23,17
22,22,2016-02-01,@,Louisville,L,65,71,20,58,.345,3,17,.176,22,29,.759,15,38,11,7,3,15,21,,26,60,.433,5,14,.357,14,21,.667,14,40,12,7,5,14,20
23,23,2016-02-06,@,Notre Dame,L,76,80,27,59,.458,6,12,.500,16,21,.762,13,39,17,1,5,13,27,,23,66,.348,3,16,.188,31,38,.816,15,34,9,10,3,2,16
24,24,2016-02-09,@,Boston College,W,68,65,27,52,.519,5,16,.313,9,12,.750,5,29,14,6,3,13,19,,22,54,.407,9,24,.375,12,15,.800,5,25,13,3,0,12,16
25,25,2016-02-14,,Pitt,W,85,64,32,54,.593,8,15,.533,13,15,.867,1,29,26,10,6,11,17,,25,67,.373,9,21,.429,5,13,.385,16,38,13,5,2,18,14
26,26,2016-02-17,,Duke,L,73,74,30,70,.429,1,13,.077,12,15,.800,17,44,17,1,7,9,14,,27,65,.415,7,19,.368,13,16,.813,10,29,7,6,3,6,15
27,27,2016-02-20,,Miami (FL),W,96,71,39,72,.542,9,20,.450,9,13,.692,17,43,21,5,5,9,20,,25,59,.424,6,19,.316,15,26,.577,14,29,9,5,5,10,18
28,28,2016-02-24,@,North Carolina State,W,80,68,32,68,.471,4,15,.267,12,15,.800,14,38,16,6,5,8,18,,24,65,.369,6,22,.273,14,17,.824,11,30,7,5,5,10,16
29,29,2016-02-27,@,Virginia,L,74,79,29,59,.492,9,19,.474,7,13,.538,12,33,17,7,3,13,21,,27,61,.443,7,16,.438,18,21,.857,8,27,14,6,5,8,14
30,30,2016-02-29,,Syracuse,W,75,70,28,68,.412,6,25,.240,13,19,.684,19,38,17,6,3,13,18,,23,55,.418,5,20,.250,19,23,.826,11,30,9,8,2,15,19
31,31,2016-03-05,@,Duke,W,76,72,26,73,.356,4,23,.174,20,23,.870,23,58,15,5,2,14,14,,25,67,.373,13,34,.382,9,15,.600,7,26,11,10,2,6,17
32,32,2016-03-10,N,Pitt,W,88,71,33,56,.589,6,14,.429,16,18,.889,6,26,18,6,7,10,16,,24,54,.444,5,12,.417,18,25,.720,8,21,11,6,3,12,17
33,33,2016-03-11,N,Notre Dame,W,78,47,30,69,.435,6,15,.400,12,19,.632,18,46,21,8,4,10,17,,15,50,.300,5,19,.263,12,17,.706,5,26,8,5,3,17,18
34,34,2016-03-12,N,Virginia,W,61,57,24,47,.511,3,12,.250,10,13,.769,5,28,11,8,2,10,10,,23,63,.365,8,24,.333,3,3,1.000,14,32,10,4,3,9,10
