Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,UC-Davis,W (1 OT),79,71,34,77,.442,7,23,.304,4,9,.444,12,41,13,7,1,9,21,,26,61,.426,4,13,.308,15,31,.484,11,43,13,5,3,12,14
2,2,2015-11-15,@,Illinois,L,74,80,27,61,.443,11,27,.407,9,10,.900,4,29,12,5,2,15,23,,28,57,.491,7,17,.412,17,27,.630,7,32,15,7,4,11,17
3,3,2015-11-18,,Valley City State,W,69,49,24,56,.429,4,15,.267,17,21,.810,7,30,9,13,2,7,11,,20,50,.400,5,13,.385,4,7,.571,5,29,10,4,5,20,21
4,4,2015-11-25,,Montana,W,73,53,23,54,.426,4,17,.235,23,34,.676,9,27,9,11,5,7,16,,21,46,.457,3,13,.231,8,16,.500,6,32,9,3,4,17,29
5,5,2015-11-28,,North Carolina A&T,W,77,56,25,54,.463,8,31,.258,19,26,.731,7,29,17,7,4,8,12,,19,50,.380,5,14,.357,13,19,.684,8,32,8,5,3,16,23
6,6,2015-12-01,@,Iowa State,L,64,84,22,61,.361,6,23,.261,14,19,.737,9,36,8,8,1,12,12,,35,70,.500,7,27,.259,7,11,.636,10,40,18,8,5,9,14
7,7,2015-12-04,@,Arkansas State,W,74,73,25,60,.417,8,24,.333,16,26,.615,9,29,8,11,1,9,21,,26,56,.464,4,13,.308,17,19,.895,10,40,15,4,6,17,21
8,8,2015-12-06,@,Southern Miss,L,62,74,21,56,.375,8,27,.296,12,16,.750,12,28,10,5,2,10,18,,24,47,.511,8,15,.533,18,23,.783,7,32,16,3,0,14,15
9,9,2015-12-11,@,North Dakota,W,69,67,23,48,.479,9,21,.429,14,31,.452,5,35,15,5,5,12,20,,25,58,.431,5,17,.294,12,22,.545,6,29,10,9,3,9,24
10,10,2015-12-16,,Montana State,W,73,64,28,60,.467,6,15,.400,11,18,.611,10,34,11,5,8,8,12,,24,60,.400,8,22,.364,8,8,1.000,8,29,13,3,3,10,19
11,11,2015-12-21,N,Idaho State,W,67,62,24,59,.407,6,20,.300,13,25,.520,11,42,14,13,5,13,11,,24,62,.387,6,22,.273,8,9,.889,5,33,15,8,0,16,20
12,12,2015-12-22,N,Texas-Rio Grande Valley,W,68,50,26,62,.419,6,22,.273,10,11,.909,9,36,12,6,2,6,15,,18,51,.353,3,12,.250,11,16,.688,8,31,12,4,4,13,13
13,13,2015-12-23,@,Utah State,L,62,76,24,61,.393,7,22,.318,7,10,.700,6,24,14,6,2,7,17,,26,48,.542,6,14,.429,18,24,.750,5,34,15,2,3,14,12
14,14,2015-12-30,,Northland,W,105,47,44,74,.595,6,17,.353,11,19,.579,23,55,22,4,2,8,16,,17,55,.309,6,23,.261,7,12,.583,3,14,9,4,2,11,21
15,15,2016-01-03,,Denver,W,75,49,29,47,.617,8,12,.667,9,12,.750,8,26,13,6,0,14,13,,18,38,.474,3,15,.200,10,15,.667,3,13,10,4,2,13,12
16,16,2016-01-07,,Nebraska-Omaha,L,82,91,29,60,.483,8,21,.381,16,18,.889,7,27,15,3,4,15,22,,33,61,.541,2,10,.200,23,31,.742,9,29,12,10,2,8,15
17,17,2016-01-09,@,Oral Roberts,L,65,66,25,59,.424,5,18,.278,10,12,.833,14,36,8,5,2,14,16,,26,57,.456,5,16,.313,9,16,.563,10,26,13,3,4,9,16
18,18,2016-01-13,,South Dakota,W,66,65,21,51,.412,10,22,.455,14,18,.778,12,38,9,4,4,16,14,,27,60,.450,5,12,.417,6,9,.667,6,26,19,8,1,11,18
19,19,2016-01-16,,South Dakota State,W,68,57,22,50,.440,7,19,.368,17,24,.708,6,40,13,2,3,10,22,,19,66,.288,6,32,.188,13,23,.565,15,39,8,5,1,6,20
20,20,2016-01-21,@,IPFW,L,74,79,29,63,.460,10,22,.455,6,10,.600,5,35,11,5,4,10,18,,28,66,.424,7,23,.304,16,22,.727,7,39,15,5,4,8,15
21,21,2016-01-23,@,Western Illinois,W,65,52,21,54,.389,4,13,.308,19,24,.792,6,37,7,6,4,4,19,,17,49,.347,3,12,.250,15,19,.789,4,32,7,3,4,11,19
22,22,2016-01-31,@,IUPUI,L,72,73,28,54,.519,8,16,.500,8,18,.444,9,37,10,4,6,10,14,,28,61,.459,6,13,.462,11,15,.733,6,28,8,8,2,7,19
23,23,2016-02-04,,Oral Roberts,W,67,63,25,49,.510,7,18,.389,10,15,.667,9,26,10,5,1,10,8,,27,55,.491,5,14,.357,4,4,1.000,8,26,9,7,3,8,16
