,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-13,,Minnesota-Morris,W,110,69,43,75,.573,10,20,.500,14,22,.636,14,35,18,13,3,6,21,,22,54,.407,8,24,.333,17,26,.654,10,26,10,4,1,24,16
2,2,2013-11-19,@,Wisconsin,L,85,103,36,66,.545,7,13,.538,6,12,.500,6,26,11,6,0,12,24,,35,59,.593,12,20,.600,21,29,.724,8,30,19,7,6,9,17
3,3,2013-11-24,,North Dakota State,W,95,77,28,55,.509,6,16,.375,33,41,.805,7,34,14,7,4,9,27,,25,61,.410,1,12,.083,26,36,.722,10,34,4,6,2,11,30
4,4,2013-11-29,N,Cal Poly,L,43,70,11,47,.234,4,18,.222,17,33,.515,7,29,5,3,1,11,19,,28,55,.509,2,15,.133,12,19,.632,7,39,6,1,3,9,29
5,5,2013-11-30,@,Oregon,L,76,91,29,71,.408,4,21,.190,14,21,.667,13,25,8,10,0,10,17,,33,56,.589,4,10,.400,21,24,.875,12,39,15,5,6,20,19
6,6,2013-12-01,N,Pacific,L,76,93,26,63,.413,6,27,.222,18,22,.818,12,30,11,11,3,17,21,,35,62,.565,6,13,.462,17,23,.739,9,33,12,4,1,16,18
7,7,2013-12-07,@,Butler,L,64,79,24,65,.369,5,18,.278,11,17,.647,2,25,12,11,3,7,22,,29,56,.518,5,12,.417,16,25,.640,7,40,13,3,3,17,17
8,8,2013-12-11,@,Bowling Green State,L,69,79,27,64,.422,9,22,.409,6,10,.600,11,21,13,14,3,18,24,,27,49,.551,2,8,.250,23,31,.742,12,37,17,6,13,21,14
9,9,2013-12-15,,Presentation,W,78,32,30,59,.508,7,20,.350,11,19,.579,12,48,15,14,8,14,17,,9,62,.145,2,19,.105,12,17,.706,11,34,4,6,2,17,17
10,10,2013-12-21,,South Dakota State,L,70,77,25,53,.472,8,19,.421,12,20,.600,5,21,10,3,5,9,22,,25,51,.490,8,15,.533,19,24,.792,9,31,13,6,3,12,18
11,11,2013-12-29,@,Northern Colorado,L,66,84,24,65,.369,5,21,.238,13,23,.565,15,22,10,9,2,7,14,,29,48,.604,7,12,.583,19,21,.905,10,40,12,5,4,19,18
