,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Illinois,W,93,81,35,67,.522,17,33,.515,6,8,.750,3,35,20,2,6,6,21,,32,71,.451,5,16,.313,12,23,.522,9,37,14,2,2,5,14
2,2,2015-11-16,,Texas-Rio Grande Valley,W,106,84,37,66,.561,17,32,.531,15,22,.682,8,32,21,5,5,6,21,,30,62,.484,6,12,.500,18,26,.692,7,31,10,4,3,10,19
3,3,2015-11-18,,Edward Waters,W,98,69,32,64,.500,14,35,.400,20,24,.833,12,46,20,7,8,14,12,,28,70,.400,4,14,.286,9,13,.692,8,29,8,9,3,11,21
4,4,2015-11-21,@,Louisville,L,61,89,20,57,.351,11,23,.478,10,11,.909,6,22,11,5,5,15,13,,38,75,.507,4,12,.333,9,12,.750,20,51,15,12,6,8,12
5,5,2015-11-24,@,Saint Louis,L,57,70,18,50,.360,5,20,.250,16,19,.842,2,27,8,4,5,14,17,,25,61,.410,8,21,.381,12,18,.667,11,42,17,4,0,12,18
6,6,2015-11-27,@,Hartford,W,81,60,25,52,.481,9,22,.409,22,31,.710,7,40,13,7,4,16,23,,20,64,.313,8,30,.267,12,21,.571,10,31,10,6,2,14,26
7,7,2015-11-28,N,St. Francis (NY),W,78,65,28,55,.509,12,23,.522,10,12,.833,6,30,15,3,6,10,14,,25,67,.373,5,20,.250,10,16,.625,15,31,14,5,4,8,16
8,8,2015-11-30,,Trinity Baptist,W,80,72,28,60,.467,11,28,.393,13,18,.722,11,37,20,10,9,13,10,,31,74,.419,7,22,.318,3,5,.600,12,32,8,4,2,13,18
9,9,2015-12-02,@,LSU,L,108,119,39,76,.513,19,33,.576,11,13,.846,9,33,18,3,3,11,27,,45,70,.643,3,12,.250,26,36,.722,7,35,27,9,7,7,17
10,10,2015-12-05,@,Dayton,L,71,86,26,63,.413,14,32,.438,5,7,.714,4,28,17,4,4,10,17,,34,62,.548,6,15,.400,12,20,.600,8,39,24,4,7,10,15
11,11,2015-12-12,,Coastal Georgia,W,117,71,37,60,.617,14,29,.483,29,42,.690,10,32,24,13,7,14,18,,24,70,.343,4,24,.167,19,26,.731,20,37,10,13,0,23,29
12,12,2015-12-14,,Florida International,W,94,72,33,69,.478,16,39,.410,12,16,.750,9,29,19,3,6,4,16,,28,64,.438,4,15,.267,12,22,.545,17,44,9,2,1,10,19
13,13,2015-12-16,,Austin Peay,W,80,70,31,63,.492,13,38,.342,5,7,.714,6,35,19,6,6,14,10,,29,72,.403,7,19,.368,5,10,.500,16,38,13,10,2,13,8
14,14,2015-12-19,,Florida A&M,W,87,70,31,64,.484,12,26,.462,13,14,.929,7,33,17,6,4,8,15,,25,66,.379,7,24,.292,13,23,.565,14,36,14,5,1,14,16
15,15,2015-12-22,@,Arkansas,L,72,97,23,59,.390,10,27,.370,16,21,.762,7,25,14,5,4,13,16,,42,79,.532,4,10,.400,9,16,.563,17,46,27,7,6,10,20
16,16,2015-12-30,@,VCU,L,68,80,26,49,.531,5,18,.278,11,17,.647,4,31,11,3,5,17,11,,31,68,.456,7,19,.368,11,15,.733,9,28,19,13,0,7,17
17,17,2016-01-02,@,Eastern Michigan,W,82,77,31,58,.534,11,24,.458,9,12,.750,10,27,19,4,4,12,17,,29,59,.492,9,25,.360,10,16,.625,15,31,14,9,1,11,15
18,18,2016-01-06,@,Stetson,W,97,79,38,73,.521,12,32,.375,9,16,.563,13,40,23,7,5,8,12,,31,68,.456,9,23,.391,8,9,.889,7,30,23,3,3,12,18
19,19,2016-01-09,,Jacksonville,W,83,68,31,60,.517,12,27,.444,9,12,.750,5,34,17,5,8,12,17,,26,66,.394,4,21,.190,12,18,.667,8,30,4,6,2,9,16
20,20,2016-01-14,,Lipscomb,W,95,83,29,59,.492,13,33,.394,24,29,.828,4,29,17,4,9,9,15,,30,65,.462,12,26,.462,11,15,.733,7,33,18,6,3,10,23
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-16,,Kennesaw State,W,93,78,32,58,.552,14,29,.483,15,20,.750,8,34,19,3,3,9,16,,31,67,.463,8,20,.400,8,11,.727,9,26,9,5,1,11,23
22,22,2016-01-21,@,South Carolina Upstate,W,78,62,28,64,.438,9,28,.321,13,20,.650,10,36,14,8,8,4,14,,26,63,.413,3,10,.300,7,11,.636,10,35,12,2,2,10,20
23,23,2016-01-24,@,NJIT,W,94,80,31,63,.492,20,44,.455,12,17,.706,7,31,23,6,5,9,15,,33,66,.500,2,12,.167,12,15,.800,7,35,17,4,1,13,18
24,24,2016-01-30,,Florida Gulf Coast,W,82,76,27,59,.458,13,32,.406,15,22,.682,8,30,14,6,4,8,14,,31,64,.484,2,6,.333,12,15,.800,10,36,12,5,3,10,18
25,25,2016-02-01,,Stetson,L,82,86,30,63,.476,10,35,.286,12,18,.667,11,35,12,5,5,11,19,,35,64,.547,3,8,.375,13,18,.722,6,29,13,3,0,7,17
26,26,2016-02-06,@,Florida Gulf Coast,L,65,81,21,60,.350,10,35,.286,13,22,.591,10,29,11,1,2,8,25,,32,63,.508,3,10,.300,14,25,.560,12,41,16,4,2,4,18
27,27,2016-02-11,@,Kennesaw State,L,91,101,31,55,.564,12,27,.444,17,23,.739,5,25,13,3,5,17,24,,37,68,.544,5,12,.417,22,27,.815,9,29,12,9,3,8,19
28,28,2016-02-13,@,Lipscomb,L,87,94,31,72,.431,13,37,.351,12,17,.706,12,36,17,5,5,13,25,,31,66,.470,8,22,.364,24,34,.706,12,43,16,6,3,11,18
29,29,2016-02-18,,NJIT,W,107,71,39,57,.684,17,29,.586,12,20,.600,2,31,27,9,5,10,14,,26,64,.406,10,29,.345,9,11,.818,6,26,18,3,0,13,16
30,30,2016-02-20,,South Carolina Upstate,W,81,78,29,65,.446,8,31,.258,15,20,.750,9,28,15,4,5,6,8,,34,66,.515,5,13,.385,5,12,.417,11,39,13,5,5,11,17
31,31,2016-02-25,@,Jacksonville,W,81,80,28,56,.500,13,27,.481,12,14,.857,5,29,13,5,5,16,15,,30,65,.462,5,19,.263,15,17,.882,8,31,12,8,0,10,16
32,32,2016-03-01,,South Carolina Upstate,W,92,69,35,62,.565,8,18,.444,14,23,.609,7,34,17,6,1,6,14,,27,57,.474,4,19,.211,11,15,.733,5,27,14,2,4,14,22
33,33,2016-03-03,,Florida Gulf Coast,L,56,89,16,52,.308,8,31,.258,16,24,.667,8,22,9,6,4,11,13,,38,67,.567,8,17,.471,5,10,.500,16,45,15,10,3,10,20
