,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Jarvis Christian,W,112,82,37,71,.521,9,21,.429,29,54,.537,18,59,18,8,2,20,25,,27,78,.346,11,34,.324,17,29,.586,11,38,13,16,3,15,33
2,2,2015-11-16,,Texas College,W,110,61,40,68,.588,8,18,.444,22,34,.647,7,40,20,10,6,7,23,,22,67,.328,5,14,.357,12,18,.667,10,35,8,0,4,18,27
3,3,2015-11-23,,Idaho,L,63,65,23,47,.489,5,18,.278,12,20,.600,8,31,8,6,5,22,32,,19,45,.422,5,15,.333,22,36,.611,5,26,8,7,3,17,30
4,4,2015-11-24,,Samford,L,72,74,21,50,.420,4,16,.250,26,33,.788,8,31,7,4,4,14,27,,23,52,.442,3,10,.300,25,33,.758,9,34,9,6,2,11,24
5,5,2015-11-25,,Troy,L,74,86,24,56,.429,6,17,.353,20,26,.769,10,37,8,5,6,18,19,,30,69,.435,8,21,.381,18,23,.783,7,29,11,10,4,6,18
6,6,2015-11-30,@,Northern Iowa,L,70,93,28,54,.519,9,23,.391,5,10,.500,5,22,15,8,3,15,24,,30,54,.556,9,20,.450,24,28,.857,8,31,16,8,3,11,17
7,7,2015-12-03,@,Texas-Arlington,L,67,90,26,58,.448,6,17,.353,9,27,.333,9,28,15,12,4,17,19,,32,60,.533,9,18,.500,17,27,.630,13,45,25,10,3,20,22
8,8,2015-12-05,,Southern Illinois,L,63,95,24,52,.462,2,18,.111,13,22,.591,6,19,6,6,1,16,19,,36,53,.679,10,15,.667,13,19,.684,6,26,13,10,0,11,19
9,9,2015-12-12,@,Southern Illinois,L,66,74,27,59,.458,5,20,.250,7,19,.368,13,34,10,9,4,19,26,,23,51,.451,9,18,.500,19,31,.613,10,28,9,8,6,13,18
10,10,2015-12-14,,Nicholls State,W,78,60,26,61,.426,4,15,.267,22,30,.733,15,42,13,9,5,9,18,,23,55,.418,5,20,.250,9,12,.750,7,30,8,7,2,14,21
11,11,2015-12-17,,Mississippi Valley State,W,87,74,32,59,.542,9,25,.360,14,23,.609,7,36,19,5,3,15,21,,27,72,.375,1,14,.071,19,25,.760,13,38,4,9,2,9,21
12,12,2015-12-21,@,Creighton,L,82,105,27,60,.450,5,14,.357,23,32,.719,7,27,13,3,1,12,26,,36,63,.571,4,17,.235,29,40,.725,10,37,20,10,6,8,20
13,13,2015-12-29,,Sam Houston State,W,69,64,21,42,.500,7,15,.467,20,32,.625,7,31,8,7,4,13,16,,25,61,.410,9,24,.375,5,9,.556,9,31,12,3,2,10,29
14,14,2016-01-01,@,UTSA,W,70,66,24,51,.471,9,18,.500,13,28,.464,6,31,12,6,4,16,22,,22,60,.367,7,20,.350,15,23,.652,8,33,8,9,5,15,24
15,15,2016-01-03,@,UTEP,L,75,84,28,68,.412,3,15,.200,16,32,.500,12,48,13,5,0,12,28,,29,64,.453,4,18,.222,22,35,.629,7,41,15,4,3,9,25
16,16,2016-01-09,,Rice,W,85,74,29,56,.518,6,16,.375,21,28,.750,9,36,15,10,4,15,20,,24,59,.407,8,24,.333,18,21,.857,9,32,8,10,3,16,21
17,17,2016-01-14,,Marshall,L,78,97,30,76,.395,4,14,.286,14,27,.519,11,44,5,8,4,10,17,,35,76,.461,14,34,.412,13,22,.591,11,42,18,7,7,10,18
18,18,2016-01-16,,Western Kentucky,L,76,81,27,56,.482,7,21,.333,15,26,.577,10,27,8,4,7,13,25,,26,58,.448,7,15,.467,22,30,.733,12,32,11,6,2,13,23
19,19,2016-01-21,@,Middle Tennessee,L,64,86,23,53,.434,5,11,.455,13,26,.500,6,30,10,6,1,17,10,,37,71,.521,8,24,.333,4,11,.364,15,44,19,8,6,13,23
20,20,2016-01-23,@,Alabama-Birmingham,L,57,78,23,62,.371,2,17,.118,9,9,1.000,16,35,11,3,0,18,16,,30,60,.500,7,25,.280,11,14,.786,12,29,23,10,9,9,13
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,@,Rice,L,87,95,32,61,.525,7,22,.318,16,22,.727,10,25,15,8,2,11,22,,30,54,.556,11,23,.478,24,26,.923,6,26,18,4,3,11,17
22,22,2016-02-04,,Southern Miss,W,70,54,21,47,.447,8,17,.471,20,25,.800,6,33,13,10,6,14,20,,18,49,.367,7,24,.292,11,23,.478,7,28,10,8,0,16,22
23,23,2016-02-06,,Louisiana Tech,W,80,69,22,42,.524,6,15,.400,30,40,.750,5,31,11,3,4,14,28,,22,52,.423,2,16,.125,23,33,.697,8,29,5,7,1,16,31
24,24,2016-02-11,@,Old Dominion,L,47,67,16,51,.314,3,19,.158,12,19,.632,10,30,6,6,2,14,22,,23,51,.451,3,13,.231,18,28,.643,11,38,13,7,3,11,19
