Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Kansas State,W,60,58,21,52,.404,3,13,.231,15,25,.600,9,43,12,6,0,15,28,,20,59,.339,2,19,.105,16,33,.485,13,37,15,7,3,9,22
2,2,2013-11-12,,Colorado Christian,W,98,74,39,65,.600,7,17,.412,13,24,.542,13,50,18,0,7,19,27,,21,68,.309,6,19,.316,26,31,.839,13,30,8,9,2,9,23
3,3,2013-11-20,@,New Mexico State,L,63,67,25,66,.379,6,18,.333,7,10,.700,10,35,7,2,1,10,23,,26,54,.481,1,11,.091,14,25,.560,9,38,11,5,8,12,13
4,4,2013-11-22,@,Colorado State,L,65,72,24,53,.453,8,19,.421,9,13,.692,3,20,12,5,4,12,24,,23,56,.411,1,12,.083,25,33,.758,13,35,7,6,4,10,12
5,5,2013-11-30,,Bethune-Cookman,W,65,60,17,45,.378,2,12,.167,29,42,.690,8,25,6,10,2,7,15,,23,44,.523,9,17,.529,5,9,.556,5,26,10,2,2,18,28
6,6,2013-12-01,,Prairie View,W,87,70,31,57,.544,10,18,.556,15,23,.652,10,30,22,8,4,14,13,,27,64,.422,6,18,.333,10,12,.833,16,34,11,5,3,16,19
7,7,2013-12-10,,Colorado College,W,96,57,39,66,.591,9,16,.563,9,17,.529,10,44,17,13,4,15,22,,18,52,.346,6,18,.333,15,23,.652,3,16,9,2,1,17,15
8,8,2013-12-16,,UC-Riverside,W,63,60,24,53,.453,7,19,.368,8,14,.571,9,29,15,6,3,13,15,,21,51,.412,8,15,.533,10,14,.714,9,29,10,8,7,14,17
9,9,2013-12-22,@,Wyoming,L,59,72,23,62,.371,4,18,.222,9,15,.600,10,23,6,8,0,7,21,,25,36,.694,6,12,.500,16,25,.640,1,29,17,3,7,16,14
10,10,2013-12-29,,North Dakota,W,84,66,29,48,.604,7,12,.583,19,21,.905,10,40,12,5,4,19,18,,24,65,.369,5,21,.238,13,23,.565,15,22,10,9,2,7,14
