Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Purdue,L,76,77,27,63,.429,13,26,.500,9,11,.818,14,31,18,7,5,14,17,,27,58,.466,7,15,.467,16,20,.800,15,32,12,6,4,12,15
2,2,2013-11-10,@,Kentucky,L,63,93,21,64,.328,9,35,.257,12,15,.800,9,21,7,2,0,6,25,,30,55,.545,7,22,.318,26,38,.684,16,50,12,3,5,12,14
3,3,2013-11-16,,San Diego,L,44,75,16,66,.242,3,28,.107,9,22,.409,20,38,7,6,2,7,18,,26,50,.520,6,14,.429,17,24,.708,8,43,6,3,4,10,21
4,4,2013-11-19,,Morehead State,L,61,74,18,47,.383,5,21,.238,20,25,.800,9,30,7,5,4,21,29,,22,51,.431,7,23,.304,23,39,.590,15,37,13,7,0,17,24
5,5,2013-11-23,@,Tulane,W (1 OT),91,86,30,53,.566,10,23,.435,21,35,.600,7,24,23,5,5,11,29,,25,51,.490,5,14,.357,31,43,.721,12,33,7,7,2,10,23
6,6,2013-11-29,N,Southeast Missouri State,L,65,79,21,51,.412,8,23,.348,15,19,.789,7,25,5,6,0,12,21,,28,49,.571,9,21,.429,14,20,.700,6,31,8,4,3,14,17
7,7,2013-11-30,N,Texas State,L,61,70,22,50,.440,9,22,.409,8,11,.727,7,21,11,9,4,13,15,,23,43,.535,11,16,.688,13,20,.650,6,26,10,8,5,14,13
8,8,2013-12-07,@,UT-Martin,L,66,79,24,47,.511,7,20,.350,11,20,.550,6,31,15,3,5,16,29,,27,59,.458,3,13,.231,22,28,.786,7,25,14,8,0,4,16
9,9,2013-12-15,,Chattanooga,W,87,71,32,48,.667,7,12,.583,16,26,.615,8,31,17,6,2,15,23,,18,50,.360,7,25,.280,28,29,.966,7,20,9,4,1,11,21
10,10,2013-12-18,,Hampton,W (1 OT),69,67,20,54,.370,7,21,.333,22,31,.710,6,29,7,4,4,11,16,,25,61,.410,7,22,.318,10,17,.588,11,36,11,4,9,12,20
11,11,2013-12-21,,Navy,W,72,65,25,49,.510,9,19,.474,13,22,.591,6,27,15,7,1,8,13,,23,47,.489,7,13,.538,12,16,.750,3,22,13,4,2,10,19
12,12,2013-12-27,@,UNC,L,60,75,22,66,.333,5,23,.217,11,16,.688,9,31,8,7,5,8,21,,24,51,.471,6,14,.429,21,31,.677,5,38,15,6,15,14,13
13,13,2013-12-30,@,Florida Gulf Coast,L,56,60,21,57,.368,8,21,.381,6,7,.857,10,38,10,2,3,14,14,,23,56,.411,6,17,.353,8,10,.800,3,28,14,5,4,7,11
14,14,2014-01-01,@,Stetson,W (1 OT),67,65,25,64,.391,6,22,.273,11,12,.917,9,32,11,2,3,6,20,,24,54,.444,5,16,.313,12,21,.571,8,34,14,1,7,9,11
15,15,2014-01-04,,Jacksonville,W,73,66,23,51,.451,6,18,.333,21,24,.875,7,35,8,6,5,17,17,,23,62,.371,5,24,.208,15,21,.714,13,30,8,11,6,12,13
16,16,2014-01-06,,North Florida,W,70,64,27,62,.435,4,16,.250,12,16,.750,9,36,8,5,12,5,18,,21,56,.375,7,19,.368,15,21,.714,8,35,7,1,4,9,14
17,17,2014-01-09,@,South Carolina Upstate,L,64,73,21,54,.389,7,25,.280,15,19,.789,6,22,10,7,2,9,23,,26,49,.531,2,11,.182,19,28,.679,10,35,14,6,5,11,14
18,18,2014-01-11,@,ETSU,L,65,74,21,49,.429,9,27,.333,14,20,.700,6,34,13,7,2,14,24,,23,51,.451,8,16,.500,20,29,.690,6,29,18,9,3,9,17
19,19,2014-01-16,,Mercer,L,58,74,21,50,.420,9,25,.360,7,9,.778,7,22,9,6,1,11,15,,27,50,.540,7,17,.412,13,17,.765,8,26,14,4,6,8,10
20,20,2014-01-18,,Kennesaw State,W,82,69,22,40,.550,7,13,.538,31,38,.816,6,28,7,3,2,11,25,,20,42,.476,5,11,.455,24,37,.649,5,21,5,7,0,9,27
21,21,2014-01-24,,Lipscomb,L,74,75,26,63,.413,9,25,.360,13,20,.650,16,37,10,10,1,13,28,,22,43,.512,9,21,.429,22,41,.537,9,31,13,7,2,20,19
22,22,2014-01-30,@,North Florida,L,66,67,27,62,.435,9,17,.529,3,9,.333,9,30,13,6,4,8,19,,24,52,.462,5,15,.333,14,20,.700,10,36,8,5,10,11,13
23,23,2014-02-01,@,Jacksonville,L,77,95,23,47,.489,9,27,.333,22,31,.710,3,24,12,7,2,15,28,,28,57,.491,8,16,.500,31,36,.861,10,39,16,10,1,16,22
24,24,2014-02-06,,ETSU,L,50,64,18,54,.333,5,27,.185,9,10,.900,11,32,8,5,3,11,14,,20,52,.385,10,28,.357,14,15,.933,5,29,13,8,3,9,8
25,25,2014-02-08,,South Carolina Upstate,L,59,76,21,49,.429,9,28,.321,8,14,.571,8,25,13,2,3,11,18,,27,55,.491,9,23,.391,13,17,.765,12,34,14,8,1,5,15
26,26,2014-02-14,@,Kennesaw State,L,67,69,25,48,.521,6,13,.462,11,15,.733,5,21,8,10,2,14,22,,23,44,.523,5,8,.625,18,27,.667,8,25,9,5,2,21,15
