,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Ole Miss,L,76,90,25,70,.357,8,30,.267,18,21,.857,13,33,13,4,1,9,22,,29,61,.475,8,26,.308,24,28,.857,11,39,16,8,5,11,17
2,2,2015-11-16,,Louisiana State-Alexandria,L,97,99,34,66,.515,5,15,.333,24,36,.667,12,31,17,4,2,10,24,,29,54,.537,5,18,.278,36,41,.878,9,28,11,6,5,15,26
3,3,2015-11-19,,Louisiana-Monroe,L,64,80,24,57,.421,7,17,.412,9,10,.900,6,24,13,5,7,15,13,,35,74,.473,2,12,.167,8,11,.727,19,44,17,10,4,12,15
4,4,2015-11-22,@,Arizona,L,42,61,16,44,.364,2,10,.200,8,8,1.000,3,27,4,2,3,16,19,,22,60,.367,5,22,.227,12,24,.500,15,36,13,11,2,6,14
5,5,2015-11-25,,Louisiana College,W,86,80,28,55,.509,9,22,.409,21,29,.724,12,34,21,3,3,14,19,,27,66,.409,8,22,.364,18,26,.692,17,34,10,6,0,12,25
6,6,2015-11-27,@,Auburn,L,81,119,27,62,.435,6,22,.273,21,24,.875,7,22,14,10,4,19,20,,43,74,.581,17,32,.531,16,23,.696,11,38,23,11,2,17,21
7,7,2015-12-01,@,Arkansas,L,78,117,29,62,.468,10,29,.345,10,16,.625,4,25,21,2,5,25,24,,44,79,.557,6,15,.400,23,30,.767,15,45,24,13,2,10,17
8,8,2015-12-08,@,Baylor,L,62,75,23,49,.469,3,13,.231,13,14,.929,4,16,16,2,2,9,15,,31,67,.463,1,13,.077,12,14,.857,23,44,19,3,3,10,14
9,9,2015-12-19,,Missouri Valley,W,105,79,38,69,.551,12,24,.500,17,19,.895,10,34,18,11,7,15,20,,30,65,.462,3,21,.143,16,25,.640,11,30,11,11,2,17,19
10,10,2015-12-29,@,Centenary (LA),W,92,69,31,53,.585,9,15,.600,21,30,.700,10,38,20,5,5,16,17,,28,74,.378,4,27,.148,9,15,.600,11,28,12,8,3,8,20
11,11,2016-01-02,,Houston Baptist,L,73,99,22,57,.386,5,15,.333,24,33,.727,7,31,13,3,5,13,19,,34,66,.515,10,23,.435,21,24,.875,9,40,19,8,6,9,24
12,12,2016-01-04,,Sam Houston State,L,79,94,27,54,.500,7,19,.368,18,28,.643,6,26,12,7,1,17,21,,35,61,.574,13,26,.500,11,17,.647,8,30,19,10,2,16,24
13,13,2016-01-09,@,Incarnate Word,L,56,70,21,55,.382,3,16,.188,11,13,.846,7,28,10,7,5,12,17,,24,48,.500,10,19,.526,12,15,.800,2,27,18,6,2,15,17
14,14,2016-01-12,@,Abilene Christian,L,72,87,24,56,.429,3,17,.176,21,26,.808,5,23,12,4,7,13,21,,26,63,.413,6,19,.316,29,35,.829,13,39,16,9,2,12,22
15,15,2016-01-16,@,Lamar,L,82,86,25,63,.397,7,27,.259,25,36,.694,14,35,14,9,0,13,27,,29,56,.518,6,18,.333,22,33,.667,9,40,21,6,4,18,27
16,16,2016-01-19,,Texas A&M-Corpus Christi,L,79,89,27,69,.391,7,25,.280,18,26,.692,14,38,15,10,2,15,22,,30,67,.448,10,29,.345,19,27,.704,14,46,16,12,10,13,22
17,17,2016-01-23,@,McNeese State,L,74,75,29,64,.453,8,17,.471,8,12,.667,5,27,17,7,1,8,18,,27,63,.429,6,18,.333,15,24,.625,15,48,16,3,5,13,17
18,18,2016-01-25,@,Nicholls State,W,88,80,33,68,.485,13,25,.520,9,11,.818,10,31,20,8,4,13,18,,29,62,.468,11,28,.393,11,17,.647,7,27,16,8,6,18,18
19,19,2016-01-30,,Southeastern Louisiana,W,91,76,33,63,.524,13,28,.464,12,12,1.000,11,39,25,5,3,20,14,,30,66,.455,4,18,.222,12,16,.750,7,23,20,10,2,13,12
20,20,2016-02-02,,Central Arkansas,W,91,75,33,69,.478,10,25,.400,15,16,.938,12,34,18,4,2,10,24,,26,53,.491,7,19,.368,16,30,.533,8,29,13,6,2,13,19
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-08,@,Stephen F. Austin,L,72,83,25,51,.490,4,12,.333,18,22,.818,4,22,13,9,3,23,22,,35,65,.538,3,14,.214,10,17,.588,10,30,27,11,6,15,20
