,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,UMass-Lowell,W,79,57,29,64,.453,9,29,.310,12,22,.545,13,44,18,3,5,6,19,,18,56,.321,8,21,.381,13,20,.650,7,34,10,4,2,11,22
2,2,2015-11-18,,Fairfield,W,79,72,27,61,.443,7,26,.269,18,23,.783,8,28,17,5,2,7,22,,24,59,.407,7,25,.280,17,21,.810,11,35,16,4,3,14,22
3,3,2015-11-20,,Columbia,W (1 OT),83,80,31,59,.525,13,26,.500,8,14,.571,11,33,19,3,5,14,22,,26,55,.473,10,24,.417,18,28,.643,9,29,20,6,0,9,19
4,4,2015-11-23,N,UNC,L,69,80,22,52,.423,9,20,.450,16,19,.842,4,20,14,7,3,12,13,,28,62,.452,7,24,.292,17,19,.895,12,38,21,5,1,9,18
5,5,2015-11-24,N,Missouri,W,67,62,21,45,.467,10,23,.435,15,23,.652,4,31,15,6,1,14,20,,23,60,.383,5,18,.278,11,17,.647,8,30,15,7,1,9,23
6,6,2015-11-28,,New Orleans,W,90,63,32,58,.552,12,26,.462,14,15,.933,9,36,22,6,10,15,24,,18,48,.375,4,9,.444,23,33,.697,4,16,13,6,3,14,17
7,7,2015-12-01,@,Virginia Tech,W (1 OT),81,79,32,67,.478,10,26,.385,7,11,.636,8,32,15,5,5,12,21,,27,66,.409,7,17,.412,18,23,.783,13,40,10,4,2,12,15
8,8,2015-12-05,,Southern Illinois-Edwardsville,W,81,56,30,58,.517,9,22,.409,12,23,.522,10,38,24,2,11,9,20,,20,58,.345,5,12,.417,11,16,.688,8,27,14,2,5,6,24
9,9,2015-12-13,,Chicago State,W,77,35,29,56,.518,15,36,.417,4,9,.444,7,35,24,3,8,7,11,,15,60,.250,1,19,.053,4,7,.571,12,29,6,4,1,13,11
10,10,2015-12-15,,Mississippi Valley State,W,78,48,26,60,.433,7,28,.250,19,27,.704,11,48,21,4,10,11,19,,20,69,.290,2,13,.154,6,15,.400,12,36,11,8,4,9,22
11,11,2015-12-19,@,DePaul,W (1 OT),78,70,27,69,.391,6,27,.222,18,21,.857,11,41,16,1,2,5,24,,23,66,.348,7,23,.304,17,25,.680,15,45,13,1,2,7,20
12,12,2015-12-21,,Sacred Heart,W,103,67,36,59,.610,15,29,.517,16,19,.842,8,32,30,3,1,10,23,,22,55,.400,10,24,.417,13,21,.619,9,23,14,3,0,13,18
13,13,2015-12-27,,Loyola (MD),W,74,59,28,52,.538,8,17,.471,10,17,.588,7,29,17,2,6,10,9,,23,57,.404,5,23,.217,8,10,.800,7,25,16,7,2,6,19
14,14,2015-12-30,@,Nebraska,W,81,72,29,58,.500,10,23,.435,13,17,.765,13,36,14,3,1,6,11,,27,60,.450,11,26,.423,7,8,.875,8,25,18,3,3,6,16
15,15,2016-01-02,,Maryland,L,59,72,22,59,.373,2,20,.100,13,22,.591,8,32,11,7,2,11,16,,27,58,.466,11,31,.355,7,12,.583,6,34,21,9,9,11,20
16,16,2016-01-06,,Ohio State,L,56,65,21,67,.313,6,25,.240,8,15,.533,15,42,11,2,7,9,20,,25,56,.446,5,18,.278,10,22,.455,9,36,18,7,6,12,13
17,17,2016-01-09,@,Minnesota,W,77,52,28,50,.560,11,25,.440,10,11,.909,6,29,18,6,3,12,13,,18,46,.391,5,18,.278,11,14,.786,2,16,12,4,2,11,13
18,18,2016-01-12,,Wisconsin,W,70,65,22,46,.478,4,12,.333,22,34,.647,10,30,10,5,2,11,17,,24,51,.471,7,21,.333,10,13,.769,6,21,19,8,1,10,21
19,19,2016-01-16,,Penn State,L,62,71,26,67,.388,3,26,.115,7,15,.467,8,28,14,5,1,3,27,,19,44,.432,9,21,.429,24,33,.727,6,38,14,2,5,12,18
20,20,2016-01-19,@,Maryland,L (1 OT),56,62,23,65,.354,5,21,.238,5,12,.417,16,38,10,4,2,12,19,,21,48,.438,4,17,.235,16,19,.842,3,29,10,6,8,15,14
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-23,@,Indiana,L,57,89,25,55,.455,5,15,.333,2,8,.250,3,19,12,3,2,12,18,,30,57,.526,13,28,.464,16,20,.800,10,38,21,6,3,9,13
22,22,2016-01-28,,Michigan State,L,45,76,12,58,.207,4,23,.174,17,19,.895,8,26,7,6,3,10,9,,28,55,.509,16,26,.615,4,4,1.000,7,40,22,5,8,13,21
23,23,2016-01-31,@,Iowa,L,71,85,26,62,.419,11,30,.367,8,14,.571,11,36,13,5,3,15,27,,25,59,.424,7,19,.368,28,36,.778,10,34,10,12,4,10,11
24,24,2016-02-04,,Minnesota,W,82,58,29,54,.537,12,27,.444,12,19,.632,5,26,16,6,6,8,24,,16,48,.333,4,18,.222,22,30,.733,6,27,8,2,1,9,13
25,25,2016-02-09,@,Ohio State,L,63,71,21,54,.389,12,27,.444,9,12,.750,9,33,15,2,1,13,23,,23,56,.411,6,18,.333,19,23,.826,9,33,8,4,5,5,13
26,26,2016-02-13,,Illinois,W,58,56,22,52,.423,9,26,.346,5,10,.500,6,30,18,2,3,11,14,,21,57,.368,10,25,.400,4,8,.500,13,37,14,4,0,11,17
27,27,2016-02-16,@,Purdue,L,61,71,25,56,.446,6,27,.222,5,8,.625,7,21,13,2,4,5,26,,23,60,.383,4,13,.308,21,28,.750,18,44,11,2,1,9,14
28,28,2016-02-24,@,Michigan,L,63,72,25,54,.463,8,26,.308,5,9,.556,4,21,17,2,0,9,20,,24,49,.490,4,15,.267,20,25,.800,7,29,8,2,0,8,11
29,29,2016-02-27,,Rutgers,W,98,59,37,69,.536,17,28,.607,7,14,.500,18,43,33,3,6,7,22,,16,47,.340,6,17,.353,21,30,.700,5,22,13,2,3,10,13
30,30,2016-03-03,@,Penn State,W,71,61,25,52,.481,9,19,.474,12,16,.750,4,23,12,5,1,9,16,,21,52,.404,9,25,.360,10,12,.833,8,29,17,6,5,13,20
