,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-18,,Eastern Michigan,W,91,81,29,71,.408,12,31,.387,21,24,.875,13,39,22,3,4,14,21,,30,76,.395,7,30,.233,14,19,.737,15,38,17,9,6,18,26
2,2,2015-11-22,@,Colorado State,L,89,95,33,74,.446,8,23,.348,15,16,.938,16,37,19,5,2,16,25,,30,65,.462,12,32,.375,23,28,.821,15,38,19,6,3,13,19
3,3,2015-11-24,@,Southern Illinois,L,88,97,29,58,.500,9,24,.375,21,27,.778,8,29,12,5,3,12,24,,34,63,.540,12,25,.480,17,28,.607,12,32,20,6,0,11,22
4,4,2015-11-27,N,Alcorn State,W,84,51,32,60,.533,8,18,.444,12,18,.667,10,43,17,10,5,17,23,,17,58,.293,6,20,.300,11,22,.500,11,33,8,4,5,18,16
5,5,2015-11-28,N,Abilene Christian,W,85,57,32,64,.500,10,17,.588,11,17,.647,13,42,17,3,2,10,16,,20,64,.313,3,21,.143,14,19,.737,14,33,8,7,4,9,18
6,6,2015-12-01,@,Georgia,L,82,86,27,65,.415,11,29,.379,17,21,.810,11,33,11,5,3,11,18,,32,61,.525,7,22,.318,15,22,.682,8,34,19,5,5,9,17
7,7,2015-12-05,@,Robert Morris,W,92,74,30,66,.455,11,29,.379,21,33,.636,12,45,18,3,3,11,21,,25,67,.373,6,26,.231,18,32,.563,11,40,11,9,5,12,24
8,8,2015-12-07,,Binghamton,W,83,72,29,62,.468,7,16,.438,18,25,.720,9,40,19,10,3,12,13,,25,64,.391,14,35,.400,8,11,.727,8,30,19,4,0,14,20
9,9,2015-12-12,@,Toledo,W,76,64,26,61,.426,7,17,.412,17,23,.739,10,45,12,6,2,11,15,,24,69,.348,8,30,.267,8,13,.615,9,35,20,4,0,8,17
10,10,2015-12-19,@,Washington,W,97,83,38,79,.481,7,25,.280,14,19,.737,14,50,19,4,5,12,19,,30,76,.395,11,37,.297,12,17,.706,10,35,23,6,8,12,20
11,11,2015-12-22,N,Michigan State,L (1 OT),93,99,23,65,.354,8,22,.364,39,48,.813,10,32,13,7,3,8,31,,30,60,.500,10,17,.588,29,42,.690,10,38,17,1,3,14,31
12,12,2015-12-28,,Chicago State,W,101,93,28,58,.483,12,29,.414,33,43,.767,13,34,17,9,4,18,20,,32,78,.410,12,33,.364,17,21,.810,18,34,19,10,2,17,32
13,13,2015-12-30,@,Virginia,L,58,71,19,51,.373,8,21,.381,12,17,.706,9,31,5,5,2,16,15,,25,55,.455,6,16,.375,15,21,.714,7,27,16,7,2,7,14
14,14,2016-01-02,,Cleveland State,W,86,68,27,56,.482,9,21,.429,23,29,.793,11,36,16,6,5,12,15,,26,70,.371,4,26,.154,12,15,.800,14,34,11,9,2,10,22
15,15,2016-01-04,,Youngstown State,L,98,100,34,73,.466,13,27,.481,17,25,.680,10,43,21,6,4,13,15,,36,85,.424,16,32,.500,12,14,.857,14,46,24,6,4,10,20
16,16,2016-01-08,,Valparaiso,L,67,84,24,70,.343,8,25,.320,11,18,.611,9,27,12,8,3,8,21,,28,57,.491,9,20,.450,19,24,.792,14,48,18,3,6,16,18
17,17,2016-01-10,,UIC,W,86,61,25,52,.481,4,16,.250,32,41,.780,8,30,11,6,4,5,24,,21,56,.375,5,16,.313,14,22,.636,11,32,10,3,1,14,28
18,18,2016-01-16,@,Detroit,W,86,82,32,67,.478,6,23,.261,16,23,.696,13,32,12,4,4,14,24,,33,63,.524,3,9,.333,13,22,.591,12,34,13,7,4,14,22
19,19,2016-01-19,,Northern Kentucky,L,73,90,22,58,.379,7,25,.280,22,31,.710,11,27,10,8,2,7,19,,29,55,.527,11,25,.440,21,26,.808,7,37,20,5,1,14,24
20,20,2016-01-23,@,Green Bay,W,111,95,36,63,.571,13,22,.591,26,31,.839,7,35,19,6,3,14,23,,33,65,.508,10,26,.385,19,26,.731,6,22,16,7,5,12,23
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-25,@,Milwaukee,W,82,79,27,59,.458,11,17,.647,17,21,.810,8,33,13,5,5,8,18,,26,65,.400,10,34,.294,17,20,.850,16,42,16,3,2,9,18
22,22,2016-01-29,,Wright State,W,89,63,30,55,.545,8,21,.381,21,26,.808,9,36,17,10,3,9,19,,22,48,.458,9,22,.409,10,19,.526,1,20,13,4,1,14,25
23,23,2016-02-01,@,Northern Kentucky,W,85,74,25,55,.455,8,18,.444,27,30,.900,10,31,13,8,0,9,18,,26,51,.510,8,14,.571,14,22,.636,7,26,18,3,1,16,21
24,24,2016-02-04,@,Youngstown State,W,107,85,39,73,.534,10,26,.385,19,23,.826,14,45,26,3,5,12,13,,35,75,.467,5,10,.500,10,12,.833,6,25,12,5,4,9,15
25,25,2016-02-06,@,Cleveland State,W,67,57,23,57,.404,4,16,.250,17,21,.810,13,40,13,7,0,13,14,,24,58,.414,5,15,.333,4,7,.571,6,24,13,1,4,13,19
26,26,2016-02-11,,Milwaukee,L,85,93,29,74,.392,10,29,.345,17,22,.773,12,34,17,5,5,5,18,,32,63,.508,10,26,.385,19,21,.905,1,35,19,4,3,10,18
27,27,2016-02-13,,Green Bay,W,111,93,35,69,.507,12,30,.400,29,33,.879,12,39,20,11,5,14,26,,32,76,.421,10,28,.357,19,26,.731,15,36,14,8,3,16,23
28,28,2016-02-15,@,Wright State,W,89,73,28,61,.459,11,19,.579,22,23,.957,6,38,17,6,3,9,18,,23,57,.404,6,16,.375,21,27,.778,6,28,12,2,2,11,17
29,29,2016-02-19,@,Valparaiso,L,84,86,26,56,.464,8,20,.400,24,36,.667,7,33,13,5,1,14,23,,31,70,.443,6,20,.300,18,27,.667,15,41,14,3,6,6,23
30,30,2016-02-21,@,UIC,W,74,63,28,66,.424,7,18,.389,11,21,.524,10,44,16,5,12,13,16,,24,67,.358,3,10,.300,12,21,.571,12,42,12,7,6,13,15
31,31,2016-02-26,,Detroit,W,108,97,38,64,.594,11,25,.440,21,28,.750,11,41,25,4,2,13,18,,39,84,.464,7,26,.269,12,16,.750,15,30,11,8,1,7,22
