,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Florida Gulf Coast,W,85,75,28,58,.483,4,22,.182,25,34,.735,12,41,13,5,3,13,17,,29,66,.439,4,17,.235,13,18,.722,5,27,14,7,5,8,28
2,2,2015-11-16,,Tennessee State,W,75,67,23,56,.411,10,28,.357,19,20,.950,5,30,12,9,7,12,18,,21,52,.404,4,12,.333,21,28,.750,4,29,7,10,2,13,19
3,3,2015-11-20,N,Tulsa,L,88,90,24,47,.511,10,20,.500,30,40,.750,7,30,11,5,4,22,34,,26,57,.456,4,13,.308,34,46,.739,8,27,14,5,1,10,26
4,4,2015-11-21,N,Norfolk State,W,93,71,28,55,.509,14,26,.538,23,29,.793,12,36,25,7,9,13,18,,24,57,.421,8,16,.500,15,21,.714,10,23,9,5,0,11,23
5,5,2015-11-23,N,Florida State,L,81,90,27,54,.500,10,24,.417,17,26,.654,6,24,14,1,4,16,23,,31,57,.544,5,13,.385,23,31,.742,7,29,14,9,3,13,22
6,6,2015-12-01,,Marshall,W,85,70,30,59,.508,6,16,.375,19,31,.613,10,43,8,7,5,19,15,,29,69,.420,5,22,.227,7,11,.636,9,31,11,11,1,15,23
7,7,2015-12-05,@,St. Bonaventure,L,68,81,25,54,.463,9,26,.346,9,10,.900,6,32,18,3,6,13,20,,27,65,.415,10,22,.455,17,20,.850,11,33,17,6,2,6,11
8,8,2015-12-12,@,Cleveland State,W,76,67,30,61,.492,7,22,.318,9,15,.600,11,35,14,4,4,12,15,,26,59,.441,10,21,.476,5,9,.556,8,30,13,4,4,14,19
9,9,2015-12-15,,Ohio Dominican,W,93,69,27,51,.529,11,21,.524,28,32,.875,5,33,13,2,3,6,14,,24,59,.407,10,30,.333,11,14,.786,3,20,13,1,0,6,26
10,10,2015-12-17,,Jackson State,W,72,67,19,42,.452,7,22,.318,27,38,.711,6,32,11,5,5,15,15,,25,68,.368,7,21,.333,10,18,.556,11,29,11,7,4,8,28
11,11,2015-12-21,,Arkansas-Pine Bluff,W,65,58,20,42,.476,2,14,.143,23,26,.885,6,34,13,3,5,14,8,,19,51,.373,11,20,.550,9,11,.818,2,17,10,5,3,9,18
12,12,2015-12-30,,UC-Riverside,W,81,59,29,65,.446,3,14,.214,20,21,.952,8,35,15,9,4,9,13,,22,56,.393,8,16,.500,7,9,.778,4,24,10,6,2,13,20
13,13,2016-01-06,@,Northern Illinois,L,69,80,22,61,.361,6,22,.273,19,24,.792,9,26,8,5,2,4,28,,22,44,.500,10,21,.476,26,37,.703,8,40,14,3,2,13,22
14,14,2016-01-09,,Ball State,W,79,73,24,56,.429,6,15,.400,25,31,.806,7,36,8,7,1,9,14,,25,57,.439,9,24,.375,14,15,.933,2,28,13,5,1,11,22
15,15,2016-01-12,,Bowling Green State,L,75,91,27,55,.491,9,19,.474,12,21,.571,11,28,8,3,5,14,30,,31,66,.470,7,11,.636,22,30,.733,15,38,11,6,4,9,19
16,16,2016-01-16,@,Kent State,L,82,89,27,59,.458,8,21,.381,20,22,.909,6,30,14,3,3,15,26,,28,60,.467,6,14,.429,27,36,.750,8,32,10,8,4,6,14
17,17,2016-01-19,,Western Michigan,W,82,64,28,55,.509,11,20,.550,15,22,.682,5,43,16,3,4,14,22,,21,62,.339,4,18,.222,18,26,.692,7,31,9,8,3,6,19
18,18,2016-01-23,@,Central Michigan,L,49,72,19,52,.365,3,16,.188,8,12,.667,5,28,10,5,1,12,13,,30,59,.508,5,20,.250,7,9,.778,7,36,14,4,3,10,16
19,19,2016-01-26,@,Toledo,W,81,79,29,53,.547,14,27,.519,9,15,.600,2,32,19,3,3,13,19,,26,64,.406,10,25,.400,17,22,.773,7,31,18,4,2,7,15
20,20,2016-01-29,,Kent State,W,72,61,27,64,.422,7,20,.350,11,13,.846,6,31,17,4,5,9,13,,22,57,.386,5,15,.333,12,17,.706,8,36,6,5,3,14,12
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-02,,Akron,L,68,80,25,57,.439,6,20,.300,12,21,.571,8,38,12,5,2,13,18,,27,64,.422,9,28,.321,17,21,.810,8,35,11,9,4,8,17
22,22,2016-02-06,,Northern Illinois,W,80,69,30,56,.536,9,22,.409,11,17,.647,2,22,16,7,3,10,22,,25,55,.455,2,15,.133,17,22,.773,9,32,9,4,1,15,21
23,23,2016-02-09,@,Ball State,W,72,69,27,56,.482,8,20,.400,10,14,.714,6,29,12,4,2,10,15,,28,54,.519,5,18,.278,8,14,.571,5,29,11,5,1,11,15
24,24,2016-02-12,@,Buffalo,W,94,75,36,67,.537,14,25,.560,8,11,.727,8,37,22,5,3,13,22,,25,58,.431,5,19,.263,20,28,.714,5,27,12,10,4,12,18
25,25,2016-02-16,,Eastern Michigan,W,86,64,29,60,.483,10,23,.435,18,23,.783,13,39,20,5,2,13,16,,22,52,.423,6,18,.333,14,19,.737,4,23,6,5,5,10,21
