,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,UT-Martin,W,91,57,33,59,.559,7,21,.333,18,24,.750,7,38,12,7,5,5,15,,21,56,.375,4,20,.200,11,16,.688,5,29,5,3,0,10,24
2,2,2015-11-16,,Arkansas-Pine Bluff,W,86,72,26,60,.433,3,14,.214,31,42,.738,19,45,12,10,4,10,21,,22,53,.415,7,17,.412,21,31,.677,11,27,10,6,2,13,30
3,3,2015-11-19,N,Towson,W,69,52,25,53,.472,7,18,.389,12,16,.750,3,35,15,2,9,7,20,,16,64,.250,4,21,.190,16,23,.696,14,37,7,2,2,6,18
4,4,2015-11-20,N,George Mason,L (1 OT),68,71,25,66,.379,5,15,.333,13,17,.765,10,39,12,6,11,7,13,,29,70,.414,11,24,.458,2,7,.286,14,42,15,2,5,12,15
5,5,2015-11-22,N,Long Beach State,W,82,77,27,49,.551,7,16,.438,21,24,.875,6,33,13,6,9,15,17,,29,66,.439,7,24,.292,12,19,.632,12,27,18,9,2,11,22
6,6,2015-11-27,,Long Beach State,W,79,73,29,55,.527,8,19,.421,13,18,.722,6,38,20,3,6,12,19,,26,63,.413,10,22,.455,11,22,.500,9,32,21,7,1,8,18
7,7,2015-12-02,,Tulsa,L,56,66,16,55,.291,2,19,.105,22,25,.880,12,33,8,5,3,12,22,,20,50,.400,6,20,.300,20,23,.870,8,32,8,8,2,10,23
8,8,2015-12-05,,Missouri State,L,63,64,23,54,.426,6,18,.333,11,16,.688,4,29,15,8,2,14,13,,25,60,.417,7,17,.412,7,10,.700,8,38,11,7,3,14,19
9,9,2015-12-12,N,Minnesota,W,62,60,20,53,.377,4,14,.286,18,24,.750,11,37,13,3,1,12,21,,19,55,.345,4,22,.182,18,27,.667,11,34,5,6,3,10,22
10,10,2015-12-15,,Longwood,W,73,55,22,52,.423,10,26,.385,19,26,.731,11,32,13,10,4,16,19,,22,49,.449,6,16,.375,5,15,.333,8,27,14,6,3,20,21
11,11,2015-12-19,N,Florida,L,70,72,23,56,.411,8,20,.400,16,22,.727,12,40,8,2,2,13,19,,26,61,.426,8,26,.308,12,26,.462,10,32,11,10,7,6,17
12,12,2015-12-29,,UMKC,W,61,43,22,47,.468,5,14,.357,12,22,.545,8,34,9,5,8,10,12,,15,50,.300,4,18,.222,9,14,.643,6,28,9,7,3,12,17
13,13,2016-01-02,,Texas Christian,W,69,48,23,56,.411,6,18,.333,17,18,.944,11,37,11,10,8,10,24,,15,50,.300,1,17,.059,17,25,.680,9,28,4,1,0,15,17
14,14,2016-01-05,@,Baylor,L,62,79,24,51,.471,6,18,.333,8,14,.571,6,16,23,6,6,10,19,,27,60,.450,4,11,.364,21,24,.875,19,39,17,7,2,11,15
15,15,2016-01-09,@,West Virginia,L,60,77,19,44,.432,4,12,.333,18,30,.600,8,33,9,4,2,16,28,,23,59,.390,8,25,.320,23,35,.657,17,38,15,8,1,9,23
16,16,2016-01-13,,Oklahoma,L,72,74,31,64,.484,4,12,.333,6,12,.500,7,25,11,10,1,11,15,,25,54,.463,12,28,.429,12,16,.750,11,33,12,8,4,19,18
17,17,2016-01-16,@,Texas,L,69,74,24,64,.375,6,18,.333,15,21,.714,10,39,13,3,1,10,26,,22,55,.400,7,31,.226,23,32,.719,8,36,8,4,5,8,21
18,18,2016-01-19,,Kansas,W,86,67,26,52,.500,11,21,.524,23,26,.885,7,35,13,5,3,10,20,,24,57,.421,6,22,.273,13,25,.520,11,30,9,7,0,9,21
19,19,2016-01-23,@,Kansas State,L,73,89,23,55,.418,6,21,.286,21,27,.778,12,28,12,7,5,12,25,,30,52,.577,9,17,.529,20,31,.645,11,34,17,7,3,14,20
20,20,2016-01-27,,Baylor,L,65,69,22,44,.500,4,15,.267,17,20,.850,3,25,17,6,2,16,26,,21,48,.438,4,14,.286,23,32,.719,11,31,11,13,2,12,22
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-30,@,Auburn,W,74,63,23,53,.434,7,17,.412,21,25,.840,4,35,11,2,1,11,26,,18,62,.290,6,29,.207,21,31,.677,14,40,5,6,6,7,23
22,22,2016-02-03,@,Texas Tech,L (1 OT),61,63,19,52,.365,4,17,.235,19,24,.792,11,34,5,8,5,18,21,,18,55,.327,8,18,.444,19,24,.792,8,27,9,9,4,11,23
23,23,2016-02-06,,Iowa State,L,59,64,25,60,.417,7,27,.259,2,3,.667,13,31,10,3,3,10,11,,24,51,.471,10,18,.556,6,8,.750,8,30,13,6,2,13,9
24,24,2016-02-08,@,Texas Christian,L,56,63,18,46,.391,8,24,.333,12,15,.800,8,32,10,8,4,22,20,,22,50,.440,7,17,.412,12,19,.632,5,24,12,12,4,11,15
25,25,2016-02-13,,Kansas State,W (1 OT),58,55,19,56,.339,10,33,.303,10,17,.588,12,34,12,9,4,16,18,,18,49,.367,6,18,.333,13,18,.722,12,37,11,8,4,18,19
26,26,2016-02-15,@,Kansas,L,67,94,22,54,.407,7,20,.350,16,23,.696,6,25,15,4,5,7,18,,32,64,.500,11,21,.524,19,25,.760,12,41,12,2,5,6,19
27,27,2016-02-20,,Texas Tech,L,61,71,21,54,.389,14,30,.467,5,8,.625,5,24,16,4,0,4,22,,21,41,.512,8,14,.571,21,30,.700,5,35,14,3,4,5,14
28,28,2016-02-24,@,Oklahoma,L,49,71,17,50,.340,7,24,.292,8,13,.615,6,27,11,4,6,16,21,,24,55,.436,10,22,.455,13,22,.591,9,35,12,8,6,12,13
29,29,2016-02-27,,West Virginia,L,56,70,17,41,.415,8,24,.333,14,20,.700,5,23,12,7,3,19,26,,19,52,.365,5,14,.357,27,37,.730,18,39,7,11,0,14,24
30,30,2016-02-29,@,Iowa State,L,50,58,19,60,.317,4,27,.148,8,13,.615,11,37,10,6,0,10,18,,23,53,.434,5,19,.263,7,12,.583,7,38,15,2,3,12,13
31,31,2016-03-04,,Texas,L,50,62,17,44,.386,3,13,.231,13,22,.591,6,30,4,1,3,8,13,,25,57,.439,5,16,.313,7,9,.778,7,29,11,4,5,5,20
