,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Missouri State,W,80,65,24,56,.429,8,17,.471,24,32,.750,7,29,17,9,4,7,21,,22,54,.407,6,16,.375,15,22,.682,9,36,10,5,6,17,25
2,2,2015-11-16,@,South Carolina,L,66,84,22,51,.431,4,14,.286,18,23,.783,3,25,7,3,5,12,22,,29,73,.397,7,21,.333,19,27,.704,19,44,14,5,4,5,21
3,3,2015-11-20,N,UT-Martin,W,70,66,23,54,.426,7,21,.333,17,22,.773,10,37,14,1,2,13,16,,23,57,.404,7,24,.292,13,16,.813,5,29,7,7,0,8,19
4,4,2015-11-21,@,James Madison,W,74,64,23,45,.511,7,15,.467,21,27,.778,4,34,15,5,3,13,17,,26,60,.433,6,20,.300,6,14,.429,7,27,8,5,2,11,21
5,5,2015-11-22,N,Florida International,W (1 OT),76,70,27,70,.386,2,13,.154,20,26,.769,10,37,9,4,7,5,13,,25,62,.403,8,17,.471,12,18,.667,9,38,11,4,7,14,21
6,6,2015-11-25,,Tabor College,W,112,80,37,70,.529,12,28,.429,26,37,.703,10,47,24,13,4,10,13,,30,81,.370,12,33,.364,8,9,.889,9,37,14,7,0,16,24
7,7,2015-11-28,,Detroit,W,100,95,30,56,.536,15,21,.714,25,38,.658,7,32,19,5,8,9,22,,39,85,.459,6,24,.250,11,18,.611,17,42,11,5,1,9,29
8,8,2015-12-01,@,New Mexico,L,75,91,27,67,.403,5,17,.294,16,19,.842,13,37,12,7,6,16,24,,33,67,.493,10,20,.500,15,22,.682,9,34,22,6,3,13,20
9,9,2015-12-05,@,Tulsa,W,70,68,26,58,.448,8,17,.471,10,11,.909,6,31,6,3,3,13,17,,22,58,.379,7,24,.292,17,21,.810,9,33,10,6,2,9,16
10,10,2015-12-09,,John Brown,W,88,53,37,76,.487,6,23,.261,8,15,.533,11,56,17,3,6,8,8,,20,73,.274,10,38,.263,3,6,.500,6,35,10,5,6,9,13
11,11,2015-12-12,@,Oklahoma,L,73,96,28,64,.438,7,21,.333,10,14,.714,11,33,7,5,2,14,18,,33,66,.500,16,27,.593,14,17,.824,9,33,20,9,7,10,12
12,12,2015-12-16,@,Missouri State,L,66,85,23,64,.359,5,21,.238,15,19,.789,9,32,11,6,1,10,22,,32,60,.533,6,17,.353,15,22,.682,8,38,16,8,5,10,19
13,13,2015-12-19,@,LSU,L,77,100,28,58,.483,6,14,.429,15,25,.600,10,28,9,8,5,15,18,,36,67,.537,8,22,.364,20,28,.714,14,38,21,9,2,12,20
14,14,2015-12-21,@,New Mexico State,L,61,76,25,56,.446,2,9,.222,9,14,.643,11,27,8,1,0,14,19,,27,58,.466,2,10,.200,20,27,.741,18,38,7,3,3,11,15
15,15,2015-12-30,@,IPFW,L,84,90,35,73,.479,7,23,.304,7,11,.636,5,30,11,6,6,7,20,,34,74,.459,11,25,.440,11,16,.688,12,42,17,1,6,12,17
16,16,2016-01-03,,South Dakota,L,84,94,27,52,.519,9,20,.450,21,29,.724,10,31,17,3,6,22,17,,36,69,.522,8,19,.421,14,16,.875,7,26,20,14,2,9,23
17,17,2016-01-06,@,Denver,L,75,78,24,45,.533,12,19,.632,15,19,.789,8,31,15,5,5,20,21,,25,50,.500,10,20,.500,18,20,.900,4,18,18,7,2,9,19
18,18,2016-01-09,,North Dakota State,W,66,65,26,57,.456,5,16,.313,9,16,.563,10,26,13,3,4,9,16,,25,59,.424,5,18,.278,10,12,.833,14,36,8,5,2,14,16
19,19,2016-01-14,@,IUPUI,W,80,71,24,51,.471,10,15,.667,22,26,.846,11,38,11,6,3,16,19,,25,56,.446,6,20,.300,15,20,.750,7,23,10,11,3,11,19
20,20,2016-01-16,@,Western Illinois,W,77,68,27,55,.491,4,10,.400,19,30,.633,8,35,9,7,2,10,16,,25,60,.417,8,22,.364,10,13,.769,5,30,11,3,1,12,22
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-21,,South Dakota State,L,74,86,25,52,.481,6,18,.333,18,23,.783,6,25,10,4,4,11,14,,34,66,.515,7,16,.438,11,13,.846,12,30,10,4,1,9,22
22,22,2016-01-23,,Nebraska-Omaha,L,79,85,28,63,.444,4,19,.211,19,22,.864,11,37,12,6,4,15,21,,30,59,.508,5,16,.313,20,29,.690,7,32,9,9,1,13,20
23,23,2016-01-28,,IPFW,L,63,68,21,63,.333,5,20,.250,16,20,.800,11,38,9,5,3,10,25,,22,54,.407,8,21,.381,16,26,.615,7,37,10,7,3,12,20
24,24,2016-02-04,@,North Dakota State,L,63,67,27,55,.491,5,14,.357,4,4,1.000,8,26,9,7,3,8,16,,25,49,.510,7,18,.389,10,15,.667,9,26,10,5,1,10,8
