Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-14,,Northwest Christian,W,74,52,27,56,.482,6,20,.300,14,30,.467,9,32,17,11,6,9,17,,16,51,.314,7,20,.350,13,17,.765,10,31,10,1,0,18,27
2,2,2015-11-17,,Iona,W,93,73,32,63,.508,7,19,.368,22,29,.759,10,40,20,8,2,12,21,,22,62,.355,11,36,.306,18,25,.720,8,27,16,5,5,15,26
3,3,2015-11-19,@,Rice,W,77,69,26,50,.520,10,22,.455,15,22,.682,5,26,16,11,1,12,20,,22,49,.449,8,26,.308,17,22,.773,7,26,14,7,3,13,20
4,4,2015-11-21,@,UCSB,W,71,59,24,55,.436,10,18,.556,13,14,.929,9,34,18,3,5,13,18,,22,65,.338,4,22,.182,11,14,.786,16,36,14,4,1,9,12
5,5,2015-11-24,,Valparaiso,L,57,63,21,56,.375,4,13,.308,11,17,.647,8,27,7,7,6,12,19,,21,51,.412,4,16,.250,17,23,.739,7,35,8,8,3,13,20
6,6,2015-12-02,,Loyola Marymount,W,79,70,27,57,.474,10,26,.385,15,18,.833,12,35,16,8,5,16,13,,31,69,.449,8,26,.308,0,2,.000,13,29,20,10,2,11,17
7,7,2015-12-05,,Nevada,W,66,62,27,66,.409,5,14,.357,7,12,.583,9,34,13,7,9,9,19,,21,65,.323,7,22,.318,13,20,.650,14,39,10,6,11,12,15
8,8,2015-12-12,N,Kansas,L,67,82,23,54,.426,8,16,.500,13,19,.684,11,27,12,2,3,17,22,,30,56,.536,7,16,.438,15,25,.600,7,30,17,11,5,10,16
9,9,2015-12-18,N,Cal State Fullerton,W,82,69,26,54,.481,8,20,.400,22,29,.759,10,35,14,2,2,10,20,,22,52,.423,9,23,.391,16,29,.552,8,29,10,3,0,10,23
10,10,2015-12-19,N,Tulsa,W,76,71,22,54,.407,7,18,.389,25,31,.806,11,36,12,6,3,12,21,,24,53,.453,5,17,.294,18,28,.643,10,32,14,6,3,13,23
11,11,2015-12-21,,Quinnipiac,W,82,61,30,62,.484,5,18,.278,17,26,.654,9,38,18,12,3,18,18,,23,72,.319,7,30,.233,8,8,1.000,14,37,12,3,3,18,18
12,12,2016-01-03,,Oregon,W,70,57,24,54,.444,5,15,.333,17,24,.708,11,35,13,5,3,8,16,,19,53,.358,7,25,.280,12,15,.800,7,26,11,3,2,12,19
13,13,2016-01-06,,Stanford,L,72,78,26,52,.500,5,16,.313,15,28,.536,8,27,15,4,4,11,27,,26,60,.433,6,19,.316,20,30,.667,18,43,14,7,1,10,22
14,14,2016-01-09,,University of California,W,77,71,27,63,.429,3,7,.429,20,27,.741,7,25,15,10,3,8,21,,24,46,.522,8,16,.500,15,23,.652,6,30,12,1,6,16,22
15,15,2016-01-13,@,Colorado,L,54,71,18,61,.295,3,14,.214,15,25,.600,12,29,3,11,3,10,26,,22,52,.423,6,16,.375,21,27,.778,11,44,12,4,10,18,19
16,16,2016-01-17,@,Utah,L,53,59,21,50,.420,6,8,.750,5,10,.500,6,28,9,8,2,8,24,,18,43,.419,5,21,.238,18,24,.750,8,34,11,6,3,11,10
17,17,2016-01-20,,UCLA,L,73,82,27,65,.415,7,23,.304,12,24,.500,13,30,15,6,2,10,23,,29,56,.518,6,18,.333,18,22,.818,9,40,13,5,4,15,22
18,18,2016-01-24,,USC,W,85,70,32,68,.471,3,18,.167,18,21,.857,9,40,18,10,8,11,25,,20,59,.339,6,24,.250,24,38,.632,11,37,13,2,5,14,16
19,19,2016-01-28,@,Arizona State,L,68,86,25,58,.431,9,26,.346,9,20,.450,7,22,16,8,0,11,16,,32,54,.593,11,24,.458,11,17,.647,7,38,24,5,2,17,19
20,20,2016-01-30,@,Arizona,L,63,80,24,60,.400,9,27,.333,6,8,.750,5,20,13,7,0,10,16,,28,50,.560,9,20,.450,15,19,.789,5,35,20,3,2,13,13
21,21,2016-02-04,,Utah,W,71,69,28,59,.475,7,18,.389,8,12,.667,11,25,16,6,3,9,17,,24,47,.511,6,18,.333,15,18,.833,8,28,12,3,1,12,13
22,22,2016-02-06,,Colorado,W,60,56,18,51,.353,6,19,.316,18,27,.667,10,26,7,16,4,12,17,,20,53,.377,5,17,.294,11,17,.647,15,39,8,7,6,24,20
23,23,2016-02-11,@,Stanford,W,62,50,22,48,.458,8,20,.400,10,15,.667,6,30,12,8,3,12,19,,17,46,.370,5,18,.278,11,17,.647,6,23,14,5,1,15,14
24,24,2016-02-13,@,University of California,L,71,83,27,60,.450,5,18,.278,12,22,.545,5,29,9,4,2,9,33,,25,53,.472,7,20,.350,26,44,.591,11,38,17,4,2,12,21
25,25,2016-02-20,@,Oregon,L,81,91,28,59,.475,7,17,.412,18,21,.857,7,26,12,3,3,10,24,,27,59,.458,8,22,.364,29,33,.879,10,31,15,7,7,8,16
26,26,2016-02-24,,Washington,W,82,81,28,61,.459,7,20,.350,19,30,.633,13,37,11,9,4,13,18,,30,53,.566,11,24,.458,10,16,.625,2,24,14,6,4,14,22
27,27,2016-02-28,,Washington State,W,69,49,28,61,.459,6,20,.300,7,17,.412,12,41,22,8,4,8,10,,20,55,.364,4,19,.211,5,8,.625,7,30,14,3,4,14,17
28,28,2016-03-02,@,USC,L,70,81,27,64,.422,7,18,.389,9,14,.643,9,31,13,5,5,8,16,,30,64,.469,11,25,.440,10,18,.556,12,36,21,3,7,8,15
29,29,2016-03-05,@,UCLA,W,86,82,28,59,.475,12,24,.500,18,26,.692,6,32,14,8,3,12,20,,28,68,.412,7,26,.269,19,25,.760,13,41,14,7,4,15,23
