,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Jackson State,W,80,52,25,51,.490,10,24,.417,20,28,.714,8,31,16,8,9,16,18,,19,60,.317,4,20,.200,10,13,.769,9,30,8,5,1,16,24
2,2,2015-11-16,,Baylor,W,74,67,24,55,.436,6,25,.240,20,30,.667,9,29,12,6,3,13,16,,24,61,.393,7,20,.350,12,18,.667,14,33,10,5,0,18,23
3,3,2015-11-20,,Savannah State,W,77,59,31,60,.517,4,17,.235,11,23,.478,11,34,19,6,6,8,14,,25,56,.446,5,18,.278,4,7,.571,6,29,11,3,1,13,21
4,4,2015-11-22,,Valparaiso,W,73,67,26,58,.448,4,15,.267,17,24,.708,11,34,9,9,3,13,11,,26,60,.433,10,32,.313,5,6,.833,9,29,12,6,5,16,21
5,5,2015-11-25,,Arkansas State,W,91,68,29,62,.468,6,22,.273,27,40,.675,9,39,19,11,13,10,21,,23,71,.324,6,13,.462,16,19,.842,15,45,11,3,5,21,24
6,6,2015-11-30,,Fresno State,W,78,73,24,55,.436,4,17,.235,26,36,.722,6,30,12,10,7,17,19,,28,69,.406,5,18,.278,12,14,.857,15,39,12,4,4,18,25
7,7,2015-12-04,N,UNLV,L,69,80,24,61,.393,8,23,.348,13,21,.619,10,34,10,3,2,15,20,,26,58,.448,10,23,.435,18,21,.857,8,32,9,4,5,13,21
8,8,2015-12-07,N,Navy,W,67,47,24,51,.471,6,15,.400,13,16,.813,7,34,12,14,8,16,17,,18,57,.316,2,14,.143,9,18,.500,13,29,13,7,3,18,13
9,9,2015-12-12,@,Boise State,L,72,74,25,58,.431,9,21,.429,13,19,.684,11,30,11,5,4,11,20,,23,54,.426,11,29,.379,17,23,.739,8,28,14,5,2,9,16
10,10,2015-12-15,,UC-Irvine,W,78,63,27,63,.429,6,18,.333,18,23,.783,15,33,19,12,6,12,15,,24,52,.462,4,15,.267,11,17,.647,9,28,15,3,3,22,23
11,11,2015-12-18,,Long Beach State,W,94,73,32,62,.516,8,22,.364,22,24,.917,13,40,17,7,11,11,19,,25,60,.417,11,27,.407,12,19,.632,9,22,18,5,2,13,24
12,12,2015-12-21,N,Alabama,W,72,68,25,58,.431,6,16,.375,16,20,.800,10,35,16,9,3,9,16,,23,49,.469,9,21,.429,13,20,.650,5,26,12,4,4,14,16
13,13,2015-12-29,,Western Oregon,W,88,60,32,54,.593,3,11,.273,21,31,.677,11,49,14,8,9,18,12,,23,74,.311,10,30,.333,4,10,.400,11,21,12,12,1,14,22
14,14,2016-01-03,@,Oregon State,L,57,70,19,53,.358,7,25,.280,12,15,.800,7,26,11,3,2,12,19,,24,54,.444,5,15,.333,17,24,.708,11,35,13,5,3,8,16
15,15,2016-01-06,,University of California,W,68,65,24,59,.407,7,21,.333,13,26,.500,10,33,9,11,5,11,20,,26,53,.491,0,12,.000,13,23,.565,7,37,6,4,6,18,25
16,16,2016-01-10,,Stanford,W,71,58,25,53,.472,5,20,.250,16,22,.727,14,37,18,5,7,15,20,,19,50,.380,5,15,.333,15,18,.833,6,19,12,6,0,12,23
17,17,2016-01-14,@,Utah,W,77,59,28,51,.549,5,12,.417,16,22,.727,10,33,8,9,9,15,23,,19,56,.339,7,22,.318,14,25,.560,14,27,13,8,2,15,19
18,18,2016-01-17,@,Colorado,L,87,91,32,62,.516,12,21,.571,11,17,.647,6,19,19,8,4,9,22,,29,58,.500,8,14,.571,25,32,.781,11,35,17,6,5,13,17
19,19,2016-01-21,,USC,W,89,81,33,68,.485,8,18,.444,15,24,.625,11,38,17,5,7,11,21,,29,66,.439,8,28,.286,15,24,.625,9,35,14,4,3,9,20
20,20,2016-01-23,,UCLA,W,86,72,34,70,.486,10,28,.357,8,13,.615,16,40,17,3,7,7,18,,27,62,.435,7,14,.500,11,15,.733,11,30,16,0,2,9,16
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
