,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Arizona,L,61,79,21,57,.368,6,19,.316,13,19,.684,4,25,9,3,1,9,25,,24,61,.393,6,20,.300,25,32,.781,13,46,12,4,6,14,21
2,2,2015-11-17,,Cal State Fullerton,L,76,77,26,60,.433,9,27,.333,15,22,.682,11,39,16,5,1,12,23,,24,54,.444,9,23,.391,20,27,.741,5,30,11,4,1,11,25
3,3,2015-11-21,,Nevada,L (2 OT),82,85,28,85,.329,9,33,.273,17,26,.654,20,47,12,3,2,9,26,,26,74,.351,6,19,.316,27,43,.628,24,57,9,7,9,12,20
4,4,2015-11-23,,Notre Dame (CA),W,79,44,31,59,.525,7,23,.304,10,14,.714,13,36,20,8,2,9,13,,16,40,.400,7,20,.350,5,11,.455,2,17,10,7,2,19,18
5,5,2015-11-28,N,Eastern Washington,L,63,70,21,56,.375,5,17,.294,16,19,.842,8,30,10,4,4,11,25,,21,48,.438,5,24,.208,23,30,.767,7,30,7,7,4,10,18
6,6,2015-11-29,@,Sacramento State,L,71,79,25,55,.455,6,24,.250,15,23,.652,13,34,11,10,2,21,22,,28,56,.500,8,19,.421,15,23,.652,9,26,17,12,5,12,18
7,7,2015-12-04,,UC-Irvine,L,67,70,28,57,.491,6,20,.300,5,9,.556,9,27,16,3,2,10,18,,25,56,.446,5,20,.250,15,21,.714,13,35,17,6,1,13,14
8,8,2015-12-12,@,Fresno State,L,52,71,18,54,.333,6,23,.261,10,13,.769,8,31,10,4,1,18,20,,27,56,.482,4,11,.364,13,21,.619,9,33,17,8,4,11,17
9,9,2015-12-15,@,Green Bay,L,88,93,32,59,.542,9,23,.391,15,21,.714,9,34,18,5,1,23,36,,32,60,.533,7,17,.412,22,44,.500,10,30,16,8,4,9,21
10,10,2015-12-21,,Santa Clara,W (1 OT),73,72,24,61,.393,5,16,.313,20,23,.870,11,29,7,8,2,8,17,,24,49,.490,16,27,.593,8,12,.667,6,30,17,2,7,17,18
11,11,2015-12-23,@,San Francisco,L,76,89,24,53,.453,9,21,.429,19,27,.704,4,19,10,5,1,10,28,,26,55,.473,13,25,.520,24,30,.800,14,40,15,4,2,11,21
12,12,2015-12-31,,San Diego,W,77,75,28,51,.549,4,13,.308,17,26,.654,8,36,11,5,5,17,28,,21,61,.344,8,25,.320,25,33,.758,14,32,10,7,5,11,27
