,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Fresno State,L,66,69,20,52,.385,4,17,.235,22,34,.647,6,37,10,5,0,18,25,,25,63,.397,2,17,.118,17,30,.567,11,39,13,15,8,12,26
2,2,2015-11-16,,San Diego Christian,W,91,49,39,67,.582,6,10,.600,7,17,.412,10,41,24,7,4,12,25,,16,61,.262,0,19,.000,17,27,.630,10,31,5,7,3,13,21
3,3,2015-11-19,@,UCLA,L,67,81,27,71,.380,4,20,.200,9,14,.643,15,31,14,9,2,12,19,,30,60,.500,6,17,.353,15,19,.789,13,41,17,6,3,17,14
4,4,2015-11-23,N,Duquesne,W,84,70,25,59,.424,10,20,.500,24,38,.632,13,40,17,5,2,8,14,,26,67,.388,6,27,.222,12,18,.667,12,37,9,4,1,12,26
5,5,2015-11-24,N,Murray State,L,55,59,20,54,.370,2,12,.167,13,17,.765,9,38,5,10,3,19,15,,22,51,.431,6,15,.400,9,13,.692,1,23,10,8,2,15,16
6,6,2015-11-25,N,Drake,L,53,69,20,52,.385,2,10,.200,11,16,.688,8,24,6,10,4,10,19,,25,45,.556,7,12,.583,12,19,.632,4,32,16,3,2,14,16
7,7,2015-11-29,,Montana,W,69,63,26,57,.456,4,13,.308,13,18,.722,9,28,18,7,6,9,16,,24,50,.480,1,16,.063,14,22,.636,10,32,12,6,1,13,17
8,8,2015-12-05,@,Cal State Northridge,W,70,55,29,67,.433,5,13,.385,7,9,.778,8,24,14,12,5,10,12,,23,57,.404,3,10,.300,6,6,1.000,14,41,12,6,3,20,13
9,9,2015-12-09,,Long Beach State,W,77,75,31,60,.517,9,20,.450,6,15,.400,13,31,18,7,5,14,21,,30,61,.492,6,20,.300,9,13,.692,13,31,20,7,2,13,16
10,10,2015-12-12,@,Ball State,W,72,63,25,58,.431,10,19,.526,12,15,.800,6,37,14,3,3,9,19,,22,59,.373,9,23,.391,10,18,.556,9,36,13,2,3,11,16
11,11,2015-12-18,,Louisiana-Lafayette,W,79,59,31,63,.492,6,17,.353,11,22,.500,11,41,18,4,5,11,23,,19,62,.306,4,20,.200,17,28,.607,12,36,6,8,4,13,19
12,12,2015-12-21,@,Gonzaga,L,73,99,26,57,.456,6,18,.333,15,23,.652,9,22,10,4,1,6,18,,32,58,.552,16,26,.615,19,21,.905,12,34,18,2,1,6,18
13,13,2015-12-23,@,Portland,L,79,87,28,61,.459,5,13,.385,18,30,.600,10,30,10,6,3,12,24,,30,58,.517,10,21,.476,17,25,.680,6,32,17,5,1,11,23
14,14,2016-01-02,,Loyola Marymount,W (1 OT),68,65,25,58,.431,1,11,.091,17,26,.654,13,42,16,7,3,14,21,,25,67,.373,5,19,.263,10,17,.588,8,29,17,4,1,9,22
15,15,2016-01-07,,Pacific,W,81,76,22,55,.400,6,15,.400,31,38,.816,6,33,14,5,2,6,16,,30,61,.492,4,16,.250,12,15,.800,6,33,12,2,3,10,26
