Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-17,,Saint Joseph's (IN),W,84,43,33,70,.471,6,23,.261,12,19,.632,17,54,21,3,11,12,22,,11,53,.208,4,15,.267,17,27,.630,5,28,8,4,2,13,22
2,2,2015-11-20,,Detroit,W,95,79,33,67,.493,9,22,.409,20,28,.714,14,43,18,5,8,10,21,,28,66,.424,6,19,.316,17,25,.680,9,30,14,5,6,8,22
3,3,2015-11-25,,Cornell,W,93,49,33,64,.516,10,21,.476,17,19,.895,12,44,25,5,3,8,15,,18,61,.295,6,20,.300,7,14,.500,11,27,10,3,2,14,17
4,4,2015-11-28,,Kent State,W,85,76,31,55,.564,10,16,.625,13,14,.929,4,23,26,2,3,10,15,,29,64,.453,6,20,.300,12,14,.857,13,30,16,5,1,7,12
5,5,2015-12-01,,Purdue,L,59,72,20,57,.351,4,19,.211,15,20,.750,12,32,14,5,4,10,21,,24,55,.436,11,28,.393,13,18,.722,12,36,19,5,0,12,20
6,6,2015-12-04,N,Duquesne,W,96,75,31,56,.554,10,19,.526,24,28,.857,10,39,22,4,3,11,17,,28,65,.431,7,20,.350,12,23,.522,12,27,12,8,2,8,20
7,7,2015-12-06,,Central Arkansas,W,100,47,37,68,.544,9,19,.474,17,25,.680,12,47,29,6,6,10,19,,19,60,.317,1,12,.083,8,23,.348,10,31,6,6,5,15,18
8,8,2015-12-11,,Eastern Washington,W,84,51,28,56,.500,6,14,.429,22,27,.815,12,38,15,5,3,12,12,,19,51,.373,7,23,.304,6,10,.600,4,18,8,5,1,14,18
9,9,2015-12-13,,Morehead State,W,72,62,21,46,.457,1,13,.077,29,36,.806,8,34,12,5,5,14,13,,24,57,.421,3,12,.250,11,15,.733,6,24,13,7,3,10,25
10,10,2015-12-20,N,Davidson,W,94,69,36,66,.545,9,20,.450,13,14,.929,12,47,21,6,7,13,24,,24,69,.348,6,30,.200,15,26,.577,13,28,10,3,1,8,14
11,11,2015-12-23,,Western Carolina,W,79,73,24,48,.500,2,13,.154,29,33,.879,10,38,19,6,9,14,14,,28,67,.418,9,27,.333,8,12,.667,11,25,16,10,1,10,25
12,12,2015-12-30,,Syracuse,W,72,61,24,59,.407,6,23,.261,18,23,.783,18,42,18,3,2,9,18,,20,46,.435,5,15,.333,16,25,.640,8,22,13,4,5,10,20
13,13,2016-01-02,,Maryland-Eastern Shore,W,92,58,32,58,.552,4,15,.267,24,36,.667,13,36,25,9,7,12,17,,19,52,.365,3,14,.214,17,21,.810,5,22,12,5,2,16,24
14,14,2016-01-06,,Georgia Tech,W,89,84,29,59,.492,6,13,.462,25,30,.833,7,32,15,4,3,4,19,,33,68,.485,10,20,.500,8,15,.533,14,38,14,2,4,10,22
