,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Grand Canyon,L,72,82,26,58,.448,4,16,.250,16,29,.552,11,34,3,8,4,15,29,,23,64,.359,3,15,.200,33,40,.825,18,43,13,9,1,11,22
2,2,2015-11-16,,Pacific Lutheran,W,105,60,37,62,.597,11,22,.500,20,32,.625,13,38,26,7,4,9,22,,19,57,.333,8,29,.276,14,20,.700,6,22,12,3,0,17,25
3,3,2015-11-22,@,Texas-Rio Grande Valley,W,79,61,33,67,.493,4,15,.267,9,10,.900,11,49,23,4,2,16,16,,24,74,.324,4,19,.211,9,18,.500,13,31,11,8,3,8,15
4,4,2015-11-25,@,Nevada,L,73,76,28,62,.452,5,18,.278,12,18,.667,11,38,16,6,4,16,19,,29,69,.420,5,18,.278,13,19,.684,14,39,17,10,5,12,16
5,5,2015-11-28,,Multnomah,W,100,82,41,77,.532,7,24,.292,11,15,.733,14,45,23,14,5,14,15,,28,70,.400,15,40,.375,11,12,.917,9,33,17,8,0,18,11
6,6,2015-12-02,,Portland,L,72,78,25,75,.333,9,26,.346,13,23,.565,21,39,18,9,7,11,17,,30,67,.448,7,22,.318,11,14,.786,16,40,14,7,6,15,19
7,7,2015-12-06,@,Washington State,L,67,91,25,61,.410,2,13,.154,15,21,.714,6,26,11,6,2,17,16,,33,62,.532,8,21,.381,17,22,.773,9,38,17,7,5,15,19
8,8,2015-12-12,@,Southern Illinois-Edwardsville,L,64,74,27,58,.466,3,15,.200,7,11,.636,5,32,20,7,2,18,26,,25,54,.463,2,10,.200,22,32,.688,7,33,15,10,1,8,12
9,9,2015-12-17,,Cal State Northridge,L,71,77,27,64,.422,9,23,.391,8,14,.571,9,24,21,12,3,14,17,,28,53,.528,4,10,.400,17,23,.739,11,38,10,10,4,18,16
10,10,2015-12-22,@,Cal State Bakersfield,L,66,78,27,61,.443,6,19,.316,6,12,.500,10,27,12,6,5,12,18,,28,52,.538,8,13,.615,14,21,.667,4,25,17,6,5,12,14
11,11,2015-12-29,,Cal State Fullerton,W,89,82,30,57,.526,6,13,.462,23,31,.742,7,29,20,7,6,10,21,,31,65,.477,10,22,.455,10,15,.667,9,29,14,6,0,18,25
12,12,2016-01-02,,Sacramento State,W,76,68,25,64,.391,6,22,.273,20,28,.714,11,35,17,12,7,10,21,,24,60,.400,5,11,.455,15,23,.652,11,38,7,5,1,16,23
13,13,2016-01-07,@,Montana,L,66,79,21,54,.389,9,18,.500,15,21,.714,9,28,11,8,3,15,17,,29,51,.569,11,20,.550,10,15,.667,4,30,16,8,3,12,17
14,14,2016-01-09,@,Montana State,W,77,70,31,64,.484,3,15,.200,12,20,.600,8,42,18,10,3,12,21,,23,62,.371,8,19,.421,16,23,.696,11,38,15,6,2,14,20
15,15,2016-01-14,,Weber State,L,58,73,25,60,.417,4,14,.286,4,8,.500,5,28,17,7,3,9,14,,30,64,.469,7,17,.412,6,12,.500,14,44,15,3,1,12,15
16,16,2016-01-16,,Idaho State,L,70,73,25,70,.357,6,28,.214,14,18,.778,12,34,15,8,7,5,17,,30,58,.517,3,15,.200,10,15,.667,8,39,14,2,2,11,19
17,17,2016-01-23,@,Sacramento State,W,81,63,34,53,.642,6,12,.500,7,13,.538,3,27,26,9,2,11,17,,25,51,.490,7,23,.304,6,15,.400,6,27,15,6,3,14,17
18,18,2016-01-28,@,Eastern Washington,L,83,112,31,64,.484,3,11,.273,18,32,.563,13,33,20,5,4,13,19,,37,58,.638,20,31,.645,18,27,.667,4,29,22,6,8,10,27
19,19,2016-01-30,@,Idaho,L,55,56,19,54,.352,3,16,.188,14,19,.737,10,38,12,9,6,13,16,,23,64,.359,3,16,.188,7,11,.636,15,38,13,5,1,12,18
20,20,2016-02-04,,Montana State,W,83,68,32,53,.604,6,12,.500,13,20,.650,5,31,20,9,7,14,19,,25,64,.391,6,22,.273,12,19,.632,12,30,11,10,1,13,19
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-06,,Montana,L,80,82,29,47,.617,5,14,.357,17,26,.654,4,21,20,9,4,15,20,,31,60,.517,6,20,.300,14,21,.667,12,29,18,5,2,12,22
22,22,2016-02-11,@,Idaho State,L,71,88,25,63,.397,7,26,.269,14,25,.560,8,32,11,4,2,13,17,,32,57,.561,11,24,.458,13,17,.765,2,30,15,7,4,14,23
23,23,2016-02-13,@,Weber State,L,78,87,31,65,.477,6,13,.462,10,14,.714,7,26,15,9,1,8,18,,31,54,.574,9,22,.409,16,21,.762,7,34,13,4,2,14,17
24,24,2016-02-18,,Idaho,L,74,80,26,62,.419,5,21,.238,17,26,.654,13,33,12,9,4,12,19,,30,65,.462,8,14,.571,12,23,.522,17,42,14,11,2,15,22
25,25,2016-02-20,,Eastern Washington,W,107,91,44,68,.647,5,12,.417,14,20,.700,10,34,24,13,1,13,26,,31,62,.500,8,25,.320,21,26,.808,7,24,11,7,2,17,20
26,26,2016-02-25,@,North Dakota,L,77,80,31,66,.470,4,15,.267,11,14,.786,7,31,15,11,3,17,14,,31,67,.463,4,17,.235,14,16,.875,8,36,16,9,2,17,19
27,27,2016-02-27,@,Northern Colorado,W,89,86,32,56,.571,7,16,.438,18,30,.600,4,24,17,9,2,9,22,,30,55,.545,10,18,.556,16,19,.842,3,27,17,8,1,18,23
28,28,2016-03-03,,Northern Arizona,W,89,81,34,66,.515,6,16,.375,15,20,.750,7,36,23,9,1,12,16,,32,69,.464,7,19,.368,10,13,.769,8,37,15,7,1,14,18
29,29,2016-03-05,,Southern Utah,W,88,86,31,57,.544,4,8,.500,22,28,.786,3,29,13,7,6,6,21,,31,61,.508,9,21,.429,15,21,.714,5,31,13,3,1,10,22
30,30,2016-03-08,N,Northern Colorado,W,74,67,24,52,.462,3,15,.200,23,31,.742,10,35,15,9,2,14,16,,26,64,.406,6,21,.286,9,13,.692,13,36,14,11,2,15,25
31,31,2016-03-10,N,Weber State,L,74,78,32,64,.500,3,11,.273,7,16,.438,7,24,13,11,0,9,23,,26,45,.578,11,23,.478,15,21,.714,3,32,17,4,3,20,21
