Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Oregon Tech,W,98,81,35,67,.522,14,30,.467,14,23,.609,9,38,24,12,5,11,21,,30,78,.385,9,30,.300,12,19,.632,14,40,14,4,4,15,21
2,2,2015-11-15,@,UC-Davis,L,66,79,27,80,.338,11,31,.355,1,6,.167,14,31,12,9,5,11,20,,29,57,.509,7,14,.500,14,18,.778,9,48,12,4,2,20,17
3,3,2015-11-20,@,Colorado,L,63,85,22,60,.367,10,27,.370,9,14,.643,7,25,11,11,1,19,24,,29,61,.475,7,19,.368,20,29,.690,14,43,19,10,10,18,15
4,4,2015-11-22,,Abilene Christian,W,87,57,33,64,.516,11,22,.500,10,19,.526,8,35,16,10,3,15,27,,15,52,.288,5,19,.263,22,32,.688,10,31,9,7,1,20,20
5,5,2015-11-24,,Alcorn State,W,97,65,36,66,.545,15,31,.484,10,17,.588,10,29,24,14,9,8,20,,23,63,.365,6,17,.353,13,19,.684,17,36,8,3,4,18,18
6,6,2015-11-27,N,Colorado State,L,74,90,25,70,.357,12,40,.300,12,18,.667,11,28,7,6,2,9,15,,31,58,.534,10,17,.588,18,22,.818,6,37,13,3,5,16,16
7,7,2015-11-28,N,Southern Illinois,L,79,80,27,52,.519,10,19,.526,15,25,.600,8,31,17,7,1,17,23,,29,58,.500,6,17,.353,16,22,.727,7,26,10,3,2,11,23
8,8,2015-12-02,@,Portland State,W,78,72,30,67,.448,7,22,.318,11,14,.786,16,40,14,7,6,15,19,,25,75,.333,9,26,.346,13,23,.565,21,39,18,9,7,11,17
9,9,2015-12-05,,Boise State,L,71,81,30,68,.441,6,22,.273,5,8,.625,7,31,12,5,6,12,24,,25,60,.417,10,34,.294,21,28,.750,6,36,13,7,2,11,15
10,10,2015-12-08,,Idaho State,L,65,66,24,62,.387,7,22,.318,10,16,.625,14,36,10,8,5,13,11,,23,61,.377,11,28,.393,9,11,.818,9,30,14,9,5,13,15
11,11,2015-12-12,,Sacramento State,W,81,73,25,62,.403,9,24,.375,22,33,.667,13,41,15,6,5,20,24,,23,58,.397,7,23,.304,20,24,.833,6,27,13,9,7,16,29
12,12,2015-12-18,N,Weber State,L (1 OT),82,92,30,78,.385,7,20,.350,15,23,.652,14,42,11,6,5,12,27,,30,61,.492,11,29,.379,21,34,.618,10,44,19,8,6,16,16
13,13,2015-12-19,N,Cal State Fullerton,W,65,60,20,56,.357,7,22,.318,18,26,.692,10,35,14,6,5,12,23,,22,57,.386,7,18,.389,9,21,.429,11,39,8,6,1,16,22
14,14,2015-12-21,,Loyola Marymount,W,87,60,31,61,.508,14,33,.424,11,13,.846,7,42,22,5,4,15,17,,24,66,.364,7,20,.350,5,13,.385,10,27,9,8,1,9,16
15,15,2015-12-23,,Pepperdine,W,87,79,30,58,.517,10,21,.476,17,25,.680,6,32,17,5,1,11,23,,28,61,.459,5,13,.385,18,30,.600,10,30,10,6,3,12,24
16,16,2015-12-31,@,San Francisco,L,95,107,29,67,.433,12,31,.387,25,28,.893,10,31,16,7,6,9,29,,35,60,.583,11,23,.478,26,40,.650,9,36,13,4,2,9,24
