Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Mississippi State,L,56,71,19,50,.380,3,22,.136,15,21,.714,8,23,6,10,4,19,22,,27,64,.422,4,12,.333,13,21,.619,24,50,13,8,2,20,19
2,2,2013-11-11,,Schreiner,W,100,73,37,61,.607,8,16,.500,18,25,.720,11,36,16,9,3,13,23,,23,52,.442,6,18,.333,21,27,.778,6,17,10,5,1,16,21
3,3,2013-11-14,,Sam Houston State,L (2 OT),103,108,37,70,.529,9,21,.429,20,30,.667,7,29,15,9,2,14,29,,33,63,.524,8,16,.500,34,46,.739,14,41,14,7,8,15,23
4,4,2013-11-19,@,Texas A&M,L,65,75,24,57,.421,9,23,.391,8,14,.571,13,30,16,8,1,18,25,,23,45,.511,2,13,.154,27,38,.711,9,29,12,11,7,16,16
5,5,2013-11-25,@,Colorado State,L,68,95,25,53,.472,6,18,.333,12,20,.600,3,20,13,8,0,12,27,,27,57,.474,8,18,.444,33,44,.750,17,42,20,6,1,11,21
6,6,2013-11-27,@,New Mexico State,L,60,91,21,70,.300,4,14,.286,14,18,.778,15,39,6,1,0,15,30,,28,57,.491,4,17,.235,31,44,.705,11,43,13,8,14,7,11
7,7,2013-11-29,,Bethune-Cookman,W,89,80,28,55,.509,8,17,.471,25,29,.862,13,33,18,5,3,7,14,,27,61,.443,10,20,.500,16,18,.889,12,27,14,4,3,6,20
8,8,2013-12-01,@,Northern Colorado,L,70,87,27,64,.422,6,18,.333,10,12,.833,16,34,11,5,3,16,19,,31,57,.544,10,18,.556,15,23,.652,10,30,22,8,4,14,13
9,9,2013-12-11,@,BYU,L,52,100,19,65,.292,4,27,.148,10,14,.714,9,24,8,7,2,20,20,,35,57,.614,10,14,.714,20,29,.690,9,40,27,13,4,15,13
10,10,2013-12-14,@,UCLA,L,71,95,25,56,.446,9,26,.346,12,22,.545,12,28,12,5,1,16,20,,34,53,.642,7,15,.467,20,28,.714,6,30,20,13,4,8,21
11,11,2013-12-21,@,Western Michigan,L,53,92,18,53,.340,4,19,.211,13,25,.520,8,27,10,3,2,17,20,,33,58,.569,8,20,.400,18,27,.667,8,38,17,7,0,11,22
12,12,2013-12-28,@,Wisconsin,L,43,80,17,52,.327,6,17,.353,3,4,.750,7,25,11,1,0,12,19,,25,58,.431,9,27,.333,21,28,.750,14,39,14,6,3,2,8
13,13,2014-01-04,,Southern,L,57,60,18,49,.367,6,16,.375,15,25,.600,9,33,8,5,0,18,20,,22,47,.468,4,13,.308,12,19,.632,2,23,16,2,6,16,22
14,14,2014-01-06,,Alcorn State,W (1 OT),70,67,24,58,.414,10,24,.417,12,18,.667,10,26,9,10,4,15,14,,27,55,.491,4,9,.444,9,14,.643,11,33,11,5,6,19,18
15,15,2014-01-11,@,Texas Southern,L (3 OT),83,87,28,79,.354,13,40,.325,14,17,.824,8,34,11,7,4,13,37,,29,66,.439,4,22,.182,25,42,.595,13,48,13,6,5,11,19
16,16,2014-01-18,@,Jackson State,W (2 OT),85,80,27,63,.429,8,22,.364,23,32,.719,10,31,13,9,4,21,35,,22,62,.355,1,19,.053,35,45,.778,13,38,13,7,3,17,30
