Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,@,Georgia Tech,L,57,88,20,59,.339,6,20,.300,11,15,.733,6,27,9,5,2,12,18,,35,69,.507,5,19,.263,13,20,.650,13,46,18,10,5,6,18
2,2,2013-11-12,@,Citadel,L,68,82,29,68,.426,3,17,.176,7,15,.467,15,31,15,4,0,8,15,,29,56,.518,11,24,.458,13,16,.813,9,36,16,3,4,15,18
3,3,2013-11-15,@,Wake Forest,L,48,69,20,56,.357,4,11,.364,4,10,.400,4,24,7,4,2,9,15,,25,63,.397,8,27,.296,11,16,.688,13,46,15,6,8,7,15
4,4,2013-11-18,,Toccoa Falls,W,86,76,29,74,.392,13,26,.500,15,24,.625,20,48,19,3,10,10,14,,31,67,.463,7,22,.318,7,11,.636,5,35,8,5,0,10,15
5,5,2013-11-21,@,Old Dominion,L,51,69,19,46,.413,4,11,.364,9,12,.750,3,26,12,4,3,14,20,,25,57,.439,3,13,.231,16,26,.615,9,33,9,7,3,5,14
6,6,2013-11-23,@,West Virginia,L,55,88,19,48,.396,7,20,.350,10,18,.556,1,25,9,2,2,19,21,,31,63,.492,11,25,.440,15,20,.750,8,37,18,8,1,9,17
7,7,2013-11-26,N,Bowling Green State,L,45,67,15,49,.306,5,13,.385,10,19,.526,10,27,11,9,0,13,13,,29,51,.569,2,9,.222,7,11,.636,4,32,17,7,3,12,17
8,8,2013-11-27,N,Georgia Southern,L,66,76,25,51,.490,12,25,.480,4,7,.571,2,22,19,5,0,15,20,,26,54,.481,11,30,.367,13,19,.684,12,37,12,7,0,14,13
9,9,2013-12-03,@,North Carolina-Greensboro,W,87,66,29,46,.630,8,14,.571,21,34,.618,3,33,17,7,2,14,15,,24,68,.353,10,26,.385,8,16,.500,16,37,14,5,2,15,26
10,10,2013-12-05,,Montreat,W,91,58,36,67,.537,6,19,.316,13,21,.619,10,42,19,8,4,7,16,,22,58,.379,2,7,.286,12,16,.750,7,30,12,4,1,15,17
11,11,2013-12-07,,Furman,L,59,74,26,55,.473,5,15,.333,2,3,.667,5,23,16,3,2,8,14,,27,50,.540,11,22,.500,9,11,.818,4,22,14,4,2,10,13
12,12,2013-12-16,,UT-Martin,L,70,73,28,47,.596,5,11,.455,9,12,.750,4,24,17,1,1,16,11,,26,56,.464,12,26,.462,9,11,.818,8,22,14,8,2,9,13
13,13,2013-12-18,,Appalachian State,W,74,69,24,49,.490,6,13,.462,20,25,.800,9,32,12,7,4,14,15,,23,62,.371,9,26,.346,14,18,.778,15,33,14,7,3,13,21
14,14,2013-12-30,@,Samford,L,59,71,20,47,.426,8,20,.400,11,13,.846,8,25,9,4,4,12,14,,28,49,.571,2,12,.167,13,17,.765,6,25,20,10,3,8,15
15,15,2014-01-05,@,Marshall,L,49,77,19,58,.328,1,14,.071,10,15,.667,10,27,6,6,4,11,13,,30,68,.441,9,33,.273,8,15,.533,19,49,14,4,7,11,15
16,16,2014-01-08,,Winthrop,L,67,71,26,52,.500,10,27,.370,5,10,.500,5,28,13,5,4,15,16,,27,57,.474,7,23,.304,10,13,.769,5,28,13,8,0,8,15
17,17,2014-01-11,@,North Carolina-Asheville,L,70,84,25,61,.410,8,21,.381,12,21,.571,8,26,14,6,6,8,17,,31,64,.484,4,12,.333,18,21,.857,19,50,15,6,10,12,16
