Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Rider,W,64,56,22,55,.400,9,24,.375,11,17,.647,8,37,14,5,4,10,15,,21,57,.368,5,17,.294,9,9,1.000,7,36,15,5,2,10,17
2,2,2015-11-21,,St. Peter's,W,75,72,25,56,.446,5,18,.278,20,38,.526,9,39,9,4,3,10,18,,26,60,.433,8,23,.348,12,19,.632,6,33,11,3,3,10,28
3,3,2015-11-25,,Lafayette,W,104,52,38,69,.551,17,35,.486,11,13,.846,8,49,25,9,4,10,16,,20,58,.345,6,16,.375,6,15,.400,2,25,7,3,1,14,15
4,4,2015-11-30,,Fairleigh Dickinson,W,91,61,31,59,.525,9,24,.375,20,34,.588,15,46,15,9,3,15,24,,19,59,.322,4,11,.364,19,32,.594,11,28,10,10,3,13,26
5,5,2015-12-05,@,Stony Brook,L,77,91,27,74,.365,10,34,.294,13,15,.867,12,25,15,8,2,6,19,,33,52,.635,7,11,.636,18,21,.857,6,40,26,3,9,17,16
6,6,2015-12-08,@,St. Joseph's,L,50,62,19,66,.288,9,33,.273,3,6,.500,10,39,9,4,3,11,18,,22,57,.386,3,16,.188,15,20,.750,6,41,11,5,5,12,12
7,7,2015-12-12,@,Lipscomb,W,78,64,27,66,.409,11,33,.333,13,16,.813,15,52,17,6,4,19,18,,22,63,.349,6,22,.273,14,19,.737,6,28,10,11,7,9,13
8,8,2015-12-17,,Liberty,W,77,72,23,46,.500,3,16,.188,28,39,.718,5,26,10,6,1,8,17,,28,52,.538,8,20,.400,8,13,.615,2,24,14,4,0,14,29
9,9,2015-12-19,N,Maryland,L,61,82,21,52,.404,11,24,.458,8,15,.533,5,24,14,10,4,9,16,,32,57,.561,12,25,.480,6,9,.667,9,37,20,8,7,13,15
10,10,2015-12-22,,Bucknell,W,89,77,36,66,.545,10,26,.385,7,13,.538,11,39,21,7,7,12,14,,32,57,.561,6,13,.462,7,13,.538,2,22,17,8,4,12,16
11,11,2015-12-29,@,Miami (FL),L,64,76,23,59,.390,6,20,.300,12,17,.706,8,24,5,8,3,7,15,,30,55,.545,5,15,.333,11,14,.786,8,36,11,2,7,11,13
12,12,2016-01-03,@,Hampton,W,89,59,35,65,.538,12,31,.387,7,9,.778,8,40,19,6,5,11,17,,20,66,.303,6,22,.273,13,19,.684,13,34,11,5,1,12,14
13,13,2016-01-05,@,Norfolk State,W,83,74,28,51,.549,10,22,.455,17,22,.773,5,27,20,4,1,10,19,,28,58,.483,5,19,.263,13,20,.650,8,27,10,7,7,6,22
14,14,2016-01-09,@,Penn,W (1 OT),73,71,23,60,.383,5,15,.333,22,30,.733,9,36,8,8,7,12,14,,29,68,.426,9,23,.391,4,11,.364,10,36,13,3,6,17,25
15,15,2016-01-24,,Bryn Athyn,W,100,44,37,72,.514,16,38,.421,10,19,.526,15,51,23,7,4,10,9,,16,59,.271,5,23,.217,7,11,.636,4,23,4,6,5,15,17
16,16,2016-01-29,@,Brown,W,83,59,29,69,.420,5,23,.217,20,22,.909,12,38,12,13,1,10,21,,17,48,.354,5,14,.357,20,27,.741,6,31,9,3,9,19,17
17,17,2016-01-30,@,Yale,L,75,79,24,56,.429,11,27,.407,16,22,.727,3,23,12,7,3,13,24,,28,53,.528,11,19,.579,12,23,.522,6,34,18,6,3,14,21
18,18,2016-02-05,,Harvard,W,83,62,32,62,.516,12,29,.414,7,10,.700,14,32,21,7,1,12,19,,23,47,.489,7,11,.636,9,20,.450,8,24,12,4,3,19,14
19,19,2016-02-06,,Dartmouth,W,83,70,28,52,.538,13,24,.542,14,21,.667,6,26,21,4,7,9,19,,22,59,.373,5,14,.357,21,25,.840,12,33,10,6,2,8,19
20,20,2016-02-12,@,Cornell,W,85,56,28,56,.500,11,25,.440,18,20,.900,6,37,15,6,3,11,12,,21,58,.362,5,16,.313,9,10,.900,6,26,5,8,3,13,18
21,21,2016-02-13,@,Columbia,W (1 OT),88,83,27,59,.458,6,21,.286,28,36,.778,10,39,10,2,4,14,19,,31,79,.392,8,25,.320,13,18,.722,17,39,14,6,3,6,28
22,22,2016-02-19,,Yale,W,75,63,25,54,.463,8,20,.400,17,21,.810,2,25,8,11,3,13,18,,22,57,.386,1,12,.083,18,22,.818,11,38,7,8,4,16,17
23,23,2016-02-20,,Brown,W,77,66,28,56,.500,11,24,.458,10,15,.667,8,31,18,12,3,13,13,,29,65,.446,2,13,.154,6,14,.429,15,36,15,7,3,14,13
24,24,2016-02-26,,Columbia,W,88,83,31,49,.633,13,21,.619,13,24,.542,2,24,17,5,2,9,21,,31,58,.534,4,12,.333,17,27,.630,11,32,7,5,2,8,22
25,25,2016-02-27,,Cornell,W,74,60,27,56,.482,10,27,.370,10,11,.909,9,35,20,2,7,6,8,,25,58,.431,7,17,.412,3,6,.500,6,23,7,4,1,6,10
26,26,2016-03-04,@,Harvard,L,71,73,22,51,.431,7,21,.333,20,28,.714,11,27,9,9,5,9,22,,29,56,.518,4,9,.444,11,15,.733,9,30,13,3,6,13,24
27,27,2016-03-05,@,Dartmouth,W,84,65,29,54,.537,12,25,.480,14,19,.737,6,27,19,13,4,14,16,,25,55,.455,5,13,.385,10,17,.588,11,28,7,9,2,19,16
