,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,North Carolina A&T,W,81,40,24,53,.453,12,31,.387,21,32,.656,12,45,21,4,8,13,22,,14,58,.241,0,15,.000,12,18,.667,6,27,5,5,1,12,29
2,2,2015-11-15,,Vermont,W,107,79,36,65,.554,18,36,.500,17,27,.630,7,32,24,7,4,5,24,,27,56,.482,5,16,.313,20,24,.833,6,29,14,1,5,16,24
3,3,2015-11-18,,Incarnate Word,W,96,61,34,57,.596,9,21,.429,19,22,.864,11,51,23,7,13,22,17,,21,74,.284,12,30,.400,7,9,.778,4,14,12,10,1,8,20
4,4,2015-11-21,N,Old Dominion,W,61,39,23,56,.411,6,20,.300,9,12,.750,12,42,8,4,4,11,12,,14,61,.230,2,14,.143,9,12,.750,11,32,5,9,2,9,18
5,5,2015-11-22,N,Florida,W,85,70,30,60,.500,11,26,.423,14,20,.700,10,36,15,3,4,13,14,,26,65,.400,6,20,.300,12,18,.667,8,27,9,8,1,7,19
6,6,2015-11-28,,Lehigh,W,77,55,26,60,.433,4,19,.211,21,25,.840,11,47,16,1,7,12,17,,21,71,.296,4,21,.190,9,15,.600,9,33,8,7,1,7,25
7,7,2015-12-01,@,Pitt,W,72,59,24,55,.436,11,28,.393,13,18,.722,12,36,19,5,0,12,20,,20,57,.351,4,19,.211,15,20,.750,12,32,14,5,4,10,21
8,8,2015-12-05,,New Mexico,W,70,58,23,62,.371,3,21,.143,21,28,.750,12,44,13,8,4,19,20,,21,54,.389,5,13,.385,11,17,.647,3,28,15,9,4,19,27
9,9,2015-12-07,,IUPUI,W,80,53,28,54,.519,7,22,.318,17,21,.810,6,34,20,10,9,12,16,,20,61,.328,7,21,.333,6,12,.500,10,28,11,6,1,15,21
10,10,2015-12-09,,Howard,W,93,55,34,68,.500,12,31,.387,13,17,.765,12,42,28,5,4,6,18,,19,56,.339,6,18,.333,11,19,.579,9,29,10,3,0,12,17
11,11,2015-12-12,,Youngstown State,W,95,64,33,60,.550,10,21,.476,19,28,.679,8,41,26,3,6,10,13,,24,69,.348,7,24,.292,9,11,.818,5,23,15,5,1,9,23
12,12,2015-12-19,N,Butler,L,68,74,24,58,.414,7,22,.318,13,16,.813,7,37,14,4,9,18,23,,27,68,.397,4,16,.250,16,26,.615,13,36,14,11,6,7,16
13,13,2015-12-22,,Vanderbilt,W,68,55,21,58,.362,2,19,.105,24,31,.774,13,42,14,5,8,11,14,,22,63,.349,5,16,.313,6,11,.545,8,30,12,8,1,11,27
14,14,2015-12-29,@,Wisconsin,W,61,55,22,50,.440,5,13,.385,12,14,.857,6,34,12,4,2,16,11,,22,57,.386,5,17,.294,6,8,.750,5,22,9,7,5,7,19
15,15,2016-01-02,,Iowa,L,63,70,23,59,.390,8,25,.320,9,15,.600,12,35,17,4,5,14,18,,25,58,.431,7,19,.368,13,20,.650,9,32,14,10,9,8,16
16,16,2016-01-07,,Michigan,W,87,70,30,54,.556,9,18,.500,18,21,.857,5,35,26,5,7,9,13,,23,61,.377,11,27,.407,13,16,.813,8,26,10,7,2,7,21
17,17,2016-01-10,@,Illinois,L,70,84,27,60,.450,7,22,.318,9,11,.818,9,30,15,3,1,16,28,,26,48,.542,9,17,.529,23,28,.821,1,22,14,5,3,10,19
