,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-09,N,Hartford,W,82,77,24,52,.462,4,11,.364,30,48,.625,6,41,10,7,4,18,29,,27,63,.429,7,22,.318,16,27,.593,4,26,9,9,3,15,35
2,2,2013-11-12,@,La Salle,L,67,73,23,60,.383,4,13,.308,17,25,.680,10,38,8,3,5,10,22,,25,65,.385,3,9,.333,20,29,.690,14,41,14,7,2,4,17
3,3,2013-11-16,,Albany (NY),W,79,69,31,71,.437,5,18,.278,12,14,.857,21,41,18,5,3,9,16,,29,55,.527,0,4,.000,11,12,.917,4,24,14,3,2,10,18
4,4,2013-11-20,,Hampton,W,71,68,23,63,.365,7,17,.412,18,30,.600,22,47,15,2,5,13,19,,24,59,.407,4,14,.286,16,23,.696,6,27,11,8,7,12,28
5,5,2013-11-25,@,Maine,W,102,61,37,80,.463,5,18,.278,23,28,.821,22,55,11,7,3,11,22,,19,53,.358,3,16,.188,20,35,.571,3,24,9,6,3,15,27
6,6,2013-12-02,,Boston University,L,66,69,27,67,.403,4,16,.250,8,15,.533,14,42,13,7,2,12,15,,26,53,.491,7,17,.412,10,13,.769,2,27,10,4,4,9,18
7,7,2013-12-06,,Fairfield,W,83,79,22,60,.367,4,8,.500,35,46,.761,14,45,18,2,9,5,18,,28,71,.394,8,19,.421,15,22,.682,10,33,15,2,8,5,28
8,8,2013-12-08,@,Rider,L,78,90,27,65,.415,8,23,.348,16,24,.667,13,40,14,1,3,11,26,,29,64,.453,7,18,.389,25,35,.714,12,39,10,6,3,5,22
9,9,2013-12-15,@,Vermont,W,80,67,27,54,.500,1,6,.167,25,27,.926,9,37,6,3,5,9,15,,25,59,.424,5,17,.294,12,18,.667,7,22,7,5,4,6,23
10,10,2013-12-21,@,Lehigh,L,58,69,22,66,.333,0,16,.000,14,17,.824,15,37,8,5,4,16,17,,26,54,.481,6,9,.667,11,16,.688,3,29,19,5,2,13,21
11,11,2013-12-29,@,Oregon State,L,68,76,25,73,.342,6,21,.286,12,16,.750,16,37,14,4,5,9,19,,26,56,.464,6,16,.375,18,22,.818,3,28,16,4,6,8,14
12,12,2014-01-04,@,Monmouth,W,94,77,30,60,.500,7,18,.389,27,35,.771,19,44,12,2,3,12,12,,30,63,.476,4,12,.333,13,18,.722,7,19,13,7,6,6,22
13,13,2014-01-06,,Iona,W,86,74,26,60,.433,8,15,.533,26,35,.743,18,48,15,3,9,12,17,,25,61,.410,6,19,.316,18,23,.783,8,24,12,7,2,7,24
14,14,2014-01-09,,Manhattan,W,81,76,22,56,.393,6,16,.375,31,46,.674,21,48,15,2,10,13,24,,29,69,.420,4,14,.286,14,28,.500,19,41,6,3,6,7,32
15,15,2014-01-12,@,St. Peter's,L,67,74,25,75,.333,2,11,.182,15,18,.833,18,44,8,1,8,8,21,,22,63,.349,8,22,.364,22,26,.846,12,37,8,3,12,8,15
16,16,2014-01-16,,Monmouth,W,70,61,25,56,.446,7,20,.350,13,27,.481,15,43,18,2,8,10,18,,23,60,.383,3,12,.250,12,21,.571,10,29,12,8,5,6,23
17,17,2014-01-18,,Niagara,W,85,71,24,59,.407,7,15,.467,30,40,.750,17,49,12,2,5,15,29,,24,62,.387,2,13,.154,21,33,.636,9,25,9,4,4,6,28
18,18,2014-01-24,@,Iona,L,73,95,24,64,.375,6,21,.286,19,22,.864,7,36,5,4,5,13,24,,29,66,.439,8,27,.296,29,37,.784,9,41,18,8,5,7,21
19,19,2014-01-26,@,Manhattan,W (1 OT),90,86,28,64,.438,5,14,.357,29,40,.725,15,47,13,6,1,19,25,,30,71,.423,5,19,.263,21,32,.656,12,35,15,9,9,12,31
20,20,2014-01-30,,Canisius,L,74,86,26,70,.371,6,27,.222,16,19,.842,14,37,19,4,0,7,23,,29,56,.518,8,19,.421,20,28,.714,6,36,15,5,3,10,18
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2014-02-01,@,Siena,W (1 OT),103,95,26,55,.473,4,8,.500,47,65,.723,12,37,8,3,4,19,29,,33,72,.458,4,17,.235,25,35,.714,9,30,20,5,6,13,40
22,22,2014-02-08,,Rider,W,82,61,26,59,.441,9,16,.563,21,32,.656,20,39,11,5,5,10,9,,25,61,.410,4,14,.286,7,10,.700,14,27,6,3,6,8,20
23,23,2014-02-10,,Marist,W,83,78,29,60,.483,9,21,.429,16,19,.842,7,42,17,3,9,15,19,,28,71,.394,12,22,.545,10,16,.625,8,33,16,6,5,8,18
24,24,2014-02-13,@,Fairfield,W,80,72,22,43,.512,5,10,.500,31,51,.608,10,36,5,6,2,11,18,,25,64,.391,4,17,.235,18,23,.783,11,31,5,6,3,11,33
25,25,2014-02-16,,St. Peter's,W,74,64,29,58,.500,3,10,.300,13,20,.650,13,37,15,2,5,10,19,,23,56,.411,4,20,.200,14,24,.583,10,26,11,7,7,6,18
26,26,2014-02-20,@,Canisius,W,88,81,25,56,.446,7,15,.467,31,36,.861,13,41,18,1,4,14,12,,33,75,.440,8,21,.381,7,10,.700,8,24,15,8,2,5,24
27,27,2014-02-22,@,Niagara,W,90,88,35,74,.473,6,18,.333,14,22,.636,25,48,16,7,2,16,16,,31,65,.477,8,22,.364,18,22,.818,12,29,13,8,2,11,18
28,28,2014-02-27,,Siena,L,70,72,25,62,.403,5,15,.333,15,22,.682,14,39,17,2,8,15,21,,23,64,.359,7,17,.412,19,21,.905,14,33,16,7,9,8,19
29,29,2014-03-02,@,Marist,L,72,103,21,60,.350,7,13,.538,23,34,.676,14,37,11,1,2,11,17,,37,69,.536,15,32,.469,14,16,.875,9,33,21,7,5,5,23
30,30,2014-03-08,N,Niagara,W,89,80,32,55,.582,8,13,.615,17,27,.630,4,36,14,4,2,12,19,,28,65,.431,8,25,.320,16,23,.696,7,27,10,2,1,9,24
31,31,2014-03-09,N,Manhattan,L,68,87,23,52,.442,2,10,.200,20,29,.690,6,30,12,3,3,15,18,,31,62,.500,9,19,.474,16,20,.800,8,33,13,8,4,10,23
32,32,2014-03-19,@,Yale,L,68,69,24,59,.407,6,12,.500,14,18,.778,11,41,8,6,4,14,15,,27,67,.403,10,24,.417,5,12,.417,11,30,12,10,4,8,17
