Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,American,W,65,42,24,46,.522,4,13,.308,13,31,.419,10,31,8,8,5,13,17,,16,46,.348,2,14,.143,8,13,.615,7,23,4,8,3,16,27
2,2,2015-11-17,,Valparaiso,L,55,58,18,51,.353,6,14,.429,13,24,.542,5,27,7,8,9,14,13,,22,54,.407,3,11,.273,11,13,.846,6,37,6,8,4,16,19
3,3,2015-11-21,,Cleveland State,W,73,45,26,41,.634,6,14,.429,15,24,.625,7,33,15,9,5,22,14,,15,55,.273,4,21,.190,11,16,.688,8,22,4,11,1,19,20
4,4,2015-11-24,N,Texas Christian,W,66,60,20,46,.435,5,16,.313,21,33,.636,8,30,9,6,4,11,22,,20,50,.400,3,11,.273,17,22,.773,8,27,7,7,2,12,26
5,5,2015-11-25,N,Maryland,L,63,86,20,59,.339,2,15,.133,21,29,.724,12,28,10,7,1,14,18,,30,50,.600,10,17,.588,16,23,.696,4,31,15,8,9,18,26
6,6,2015-11-29,,Rider,W,82,57,23,59,.390,13,28,.464,23,32,.719,12,38,13,5,10,4,21,,18,51,.353,4,12,.333,17,23,.739,8,30,8,1,1,10,23
7,7,2015-12-02,,Holy Cross,W,74,56,26,56,.464,3,13,.231,19,31,.613,12,38,10,8,8,9,17,,22,54,.407,4,14,.286,8,15,.533,3,24,8,5,4,16,22
8,8,2015-12-05,,Providence,L,72,74,28,62,.452,7,21,.333,9,13,.692,16,29,10,5,1,12,14,,30,55,.545,2,8,.250,12,13,.923,7,25,7,7,3,11,12
9,9,2015-12-08,,Houston,W,67,57,26,52,.500,2,15,.133,13,27,.481,7,27,12,3,6,9,19,,23,57,.404,1,11,.091,10,17,.588,10,36,4,4,2,8,21
10,10,2015-12-13,@,Nebraska,L,67,70,27,55,.491,9,20,.450,4,8,.500,8,27,12,4,5,15,21,,22,43,.512,6,8,.750,20,24,.833,4,24,12,7,4,16,12
11,11,2015-12-19,,Iona,W (1 OT),79,74,25,69,.362,7,21,.333,22,35,.629,15,44,17,1,4,10,18,,26,64,.406,9,21,.429,13,17,.765,6,36,17,8,5,9,27
12,12,2015-12-22,@,Old Dominion,L,65,71,20,57,.351,3,12,.250,22,27,.815,13,33,12,9,2,10,27,,22,43,.512,3,6,.500,24,35,.686,7,32,11,5,7,13,21
13,13,2015-12-30,@,Brown,W (1 OT),88,85,31,72,.431,11,23,.478,15,22,.682,14,32,16,6,4,7,22,,26,56,.464,8,20,.400,25,29,.862,5,29,16,4,8,12,18
14,14,2016-01-02,,Saint Louis,W,85,57,28,56,.500,12,27,.444,17,21,.810,12,36,15,4,5,6,19,,19,47,.404,3,15,.200,16,23,.696,6,23,8,5,0,10,17
15,15,2016-01-05,,Richmond,W,77,65,26,51,.510,12,17,.706,13,18,.722,6,25,15,5,9,11,22,,25,51,.490,5,15,.333,10,18,.556,5,25,11,5,3,14,16
16,16,2016-01-10,@,St. Joseph's,L,67,72,24,52,.462,7,19,.368,12,15,.800,6,29,12,3,2,15,24,,25,57,.439,7,17,.412,15,23,.652,8,26,13,5,3,9,17
17,17,2016-01-13,@,St. Bonaventure,L,64,69,24,59,.407,6,19,.316,10,15,.667,10,30,14,3,3,10,24,,18,43,.419,7,18,.389,26,31,.839,7,29,7,3,8,10,16
18,18,2016-01-16,,La Salle,W,73,62,25,44,.568,5,15,.333,18,21,.857,9,32,13,1,8,12,13,,21,52,.404,9,25,.360,11,15,.733,5,14,8,4,0,6,19
19,19,2016-01-22,@,George Washington,L,58,62,22,51,.431,8,19,.421,6,11,.545,1,22,10,7,6,9,22,,18,48,.375,1,7,.143,25,30,.833,7,34,4,5,4,12,13
20,20,2016-01-27,,Fordham,W,79,63,26,51,.510,10,24,.417,17,23,.739,6,31,15,6,6,12,17,,22,53,.415,7,21,.333,12,19,.632,8,30,5,8,0,13,20
21,21,2016-01-30,,St. Joseph's,L,55,64,20,63,.317,4,23,.174,11,15,.733,8,33,4,7,4,10,23,,20,52,.385,1,15,.067,23,28,.821,4,39,4,1,2,13,13
22,22,2016-02-02,@,UMass,L (1 OT),56,61,18,60,.300,3,19,.158,17,26,.654,16,46,10,7,8,15,22,,21,60,.350,4,15,.267,15,25,.600,10,35,11,7,6,15,21
23,23,2016-02-06,@,La Salle,W,79,62,30,56,.536,9,23,.391,10,11,.909,10,26,12,8,1,13,20,,18,40,.450,8,18,.444,18,24,.750,7,21,12,8,1,18,18
24,24,2016-02-09,,George Mason,W,81,63,32,60,.533,12,21,.571,5,12,.417,4,30,15,3,9,4,14,,22,61,.361,4,16,.250,15,16,.938,10,34,8,1,0,10,14
25,25,2016-02-12,,Dayton,L,66,68,26,57,.456,8,17,.471,6,12,.500,6,24,11,7,6,11,15,,26,50,.520,4,10,.400,12,15,.800,5,31,10,7,5,18,15
26,26,2016-02-16,@,VCU,L,67,83,27,62,.435,1,12,.083,12,20,.600,13,37,14,6,4,16,18,,32,60,.533,6,16,.375,13,20,.650,7,27,17,13,6,8,16
27,27,2016-02-20,,Duquesne,W,77,74,24,44,.545,8,17,.471,21,29,.724,4,25,15,8,5,12,19,,28,55,.509,8,21,.381,10,20,.500,6,26,13,5,3,10,23
28,28,2016-02-23,@,Davidson,L,54,65,18,53,.340,3,13,.231,15,20,.750,7,33,6,2,5,9,19,,22,52,.423,9,22,.409,12,18,.667,8,38,13,3,6,8,19
29,29,2016-02-27,@,Dayton,W,75,66,28,50,.560,9,17,.529,10,13,.769,2,28,18,3,4,12,20,,23,55,.418,6,16,.375,14,21,.667,6,25,13,6,1,9,17
30,30,2016-03-03,,UMass,W,68,50,23,58,.397,9,20,.450,13,16,.813,9,39,17,4,8,11,16,,15,52,.288,4,17,.235,16,24,.667,5,31,5,6,5,13,16
31,31,2016-03-05,@,Fordham,L,61,64,25,47,.532,5,16,.313,6,9,.667,4,26,16,3,1,12,18,,24,56,.429,6,22,.273,10,12,.833,8,28,17,7,1,5,13
