,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,University of California,L,65,97,22,60,.367,6,17,.353,15,22,.682,5,24,8,3,1,9,17,,36,71,.507,10,23,.435,15,18,.833,13,43,16,4,7,6,21
2,2,2015-11-16,@,San Francisco,L,54,80,22,65,.338,4,22,.182,6,13,.462,15,30,6,8,8,15,15,,31,62,.500,8,18,.444,10,12,.833,10,40,17,10,6,16,20
3,3,2015-11-19,,Oregon State,L,69,77,22,49,.449,8,26,.308,17,22,.773,7,26,14,7,3,13,20,,26,50,.520,10,22,.455,15,22,.682,5,26,16,11,1,12,20
4,4,2015-11-22,,Fresno State,L,65,82,21,54,.389,8,23,.348,15,21,.714,8,26,14,3,0,16,18,,26,47,.553,8,16,.500,22,29,.759,6,33,14,10,1,14,21
5,5,2015-11-25,,Lamar,W,92,84,29,56,.518,6,19,.316,28,34,.824,10,29,14,5,3,11,20,,27,65,.415,9,25,.360,21,29,.724,17,34,13,6,4,12,28
6,6,2015-11-27,,UC-Riverside,W,87,81,26,53,.491,7,22,.318,28,37,.757,7,35,16,4,3,11,23,,25,60,.417,9,24,.375,22,33,.667,14,36,12,6,1,11,29
7,7,2015-11-29,,Texas-Arlington,L,74,92,24,57,.421,7,29,.241,19,27,.704,8,20,15,10,3,10,18,,32,56,.571,10,22,.455,18,26,.692,15,39,15,7,2,17,21
8,8,2015-12-02,@,Houston Baptist,L,73,77,22,53,.415,7,20,.350,22,32,.688,12,29,12,6,5,13,27,,25,53,.472,3,10,.300,24,30,.800,10,30,14,5,2,13,25
9,9,2015-12-05,,St. Edward's,W,93,72,30,47,.638,9,17,.529,24,31,.774,4,41,19,7,2,22,20,,28,69,.406,9,22,.409,7,15,.467,5,16,11,13,3,10,22
