,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,James Madison,L,75,87,27,52,.519,5,17,.294,16,26,.615,6,23,14,7,1,6,22,,30,59,.508,11,24,.458,16,24,.667,16,39,16,5,0,11,19
2,2,2015-11-15,,Stetson,W,108,85,42,77,.545,15,31,.484,9,14,.643,15,45,29,9,10,11,12,,33,70,.471,11,23,.478,8,10,.800,8,32,19,6,1,14,14
3,3,2015-11-18,@,Wake Forest,W,91,82,32,62,.516,11,23,.478,16,22,.727,7,23,18,11,3,6,27,,28,49,.571,7,15,.467,19,33,.576,11,37,16,1,3,20,21
4,4,2015-11-21,,Bethune-Cookman,W,89,64,30,60,.500,9,28,.321,20,28,.714,12,47,21,5,2,15,22,,23,60,.383,4,22,.182,14,24,.583,8,29,5,8,1,14,24
5,5,2015-11-26,N,West Virginia,L,59,67,18,46,.391,2,15,.133,21,35,.600,8,27,9,6,1,14,24,,21,48,.438,2,13,.154,23,32,.719,9,30,10,7,2,9,28
6,6,2015-11-27,N,University of California,W,94,90,27,54,.500,9,18,.500,31,39,.795,10,32,13,5,4,10,21,,35,65,.538,6,15,.400,14,19,.737,7,27,8,5,0,8,25
7,7,2015-12-01,@,Florida,L,56,76,21,62,.339,7,20,.350,7,20,.350,9,32,11,1,1,9,21,,28,68,.412,6,22,.273,14,23,.609,16,56,18,5,6,10,20
8,8,2015-12-05,,Northern Iowa,W,82,67,30,56,.536,13,25,.520,9,12,.750,5,30,23,7,1,10,15,,27,57,.474,7,18,.389,6,11,.545,7,28,14,6,1,12,17
9,9,2015-12-12,,Longwood,W,77,59,26,56,.464,7,24,.292,18,25,.720,9,35,18,11,0,15,15,,25,59,.424,4,16,.250,5,12,.417,12,38,9,8,1,19,19
10,10,2015-12-16,,Old Dominion,W,77,61,31,54,.574,8,19,.421,7,11,.636,8,31,21,7,4,11,15,,25,63,.397,3,8,.375,8,12,.667,17,35,12,3,1,10,14
11,11,2015-12-22,,Presbyterian,W,74,44,29,55,.527,6,18,.333,10,18,.556,5,34,16,11,2,14,18,,18,50,.360,2,10,.200,6,13,.462,5,27,11,5,1,19,20
12,12,2015-12-29,@,Texas Tech,L,70,85,25,56,.446,10,27,.370,10,21,.476,6,17,12,4,1,11,25,,30,58,.517,3,8,.375,22,27,.815,12,40,16,4,4,11,20
13,13,2016-01-02,,St. Joseph's,L,73,77,28,61,.459,8,23,.348,9,14,.643,8,32,16,2,5,10,17,,27,60,.450,11,21,.524,12,18,.667,9,38,17,3,1,8,15
14,14,2016-01-05,@,Rhode Island,L,65,77,25,51,.490,5,15,.333,10,18,.556,5,25,11,5,3,14,16,,26,51,.510,12,17,.706,13,18,.722,6,25,15,5,9,11,22
15,15,2016-01-10,@,Fordham,W,93,82,30,55,.545,13,28,.464,20,23,.870,6,23,21,5,0,11,14,,35,58,.603,6,17,.353,6,8,.750,6,26,19,7,3,13,21
16,16,2016-01-13,,La Salle,W,83,61,30,53,.566,11,24,.458,12,22,.545,6,34,23,8,5,9,10,,20,54,.370,13,33,.394,8,10,.800,6,26,11,7,1,13,18
17,17,2016-01-16,,VCU,L (1 OT),89,94,35,68,.515,3,18,.167,16,26,.615,6,33,20,7,1,11,19,,33,69,.478,6,16,.375,22,28,.786,10,43,13,7,5,14,21
18,18,2016-01-25,,Davidson,L,70,78,27,63,.429,0,15,.000,16,21,.762,12,35,12,7,0,6,23,,25,56,.446,7,23,.304,21,24,.875,9,34,14,2,3,9,17
19,19,2016-01-28,@,George Washington,W (2 OT),98,90,33,55,.600,11,19,.579,21,29,.724,3,31,17,6,3,12,29,,28,75,.373,6,21,.286,28,36,.778,17,38,11,7,6,8,26
20,20,2016-01-31,@,St. Bonaventure,L,68,84,25,65,.385,9,29,.310,9,12,.750,10,28,16,5,2,11,21,,27,54,.500,6,15,.400,24,30,.800,8,33,15,7,9,9,15
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-02-03,,George Mason,L,74,78,26,67,.388,6,27,.222,16,23,.696,9,33,14,5,0,4,28,,23,51,.451,5,16,.313,27,42,.643,10,44,12,2,2,10,24
22,22,2016-02-06,,UMass,W,69,53,25,56,.446,7,18,.389,12,21,.571,9,40,17,5,5,7,17,,17,56,.304,8,29,.276,11,14,.786,8,33,14,2,2,10,19
23,23,2016-02-10,@,Saint Louis,W,67,53,28,52,.538,6,22,.273,5,12,.417,4,32,21,7,2,11,15,,20,58,.345,4,19,.211,9,12,.750,8,30,14,6,2,11,12
24,24,2016-02-13,,Fordham,W,71,67,24,45,.533,6,14,.429,17,23,.739,3,28,16,8,3,11,20,,21,60,.350,8,29,.276,17,24,.708,17,40,12,5,1,11,22
25,25,2016-02-16,@,Davidson,L,79,83,29,56,.518,7,17,.412,14,22,.636,6,23,19,9,0,4,20,,28,52,.538,11,26,.423,16,19,.842,8,30,16,1,6,12,17
26,26,2016-02-19,@,VCU,L,74,87,32,61,.525,7,14,.500,3,7,.429,5,19,20,8,2,8,9,,35,66,.530,11,22,.500,6,6,1.000,12,38,24,4,2,14,10
27,27,2016-02-24,,George Washington,L,61,73,24,57,.421,4,18,.222,9,14,.643,8,32,11,5,2,12,25,,22,52,.423,5,13,.385,24,31,.774,7,36,9,4,2,13,19
28,28,2016-02-27,@,Duquesne,W,83,67,29,55,.527,11,22,.500,14,19,.737,4,29,21,5,1,14,19,,22,55,.400,10,28,.357,13,20,.650,8,32,12,3,0,14,20
29,29,2016-03-01,,Dayton,L,84,85,30,57,.526,4,17,.235,20,27,.741,4,23,18,8,2,5,20,,29,50,.580,9,15,.600,18,28,.643,5,33,10,0,1,11,20
30,30,2016-03-05,@,George Mason,L,73,83,28,70,.400,11,33,.333,6,10,.600,6,26,13,6,3,5,18,,31,67,.463,6,13,.462,15,21,.714,18,53,10,3,1,12,17
