Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Princeton,L,56,64,21,57,.368,5,17,.294,9,9,1.000,7,36,15,5,2,10,17,,22,55,.400,9,24,.375,11,17,.647,8,37,14,5,4,10,15
2,2,2015-11-17,@,La Salle,L,60,73,26,56,.464,4,19,.211,4,5,.800,9,26,14,6,3,15,16,,29,55,.527,8,24,.333,7,9,.778,2,22,18,11,0,8,10
3,3,2015-11-20,@,Maryland,L,58,65,24,51,.471,4,15,.267,6,8,.750,6,24,9,6,2,10,24,,23,50,.460,5,22,.227,14,22,.636,12,31,8,4,4,11,16
4,4,2015-11-24,N,Cleveland State,L,52,57,18,38,.474,2,13,.154,14,25,.560,4,22,11,9,4,18,27,,15,44,.341,4,14,.286,23,32,.719,10,26,8,9,1,17,23
5,5,2015-11-25,N,Houston Baptist,W,67,56,24,60,.400,6,21,.286,13,22,.591,19,36,14,10,1,12,21,,21,53,.396,2,13,.154,12,18,.667,10,32,10,5,3,12,17
6,6,2015-11-29,@,Rhode Island,L,57,82,18,51,.353,4,12,.333,17,23,.739,8,30,8,1,1,10,23,,23,59,.390,13,28,.464,23,32,.719,12,38,13,5,10,4,21
7,7,2015-12-02,,St. Peter's,L,61,73,20,46,.435,11,23,.478,10,19,.526,4,23,13,8,2,15,17,,27,56,.482,10,23,.435,9,12,.750,11,35,15,8,2,16,20
8,8,2015-12-04,@,Fairfield,L,70,74,23,57,.404,11,30,.367,13,16,.813,5,29,12,4,2,12,15,,32,63,.508,5,15,.333,5,7,.714,7,33,19,7,2,9,16
9,9,2015-12-08,,Wagner,L,64,65,24,61,.393,6,21,.286,10,13,.769,9,29,16,6,4,11,11,,26,56,.464,6,21,.286,7,10,.700,8,30,12,8,2,12,14
10,10,2015-12-12,@,Charleston Southern,W,82,72,28,53,.528,9,23,.391,17,22,.773,4,39,16,1,5,11,20,,25,64,.391,12,39,.308,10,17,.588,5,29,15,9,3,8,22
11,11,2015-12-19,@,Providence,L,65,73,26,68,.382,6,19,.316,7,9,.778,7,35,8,5,2,14,17,,28,67,.418,6,23,.261,11,17,.647,13,47,16,6,5,11,11
12,12,2015-12-23,@,Morgan State,W,71,49,26,47,.553,14,27,.519,5,9,.556,5,40,21,2,2,16,16,,17,65,.262,3,28,.107,12,14,.857,6,22,10,9,0,4,13
13,13,2015-12-30,,Hartford,W (2 OT),82,80,26,64,.406,7,23,.304,23,38,.605,11,44,13,7,5,12,19,,24,59,.407,14,30,.467,18,26,.692,5,40,15,7,1,16,28
14,14,2016-01-04,@,Quinnipiac,L,60,64,20,55,.364,5,17,.294,15,24,.625,4,31,9,5,5,7,20,,20,58,.345,9,19,.474,15,23,.652,14,46,14,2,3,14,19
15,15,2016-01-07,@,Iona,L,58,67,22,56,.393,4,17,.235,10,16,.625,10,34,14,9,3,14,19,,25,61,.410,6,20,.300,11,16,.688,14,37,15,5,4,11,16
16,16,2016-01-09,,Fairfield,L,64,69,27,68,.397,4,19,.211,6,12,.500,15,49,11,4,5,14,15,,24,62,.387,7,20,.350,14,18,.778,6,31,12,8,6,8,15
17,17,2016-01-14,,Marist,W (2 OT),102,100,32,66,.485,7,19,.368,31,47,.660,8,43,12,7,4,13,29,,28,68,.412,13,36,.361,31,46,.674,9,39,16,5,1,15,32
18,18,2016-01-17,,Iona,W,79,75,27,60,.450,8,21,.381,17,25,.680,10,32,12,4,4,11,20,,23,49,.469,7,21,.333,22,30,.733,6,28,10,7,7,14,19
19,19,2016-01-21,@,Siena,L,52,63,20,54,.370,2,20,.100,10,16,.625,10,35,7,8,3,13,21,,20,52,.385,7,18,.389,16,23,.696,10,33,13,10,6,12,17
20,20,2016-01-24,,Quinnipiac,W,75,52,25,55,.455,6,19,.316,19,22,.864,7,37,12,8,6,13,14,,18,65,.277,6,29,.207,10,14,.714,16,40,10,6,2,18,22
21,21,2016-01-28,@,St. Peter's,W,76,45,27,53,.509,7,17,.412,15,16,.938,8,33,13,6,1,6,18,,16,48,.333,3,15,.200,10,13,.769,5,22,9,2,2,9,15
22,22,2016-01-31,,Canisius,W,79,68,27,47,.574,8,15,.533,17,30,.567,8,30,15,7,3,10,17,,20,48,.417,7,23,.304,21,24,.875,6,24,10,5,0,11,21
23,23,2016-02-02,@,Manhattan,L,57,65,21,50,.420,3,14,.214,12,16,.750,8,29,11,4,2,14,20,,22,42,.524,8,15,.533,13,18,.722,1,20,13,5,4,9,19
24,24,2016-02-05,@,Niagara,W,66,60,22,51,.431,2,11,.182,20,28,.714,8,26,13,5,3,8,15,,24,56,.429,4,15,.267,8,13,.615,10,35,10,4,2,14,21
25,25,2016-02-07,@,Canisius,L,61,67,20,51,.392,5,26,.192,16,18,.889,13,37,13,0,5,17,19,,24,55,.436,8,22,.364,11,16,.688,7,21,12,9,0,7,18
26,26,2016-02-12,,Monmouth,L,78,79,29,63,.460,9,25,.360,11,15,.733,9,34,15,9,6,13,15,,25,57,.439,13,22,.591,16,18,.889,7,31,14,9,4,15,19
27,27,2016-02-14,,Niagara,W,77,59,24,49,.490,9,22,.409,20,26,.769,5,32,17,9,10,16,18,,21,58,.362,5,14,.357,12,16,.750,9,31,9,7,1,18,21
28,28,2016-02-19,,Siena,L,64,84,24,58,.414,5,23,.217,11,16,.688,11,24,13,2,6,7,13,,31,64,.484,11,21,.524,11,11,1.000,16,42,17,5,2,8,16
29,29,2016-02-23,@,Marist,L,58,71,21,60,.350,7,18,.389,9,18,.500,10,30,10,4,3,5,15,,24,50,.480,8,20,.400,15,17,.882,5,37,12,1,1,10,19
30,30,2016-02-26,@,Monmouth,L,58,79,22,58,.379,7,26,.269,7,13,.538,10,29,9,5,5,18,10,,33,65,.508,6,18,.333,7,10,.700,8,35,15,10,3,15,18
31,31,2016-02-28,,Manhattan,W,60,57,19,42,.452,2,16,.125,20,26,.769,7,30,14,8,6,14,17,,19,52,.365,9,28,.321,10,11,.909,8,27,17,7,2,14,22
32,32,2016-03-03,N,Quinnipiac,W,60,57,20,52,.385,7,18,.389,13,23,.565,11,30,14,8,3,13,14,,20,49,.408,6,19,.316,11,12,.917,5,29,11,7,1,17,19
33,33,2016-03-04,N,Monmouth,L,48,59,16,46,.348,8,21,.381,8,13,.615,5,31,12,7,6,21,15,,18,57,.316,5,22,.227,18,21,.857,8,31,6,16,2,11,16
