,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,@,Penn,L,75,76,28,60,.467,9,20,.450,10,18,.556,8,33,15,8,4,11,13,,29,57,.509,10,26,.385,8,11,.727,4,27,25,4,1,14,15
2,2,2015-11-15,@,Cincinnati,L,44,106,13,47,.277,5,20,.250,13,17,.765,5,23,8,7,1,25,20,,38,71,.535,11,24,.458,19,26,.731,15,42,32,18,8,10,14
3,3,2015-11-18,,Bucknell,L,76,81,29,60,.483,7,25,.280,11,19,.579,6,28,17,13,3,15,18,,29,56,.518,8,21,.381,15,20,.750,6,33,21,7,1,18,20
4,4,2015-11-22,@,Air Force,L,52,64,20,59,.339,8,28,.286,4,7,.571,10,31,12,6,3,17,15,,25,66,.379,3,12,.250,11,13,.846,15,44,16,12,3,14,8
5,5,2015-11-24,@,New Mexico State,L (1 OT),71,81,29,66,.439,8,26,.308,5,9,.556,8,27,12,6,3,9,16,,31,61,.508,6,18,.333,13,19,.684,15,44,14,2,2,18,11
6,6,2015-11-27,@,Tennessee Tech,L,72,85,28,65,.431,8,24,.333,8,12,.667,9,30,16,5,7,16,18,,28,65,.431,7,21,.333,22,25,.880,15,42,19,6,6,12,12
7,7,2015-11-28,N,Mississippi Valley State,W,67,64,24,53,.453,5,20,.250,14,18,.778,13,42,15,7,7,24,14,,26,67,.388,6,26,.231,6,10,.600,11,29,13,11,1,13,18
8,8,2015-12-02,@,Youngstown State,L,58,65,21,53,.396,11,32,.344,5,6,.833,7,30,14,4,3,14,14,,24,56,.429,8,25,.320,9,15,.600,10,30,17,9,0,8,9
9,9,2015-12-05,,Oakland,L,74,92,25,67,.373,6,26,.231,18,32,.563,11,40,11,9,5,12,24,,30,66,.455,11,29,.379,21,33,.636,12,45,18,3,3,11,21
10,10,2015-12-14,@,Columbia,L,71,78,25,54,.463,4,19,.211,17,21,.810,8,25,14,7,6,14,21,,22,49,.449,13,30,.433,21,24,.875,7,29,19,5,4,11,18
11,11,2015-12-17,,Lehigh,W,69,67,26,49,.531,9,20,.450,8,11,.727,2,21,15,7,4,15,9,,28,58,.483,6,21,.286,5,8,.625,8,30,13,9,3,18,12
12,12,2015-12-19,@,Duquesne,L,65,72,23,61,.377,9,26,.346,10,18,.556,7,33,18,9,8,15,26,,22,64,.344,4,27,.148,24,32,.750,19,52,13,7,6,18,15
13,13,2015-12-29,@,Georgia,L,67,79,22,58,.379,3,24,.125,20,30,.667,8,26,8,8,5,12,14,,31,57,.544,6,15,.400,11,13,.846,8,33,23,7,4,15,22
14,14,2016-01-02,,Sacred Heart,L,65,69,20,50,.400,6,22,.273,19,29,.655,9,32,11,9,3,20,19,,24,54,.444,4,12,.333,17,23,.739,9,33,12,9,2,17,21
15,15,2016-01-04,,Wagner,L,69,72,23,50,.460,5,16,.313,18,23,.783,9,23,13,12,4,14,18,,23,57,.404,7,15,.467,19,24,.792,20,41,13,4,0,19,21
16,16,2016-01-07,@,LIU-Brooklyn,W,70,60,24,56,.429,9,22,.409,13,24,.542,10,40,13,7,4,15,17,,22,61,.361,4,22,.182,12,18,.667,10,38,15,9,0,14,20
17,17,2016-01-09,@,St. Francis (NY),L,49,56,18,52,.346,6,14,.429,7,14,.500,4,23,9,9,3,13,22,,15,51,.294,4,22,.182,22,30,.733,17,49,11,5,7,18,17
