,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2015-11-13,,Rutgers-Newark,W,72,59,30,60,.500,5,18,.278,7,12,.583,14,40,18,6,9,20,27,,20,54,.370,3,10,.300,16,25,.640,8,24,8,7,3,14,21
2,2,2015-11-15,,Howard,W,82,70,24,56,.429,2,14,.143,32,46,.696,13,38,18,11,2,20,25,,24,55,.436,2,12,.167,20,34,.588,9,28,12,9,4,18,30
3,3,2015-11-19,@,St. John's (NY),L,59,61,25,60,.417,4,10,.400,5,14,.357,5,33,9,9,5,11,22,,20,62,.323,8,24,.333,13,24,.542,17,45,12,5,7,15,15
4,4,2015-11-21,,Central Arkansas,W,87,84,29,57,.509,5,12,.417,24,34,.706,11,34,10,8,6,14,14,,35,73,.479,7,19,.368,7,11,.636,9,31,18,11,2,10,26
5,5,2015-11-23,N,Creighton,L,75,85,29,67,.433,6,16,.375,11,15,.733,10,31,12,8,1,15,19,,29,61,.475,9,23,.391,18,26,.692,9,35,17,7,2,14,17
6,6,2015-11-25,N,Clemson,L,58,76,22,47,.468,2,9,.222,12,18,.667,2,20,9,3,0,15,18,,28,55,.509,5,19,.263,15,22,.682,11,35,15,8,2,11,21
7,7,2015-11-30,,Wake Forest,L,68,69,27,74,.365,3,15,.200,11,18,.611,10,36,6,7,6,9,22,,23,58,.397,5,18,.278,18,25,.720,10,44,11,3,10,18,19
8,8,2015-12-05,,Seton Hall,L,55,84,20,60,.333,5,19,.263,10,16,.625,6,29,9,8,8,13,19,,31,66,.470,7,17,.412,15,23,.652,13,47,10,8,3,14,15
9,9,2015-12-08,,Central Connecticut,W,75,59,28,57,.491,6,13,.462,13,17,.765,6,33,18,8,2,12,14,,23,60,.383,7,18,.389,6,9,.667,8,29,12,7,6,11,19
10,10,2015-12-12,@,George Washington,L,49,83,18,53,.340,5,19,.263,8,10,.800,8,37,7,3,5,22,12,,30,70,.429,10,26,.385,13,16,.813,10,38,18,18,4,7,12
11,11,2015-12-20,,Monmouth,L,67,73,19,63,.302,7,22,.318,22,30,.733,12,35,11,1,8,9,16,,29,63,.460,4,18,.222,11,20,.550,10,41,12,4,5,8,19
12,12,2015-12-23,,Fairleigh Dickinson,W,72,64,21,46,.457,7,17,.412,23,31,.742,7,42,10,5,4,17,19,,27,64,.422,3,20,.150,7,20,.350,9,31,16,7,1,8,19
13,13,2015-12-28,,UMass-Lowell,W,89,66,36,67,.537,10,16,.625,7,17,.412,14,45,17,5,2,10,14,,25,67,.373,9,30,.300,7,12,.583,13,34,11,3,5,11,20
14,14,2015-12-30,,Indiana,L,72,79,28,64,.438,6,15,.400,10,11,.909,10,28,11,14,0,17,19,,28,59,.475,10,24,.417,13,20,.650,15,38,15,10,3,23,17
15,15,2016-01-02,@,Wisconsin,L,57,79,23,58,.397,5,12,.417,6,6,1.000,4,23,10,2,1,10,16,,31,58,.534,8,18,.444,9,15,.600,6,33,14,6,4,9,15
16,16,2016-01-06,@,Maryland,L,63,88,22,57,.386,7,18,.389,12,17,.706,6,25,11,7,2,10,20,,30,65,.462,8,25,.320,20,25,.800,14,45,10,5,6,12,15
17,17,2016-01-09,,Nebraska,L,56,90,17,51,.333,2,17,.118,20,28,.714,8,24,8,4,2,12,12,,37,65,.569,7,18,.389,9,14,.643,13,38,15,8,4,11,19
18,18,2016-01-13,@,Ohio State,L,68,94,22,57,.386,6,20,.300,18,28,.643,6,31,9,4,3,14,18,,36,73,.493,7,21,.333,15,24,.625,14,44,17,10,4,7,19
19,19,2016-01-18,,Purdue,L,57,107,22,58,.379,2,16,.125,11,18,.611,5,22,9,2,4,7,18,,39,80,.488,11,29,.379,18,24,.750,24,59,19,5,3,4,13
20,20,2016-01-21,,Iowa,L,76,90,31,64,.484,4,17,.235,10,13,.769,8,32,17,4,4,11,18,,31,65,.477,11,29,.379,17,21,.810,9,35,19,7,6,8,11
,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
21,21,2016-01-27,@,Michigan,L,57,68,22,50,.440,3,18,.167,10,14,.714,2,26,11,6,0,13,18,,20,49,.408,11,28,.393,17,20,.850,4,28,17,3,2,9,13
22,22,2016-01-31,@,Michigan State,L,62,96,24,65,.369,7,19,.368,7,10,.700,2,23,13,4,3,9,15,,33,70,.471,17,32,.531,13,17,.765,17,54,28,5,7,11,15
23,23,2016-02-03,,Illinois,L (3 OT),101,110,39,85,.459,8,25,.320,15,23,.652,15,49,18,6,6,19,27,,35,77,.455,10,29,.345,30,34,.882,4,37,17,4,1,11,23
