Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2013-11-08,,UC-Santa Cruz,W,73,43,26,46,.565,4,13,.308,17,29,.586,8,39,17,8,3,13,24,,15,51,.294,5,17,.294,8,22,.364,7,26,10,4,0,12,21
2,2,2013-11-13,@,Cal State Bakersfield,L,66,74,23,57,.404,7,20,.350,13,17,.765,10,30,11,7,3,14,20,,24,49,.490,9,16,.563,17,21,.810,4,27,13,9,9,15,18
3,3,2013-11-18,@,UCLA,L,50,86,21,62,.339,7,30,.233,1,2,.500,11,26,7,8,0,17,19,,30,55,.545,6,12,.500,20,29,.690,9,36,19,16,2,10,9
4,4,2013-11-26,@,UC-Davis,W,73,67,22,46,.478,9,17,.529,20,24,.833,3,22,13,5,1,14,17,,25,45,.556,6,15,.400,11,15,.733,2,19,15,4,3,15,20
5,5,2013-11-30,,UC-Irvine,L,53,79,19,56,.339,5,15,.333,10,19,.526,8,27,11,7,1,11,22,,28,52,.538,4,13,.308,19,29,.655,11,43,18,10,7,16,21
6,6,2013-12-07,@,UTEP,L,51,69,17,59,.288,6,22,.273,11,14,.786,8,28,12,8,0,10,29,,18,41,.439,3,10,.300,30,45,.667,11,44,10,6,3,13,16
7,7,2013-12-14,,William Jessup,W,85,54,32,54,.593,8,16,.500,13,20,.650,8,35,25,4,3,8,25,,13,43,.302,5,18,.278,23,34,.676,7,24,9,3,1,13,19
8,8,2013-12-21,@,Cal State Fullerton,L,51,59,19,55,.345,9,23,.391,4,4,1.000,4,28,11,6,0,11,22,,19,45,.422,6,17,.353,15,26,.577,9,36,15,2,1,14,12
9,9,2013-12-29,,UC-Riverside,W,69,67,20,44,.455,4,12,.333,25,33,.758,8,34,9,5,2,15,24,,21,53,.396,4,16,.250,21,30,.700,13,30,9,2,0,12,25
10,10,2014-01-02,@,Montana State,L,55,70,21,55,.382,6,20,.300,7,9,.778,6,31,7,4,1,9,15,,26,55,.473,13,29,.448,5,8,.625,3,28,13,8,1,7,14
